model,split,seed,J1,failure_rate,n_samples,J1_n7,J1_n10,J1_n15,J1_n20
Mean-Normalized-MLP,gamma_eta_level_holdout_within_n,42,0.5845531935428129,0.0,48000,0.701337127247328,0.6070629116585652,0.5293829329592756,0.4755673557435688
Default,gamma_eta_level_holdout_within_n,42,0.6304091999323665,0.0,48000,0.7633086673112073,0.6571370100580289,0.5650868178686961,0.505836687210487
L6-hindsight,gamma_eta_level_holdout_within_n,42,0.4922971152637207,0.0,48000,0.6083051432559384,0.5158568160471187,0.4318904276336264,0.3830836140224081
