beta,eta,gamma,gamma_over_eta,n,repeat_id,delta,beta_hat,eta_hat,gamma_hat,r_squared,converged,time_ms,status
1.5,1.0,0.1,0.1,7,0,0.0,1.5393843888184333,0.6201314433593552,0.15548393940276123,0.9841089610313347,True,38.22900005616248,success
1.5,1.0,0.1,0.1,7,0,0.1,1.4495525353941974,0.5966577216940181,0.1755949098149812,0.9847059688753551,True,36.03359987027943,success
1.5,1.0,0.1,0.1,7,0,0.2,1.3899805107821124,0.5810403734324526,0.18869549919167106,0.9844741205503715,True,35.54819989949465,success
1.5,1.0,0.1,0.1,7,0,0.3,1.344298031791985,0.5689465497163658,0.19863568293425582,0.9837882368789953,True,35.244200145825744,success
1.5,1.0,0.1,0.1,7,1,0.0,1.5273947959327265,1.1368877491090674,0.0,0.9684660588437957,True,28.523899847641587,success
1.5,1.0,0.1,0.1,7,1,0.1,1.5273947959327265,1.1368877491090674,0.0,0.9684660588437957,True,28.527599992230535,success
1.5,1.0,0.1,0.1,7,1,0.2,1.5273947959327265,1.1368877491090674,0.0,0.9684660588437957,True,30.755799962207675,success
1.5,1.0,0.1,0.1,7,1,0.3,1.5074420131959814,1.1287420458976773,0.007479532849863193,0.9677740574291188,True,31.10340004786849,success
1.5,1.0,0.1,0.1,7,2,0.0,1.2912356566965981,0.767552768150065,0.3086024393685687,0.96538941842966,True,34.84029998071492,success
1.5,1.0,0.1,0.1,7,2,0.1,1.1965668834392924,0.7374208316198619,0.3338420277538374,0.9672908802715439,True,33.62499992363155,success
1.5,1.0,0.1,0.1,7,2,0.2,1.1411467581335475,0.7202215199898886,0.3479927423518694,0.9678701130654044,True,35.53360002115369,success
1.5,1.0,0.1,0.1,7,2,0.3,1.1017503486916,0.708157491868543,0.35776439969553475,0.9679319070973706,True,34.02850008569658,success
1.5,1.0,0.1,0.1,7,3,0.0,1.7817128114330654,0.9973630679527934,0.4364160832764806,0.981607687376566,True,35.38609994575381,success
1.5,1.0,0.1,0.1,7,3,0.1,1.5501560466584754,0.9148932324821661,0.5113442886639327,0.9826412754679397,True,35.28479998931289,success
1.5,1.0,0.1,0.1,7,3,0.2,1.4407815350558315,0.876856028169933,0.5452299007217944,0.9819274452288582,True,34.11189978942275,success
1.5,1.0,0.1,0.1,7,3,0.3,1.367742218767098,0.8516702733895786,0.5672923850612727,0.9806641857410938,True,34.86100002191961,success
1.5,1.0,0.1,0.1,7,4,0.0,1.1076283288593736,1.171115623941685,0.25368851449417745,0.9597058028982595,True,37.02080016955733,success
1.5,1.0,0.1,0.1,7,4,0.1,1.0654577178236042,1.148081304022225,0.27127499063812616,0.961129881958302,True,36.13299992866814,success
1.5,1.0,0.1,0.1,7,4,0.2,1.0364139739778013,1.1320926194814394,0.2831609148906301,0.961799917295116,True,34.00849993340671,success
1.5,1.0,0.1,0.1,7,4,0.3,1.0141785936325796,1.1196759892987231,0.29215696777543,0.9620765139226003,True,36.474799970164895,success
1.5,1.0,0.1,0.1,7,5,0.0,1.643094842558826,0.990331570702786,0.0,0.6631781760411721,True,25.41290014050901,success
1.5,1.0,0.1,0.1,7,5,0.1,1.643094842558826,0.990331570702786,0.0,0.6631781760411721,True,25.12980019673705,success
1.5,1.0,0.1,0.1,7,5,0.2,1.643094842558826,0.990331570702786,0.0,0.6631781760411721,True,26.704699965193868,success
1.5,1.0,0.1,0.1,7,5,0.3,1.643094842558826,0.990331570702786,0.0,0.6631781760411721,True,27.61369990184903,success
1.5,1.0,0.1,0.1,7,6,0.0,1.705082269340616,0.6721190895750816,0.1011907792528122,0.8993013215184995,True,35.17859987914562,success
1.5,1.0,0.1,0.1,7,6,0.1,1.5801160105744478,0.6314673370604054,0.13489460732354422,0.9003536954427432,True,35.94410000368953,success
1.5,1.0,0.1,0.1,7,6,0.2,1.5083475811251972,0.6062053031590633,0.15477238231428936,0.8970282334092615,True,35.806299885734916,success
1.5,1.0,0.1,0.1,7,6,0.3,1.458789615135686,0.5870289696015035,0.16912125179263202,0.8908601298923686,True,34.38579989597201,success
1.5,1.0,0.1,0.1,7,7,0.0,1.2884535851365468,0.8253747995448959,0.2950469101495365,0.9931097925644816,True,34.98909994959831,success
1.5,1.0,0.1,0.1,7,7,0.1,1.2370194657592528,0.8078196641082318,0.309889419435249,0.9933776498735726,True,35.28999979607761,success
1.5,1.0,0.1,0.1,7,7,0.2,1.1987280121161166,0.7949603832532554,0.3206699501347125,0.9933351447400197,True,35.070399986580014,success
1.5,1.0,0.1,0.1,7,7,0.3,1.1674453792656316,0.7845801396166409,0.3293035903462246,0.9931092306576629,True,33.813999965786934,success
1.5,1.0,0.1,0.1,7,8,0.0,0.7440489560923943,1.1554590003435596,0.6309837026348125,0.9710324210127458,True,37.71440009586513,success
1.5,1.0,0.1,0.1,7,8,0.1,0.7304159861900602,1.1493092553423916,0.6349537669492279,0.9722612396543965,True,37.46280004270375,success
1.5,1.0,0.1,0.1,7,8,0.2,0.719207019100092,1.1444800767515437,0.638113233492527,0.9732009101242781,True,38.07440004311502,success
1.5,1.0,0.1,0.1,7,8,0.3,0.7096845414220447,1.140548848395713,0.6407224852294311,0.97394293048491,True,38.29980012960732,success
1.5,1.0,0.1,0.1,7,9,0.0,0.4685269070035243,0.30966890140629805,0.29905630623732565,0.94967081993188,True,41.819200152531266,success
1.5,1.0,0.1,0.1,7,9,0.1,0.4680502945864902,0.3095836685904028,0.29907374681006865,0.9498000563563155,True,43.30959985964,success
1.5,1.0,0.1,0.1,7,9,0.2,0.467587738062662,0.30949796797380946,0.29909074467289803,0.9499246033005799,True,42.925499845296144,success
1.5,1.0,0.1,0.1,7,9,0.3,0.46713524487468944,0.3094140813707968,0.2991073224222164,0.9500453466192318,True,43.127299984917045,success
1.5,1.0,0.1,0.1,10,0,0.0,1.9841226483855487,1.5496497908131404,0.0,0.8680716715035348,True,27.53120008856058,success
1.5,1.0,0.1,0.1,10,0,0.1,1.9841226483855487,1.5496497908131404,0.0,0.8680716715035348,True,27.347099967300892,success
1.5,1.0,0.1,0.1,10,0,0.2,1.9841226483855487,1.5496497908131404,0.0,0.8680716715035348,True,27.64840004965663,success
1.5,1.0,0.1,0.1,10,0,0.3,1.9841226483855487,1.5496497908131404,0.0,0.8680716715035348,True,28.422399889677763,success
1.5,1.0,0.1,0.1,10,1,0.0,1.8033469215795943,0.747539629175566,0.16020099582503683,0.9695639941870012,True,35.34629987552762,success
1.5,1.0,0.1,0.1,10,1,0.1,1.5943825714197601,0.6935023933075857,0.2083815125867531,0.9717920185957716,True,35.58929986320436,success
1.5,1.0,0.1,0.1,10,1,0.2,1.48970742301633,0.6673168710307145,0.23130565526307867,0.9720519757784117,True,34.740200033411384,success
1.5,1.0,0.1,0.1,10,1,0.3,1.4194090686238077,0.6500075839398949,0.24622644785146847,0.9716266954323505,True,35.55370005778968,success
1.5,1.0,0.1,0.1,10,2,0.0,1.1035292979193467,0.46962203036126526,0.20801993647526026,0.9135589801329318,True,35.954599967226386,success
1.5,1.0,0.1,0.1,10,2,0.1,1.0598381397982397,0.4590074685871099,0.21482862066575764,0.9127304287667206,True,35.144700203090906,success
1.5,1.0,0.1,0.1,10,2,0.2,1.0286258493578868,0.45153639030767784,0.21947903971124202,0.9114836715122232,True,36.17600002326071,success
1.5,1.0,0.1,0.1,10,2,0.3,1.0043591192758687,0.445779459044182,0.22297090646894974,0.9100253297208357,True,34.9862000439316,success
1.5,1.0,0.1,0.1,10,3,0.0,1.9225613806408373,1.2897653556633784,0.0,0.986311907613861,True,30.695899855345488,success
1.5,1.0,0.1,0.1,10,3,0.1,1.8948550461935743,1.277838455442853,0.010953167335713622,0.9861929883314946,True,32.84160001203418,success
1.5,1.0,0.1,0.1,10,3,0.2,1.7577353127719777,1.2190343609440903,0.0644700037401865,0.9848129953982608,True,33.17039995454252,success
1.5,1.0,0.1,0.1,10,3,0.3,1.6637382007466963,1.1786506220196051,0.10056974830632459,0.9827211174859283,True,35.24430003017187,success
1.5,1.0,0.1,0.1,10,4,0.0,1.2205650578679172,1.3640471164070633,0.0,0.9563126095172978,True,30.704400036484003,success
1.5,1.0,0.1,0.1,10,4,0.1,1.2205650578679172,1.3640471164070633,0.0,0.9563126095172978,True,30.670899897813797,success
1.5,1.0,0.1,0.1,10,4,0.2,1.2205650578679172,1.3640471164070633,0.0,0.9563126095172978,True,29.22610007226467,success
1.5,1.0,0.1,0.1,10,4,0.3,1.2205650578679172,1.3640471164070633,0.0,0.9563126095172978,True,31.050899997353554,success
1.5,1.0,0.1,0.1,10,5,0.0,1.5306366863857954,0.963029793978267,0.0,0.9509663946535025,True,50.47380016185343,success
1.5,1.0,0.1,0.1,10,5,0.1,1.4132380562605102,0.9190430156004977,0.03671473549956094,0.9502235349289456,True,91.14459995180368,success
1.5,1.0,0.1,0.1,10,5,0.2,1.3181401586040855,0.8843630349656184,0.06495908719267618,0.9483463162692419,True,90.49520012922585,success
