n,delta,mean,std,q5,q95
7,0.0,1.284210736662119,1.9627560533645494,0.03220304191662198,4.936281797281387
7,0.02,0.7006173045604516,0.9554800810591894,0.02897839844230895,2.220486514294552
7,0.04,0.5876752578025268,0.6915155875567215,0.025782534852467166,1.7311236231479792
7,0.06,0.5502998821110906,0.5782739903309537,0.030154068455532035,1.6526463117169852
7,0.08,0.5386299914579951,0.5285000169986791,0.03159839856934727,1.558809464646321
7,0.1,0.5375775127603521,0.5040108830230215,0.03166704013221819,1.5602805071330803
7,0.12,0.5480544710967664,0.5407950923436181,0.032331056159940405,1.5411942036133872
7,0.14,0.558533403636681,0.5445895928739921,0.033624976184188936,1.540239213844687
7,0.16,0.570824443347126,0.5780374975598404,0.03523995204603817,1.5528882603741647
7,0.18,0.5839201177606796,0.5920850235677046,0.034544301014708186,1.5621391086099827
7,0.2,0.5957584969320493,0.5949831270472016,0.036334525362936,1.5774844074847623
7,0.22,0.6079009708483143,0.5997368891986201,0.036287062101473505,1.5890183966678564
7,0.24,0.6188365998303625,0.6022683262605372,0.038908759513061476,1.606504629847633
7,0.26,0.6305547454204079,0.6076966945799688,0.03959845309699831,1.622702791747645
7,0.28,0.6419422973610486,0.6115455963316169,0.04079032139551359,1.6357175676247322
7,0.3,0.6505871677781268,0.612555444148993,0.03981187621263246,1.6388905740703823
7,0.32,0.6606068802420091,0.6140786180346273,0.043005643279960024,1.6448356552084225
7,0.34,0.6696344095344957,0.6153010499877053,0.044663499246920764,1.6536410995004598
7,0.36,0.6774031836975586,0.6161364454000708,0.047593525982621676,1.660562434761776
7,0.38,0.6859472743608289,0.6163454070597062,0.05103841629432276,1.6688822123901292
7,0.4,0.6940559861968693,0.6166925016399549,0.05363441346952873,1.6771301931032894
7,0.42,0.7007253659459578,0.6169006034421936,0.05450096599741109,1.682512720349762
7,0.44,0.7077163833304364,0.6169129143162952,0.058073365415312446,1.6864562373458016
7,0.46,0.7141730621925035,0.6171146555708416,0.05849238451465749,1.6881669115574331
7,0.48,0.7202485845001355,0.6173484650036452,0.060118228016466456,1.6897909904117452
7,0.5,0.7263633559626821,0.6170957976757475,0.06440948956708095,1.6917979164564387
10,0.0,0.9591847374280449,1.4609537683901952,0.024045879021333018,4.0765522862314345
10,0.02,0.5583867129577763,0.8743183476786748,0.021447672558106118,1.8559527262908335
