n,feature,mean,std,q5,q95
7,x_min,0.9691204365368749,0.4258893988116943,0.285912902085912,1.669254739796551
7,x_max,1.9788003698612826,0.5358873550535994,1.2168436252134691,2.909019392746371
7,range,1.0096799333244073,0.5008962648221215,0.3922565447070519,1.9666131633791262
7,Q1,1.2026866674829613,0.41437572246903404,0.5600170131695105,1.8697885160823944
7,Med,1.4022602258593815,0.4170189730182406,0.7822987466862973,2.0439745626012473
7,Q3,1.625729006837256,0.42395252661202687,1.0087800069172441,2.2939516709836054
7,IQR,0.42304233935429475,0.24385152627981424,0.13232294730021102,0.9007070970913058
7,x_bar,1.4295731972711392,0.3970094548878941,0.8576692323070289,2.0302038102049376
7,s,0.3626181252067882,0.18075788485507405,0.14084464935751373,0.713056228686753
7,CV,0.27379546226195756,0.1546917767496141,0.08929913599681344,0.5772235878812418
7,g1,0.11277071541009925,0.49856290426953015,-0.7174030237628436,0.9545256986936158
7,g2,-1.3465238202861067,0.5163325639200418,-1.9744530868293173,-0.3107781326063569
10,x_min,0.9134295127078943,0.41757856882961114,0.2516076165419744,1.6036550453187453
10,x_max,2.071471749071304,0.569873289670132,1.285604973175472,3.127219701320987
10,range,1.15804223636341,0.5436237021767725,0.5051322053435876,2.200563861938154
10,Q1,1.188223196451503,0.4073101646507476,0.5485776818299599,1.8343414457414917
10,Med,1.4046205490005734,0.40234249698151886,0.8102839317919058,2.014805858048969
10,Q3,1.6462466149146489,0.4176225706808666,1.0441679030142927,2.302197461957558
10,IQR,0.4580234184631456,0.24973091773070874,0.1575792026374717,0.9423453130181784
10,x_bar,1.4333709863078208,0.3905494018297657,0.8763048082249463,2.01677088542928
10,s,0.37295883849929395,0.1741989245552234,0.16387597889699054,0.704553779095951
10,CV,0.2794603159289804,0.1485864828256008,0.10146854152071177,0.5586365678811326
10,g1,0.1497101925787332,0.5296837316636075,-0.7101283678176565,1.0365614810393857
10,g2,-1.0069107500591519,0.6817845724451858,-1.7605516579956728,0.337135533119651
20,x_min,0.8354714867653951,0.40715531527952137,0.2009921149173298,1.5129735949279692
20,x_max,2.2317599982899567,0.6154219420703962,1.3681541561327941,3.3912337453239516
20,range,1.3962885115245618,0.610010750670013,0.662230001145918,2.5849314968104484
20,Q1,1.1695248517390504,0.39809053017117074,0.5507194343940061,1.79743458594007
20,Med,1.4003644839440768,0.38516889713824654,0.8415674870240804,1.9735942917474245
20,Q3,1.6590711243673917,0.3986173783031596,1.0978059352161302,2.265633315311224
20,IQR,0.4895462726283411,0.2239308072639603,0.20765551291546885,0.9099601396501072
20,x_bar,1.433225063540136,0.37921079206258035,0.9110252994346272,1.9789940831072401
20,s,0.3796661387557402,0.16313394426241848,0.18175424469089438,0.7001174459293185
20,CV,0.2838959238546748,0.14307490049364074,0.11073426494768139,0.5653197161562805
20,g1,0.22750949720836483,0.5295824856093369,-0.6041287995167652,1.1523101497401027
20,g2,-0.5110197986252548,0.8578560245920283,-1.3882609655920566,1.080449886670935
