beta_true,eta_true,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
2.0,200,7,1,5.000000,459.627051,779.627976,3.000000,259.627051,-220.372024,0.839840
2.0,200,7,2,1.562878,132.822415,1042.512755,-0.437122,-67.177585,42.512755,0.917376
2.0,200,7,3,1.464779,155.754374,1002.592149,-0.535221,-44.245626,2.592149,0.953567
2.0,200,7,4,1.610533,169.286918,1045.352827,-0.389467,-30.713082,45.352827,0.913640
2.0,200,7,5,5.000000,286.981449,889.783177,3.000000,86.981449,-110.216823,0.811404
2.0,200,7,6,3.120526,242.456312,992.674083,1.120526,42.456312,-7.325917,0.855297
2.0,200,7,7,5.000000,574.123643,643.199339,3.000000,374.123643,-356.800661,0.743140
2.0,200,7,8,5.000000,536.295450,665.627237,3.000000,336.295450,-334.372763,0.904950
2.0,200,7,9,1.657900,145.770019,1088.254673,-0.342100,-54.229981,88.254673,0.942394
2.0,200,7,10,2.100000,215.677921,982.637833,0.100000,15.677921,-17.362167,0.921870
2.0,200,7,11,2.093386,216.968335,961.682440,0.093386,16.968335,-38.317560,0.870772
2.0,200,7,12,2.100000,265.078100,1000.413595,0.100000,65.078100,0.413595,0.914897
2.0,200,7,13,2.100000,144.823228,1040.770763,0.100000,-55.176772,40.770763,0.972152
2.0,200,7,14,2.100000,160.361598,981.791836,0.100000,-39.638402,-18.208164,0.969292
2.0,200,7,15,2.100000,151.039130,1071.095124,0.100000,-48.960870,71.095124,0.855732
2.0,200,7,16,2.976476,309.766062,917.511016,0.976476,109.766062,-82.488984,0.875794
2.0,200,7,17,5.000000,416.495269,792.455882,3.000000,216.495269,-207.544118,0.845922
2.0,200,7,18,5.000000,359.235645,824.749268,3.000000,159.235645,-175.250732,0.863837
2.0,200,7,19,2.100000,131.835446,1068.337255,0.100000,-68.164554,68.337255,0.913111
2.0,200,7,20,2.813752,189.425930,1004.484232,0.813752,-10.574070,4.484232,0.821052
2.0,200,7,21,1.825901,248.233508,975.302084,-0.174099,48.233508,-24.697916,0.922858
2.0,200,7,22,5.000000,560.639512,659.558787,3.000000,360.639512,-340.441213,0.833710
2.0,200,7,23,1.397310,169.944529,1019.665303,-0.602690,-30.055471,19.665303,0.913940
2.0,200,7,24,5.000000,310.023844,865.193890,3.000000,110.023844,-134.806110,0.799488
2.0,200,7,25,1.859168,110.686184,1020.649388,-0.140832,-89.313816,20.649388,0.913636
2.0,200,7,26,2.100000,256.074753,953.170261,0.100000,56.074753,-46.829739,0.851810
2.0,200,7,27,5.000000,424.379118,777.072434,3.000000,224.379118,-222.927566,0.889044
2.0,200,7,28,1.695529,226.117007,1017.087033,-0.304471,26.117007,17.087033,0.903213
2.0,200,7,29,2.444280,207.263664,1023.218093,0.444280,7.263664,23.218093,0.839406
2.0,200,7,30,5.000000,538.939164,670.683709,3.000000,338.939164,-329.316291,0.888479
2.0,200,7,31,5.000000,532.338319,689.102189,3.000000,332.338319,-310.897811,0.887757
2.0,200,7,32,5.000000,735.287159,540.764172,3.000000,535.287159,-459.235828,0.840333
2.0,200,7,33,5.000000,510.643641,783.280336,3.000000,310.643641,-216.719664,0.728305
2.0,200,7,34,1.811265,160.086877,1013.886091,-0.188735,-39.913123,13.886091,0.890102
2.0,200,7,35,2.100000,339.446955,1004.423020,0.100000,139.446955,4.423020,0.957292
2.0,200,7,36,5.000000,314.652839,864.654367,3.000000,114.652839,-135.345633,0.743841
