beta_true,eta_true,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
7,1000,10,67,1.979945,309.784296,1657.447053,-5.020055,-690.215704,657.447053,0.943507
7,1000,10,68,2.142742,383.265509,1552.967370,-4.857258,-616.734491,552.967370,0.953971
7,1000,10,69,5.048901,450.945995,1492.829403,-1.951099,-549.054005,492.829403,0.817582
7,1000,10,70,5.108365,658.650192,1342.188861,-1.891635,-341.349808,342.188861,0.802297
7,1000,10,71,5.000000,516.038418,1506.605391,-2.000000,-483.961582,506.605391,0.861881
7,1000,10,72,5.000000,928.050521,1086.944096,-2.000000,-71.949479,86.944096,0.741801
7,1000,10,73,5.037457,965.991405,1114.811676,-1.962543,-34.008595,114.811676,0.837851
7,1000,10,74,3.112384,461.635847,1573.865746,-3.887616,-538.364153,573.865746,0.900129
7,1000,10,75,3.849876,392.924251,1620.836299,-3.150124,-607.075749,620.836299,0.863456
7,1000,10,76,2.109292,302.854620,1641.669619,-4.890708,-697.145380,641.669619,0.947191
7,1000,10,77,2.484534,241.003972,1705.974753,-4.515466,-758.996028,705.974753,0.932784
7,1000,10,78,4.454679,774.554573,1242.690739,-2.545321,-225.445427,242.690739,0.851246
7,1000,10,79,2.000000,244.100804,1768.913001,-5.000000,-755.899196,768.913001,0.946718
7,1000,10,80,2.675055,431.062813,1570.848618,-4.324945,-568.937187,570.848618,0.909964
7,1000,10,81,2.876577,607.545636,1327.631960,-4.123423,-392.454364,327.631960,0.875413
7,1000,10,82,4.937349,879.164926,1117.957077,-2.062651,-120.835074,117.957077,0.727471
7,1000,10,83,5.455037,679.559878,1224.850326,-1.544963,-320.440122,224.850326,0.488768
7,1000,10,84,3.962581,447.264587,1535.296511,-3.037419,-552.735413,535.296511,0.876844
7,1000,10,85,2.151170,221.630042,1794.020598,-4.848830,-778.369958,794.020598,0.932835
7,1000,10,86,1.872423,304.716258,1528.171552,-5.127577,-695.283742,528.171552,0.850657
7,1000,10,87,1.738864,389.162810,1600.001702,-5.261136,-610.837190,600.001702,0.943403
7,1000,10,88,4.900000,511.133353,1502.117963,-2.100000,-488.866647,502.117963,0.898030
7,1000,10,89,2.472567,303.286705,1632.178215,-4.527433,-696.713295,632.178215,0.931728
7,1000,10,90,1.699486,295.860191,1733.979798,-5.300514,-704.139809,733.979798,0.951100
7,1000,10,91,3.272533,689.701930,1231.923219,-3.727467,-310.298070,231.923219,0.854279
7,1000,10,92,5.000000,660.232047,1347.773453,-2.000000,-339.767953,347.773453,0.844017
7,1000,10,93,1.652073,199.153788,1755.684875,-5.347927,-800.846212,755.684875,0.920348
7,1000,10,94,5.084036,860.570666,1127.137480,-1.915964,-139.429334,127.137480,0.803918
7,1000,10,95,2.000000,238.969028,1721.333548,-5.000000,-761.030972,721.333548,0.968848
7,1000,10,96,2.745959,576.292948,1410.914853,-4.254041,-423.707052,410.914853,0.942570
7,1000,10,97,3.548828,627.021180,1345.250412,-3.451172,-372.978820,345.250412,0.911703
7,1000,10,98,2.713202,464.584786,1438.661734,-4.286798,-535.415214,438.661734,0.937568
7,1000,10,99,1.742244,276.087409,1741.199409,-5.257756,-723.912591,741.199409,0.935646
7,1000,10,100,2.348556,309.431004,1653.982238,-4.651444,-690.568996,653.982238,0.889302
7,1000,10,101,5.073861,701.738257,1306.683076,-1.926139,-298.261743,306.683076,0.814324
7,1000,10,102,2.033059,290.433916,1766.036019,-4.966941,-709.566084,766.036019,0.893670
7,1000,10,103,1.585669,265.407327,1593.160547,-5.414331,-734.592673,593.160547,0.919316
7,1000,10,104,4.018285,886.453211,1043.963665,-2.981715,-113.546789,43.963665,0.826835
7,1000,10,105,1.711445,183.900347,1747.788210,-5.288555,-816.099653,747.788210,0.936178
7,1000,10,106,5.136961,805.120083,1106.154453,-1.863039,-194.879917,106.154453,0.788062
7,1000,10,107,1.483687,237.379936,1778.771025,-5.516313,-762.620064,778.771025,0.947004
7,1000,10,108,3.900000,449.408167,1605.522646,-3.100000,-550.591833,605.522646,0.835960
7,1000,10,109,5.000000,688.897168,1224.793743,-2.000000,-311.102832,224.793743,0.803104
7,1000,10,110,5.549348,426.801335,1582.764020,-1.450652,-573.198665,582.764020,0.412987
7,1000,10,111,2.918623,255.917820,1705.890883,-4.081377,-744.082180,705.890883,0.877747
7,1000,10,112,2.613550,596.136304,1419.647433,-4.386450,-403.863696,419.647433,0.929893
7,1000,10,113,2.286838,350.690369,1664.425128,-4.713162,-649.309631,664.425128,0.913241
7,1000,10,114,5.152445,976.506964,1044.633696,-1.847555,-23.493036,44.633696,0.777956
7,1000,10,115,5.096005,832.382310,1208.001324,-1.903995,-167.617690,208.001324,0.682823
7,1000,10,116,5.103130,696.065692,1331.965739,-1.896870,-303.934308,331.965739,0.653456
7,1000,10,117,5.617658,815.833610,1233.496024,-1.382342,-184.166390,233.496024,0.262433
7,1000,10,118,5.132824,797.479869,1226.157087,-1.867176,-202.520131,226.157087,0.748317
7,1000,10,119,3.273698,335.200808,1694.500876,-3.726302,-664.799192,694.500876,0.875316
7,1000,10,120,1.392397,192.728449,1763.667221,-5.607603,-807.271551,763.667221,0.957231
7,1000,10,121,2.000000,325.031749,1618.846143,-5.000000,-674.968251,618.846143,0.927319
7,1000,10,122,1.768155,296.471833,1605.994040,-5.231845,-703.528167,605.994040,0.935368
7,1000,10,123,3.225319,834.128357,1097.216844,-3.774681,-165.871643,97.216844,0.919452
7,1000,10,124,3.104787,240.740107,1719.414262,-3.895213,-759.259893,719.414262,0.874169
7,1000,10,125,3.191129,544.455005,1383.131276,-3.808871,-455.544995,383.131276,0.925309
7,1000,10,126,2.621289,514.576704,1463.130206,-4.378711,-485.423296,463.130206,0.916522
7,1000,10,127,1.739273,228.586705,1806.848717,-5.260727,-771.413295,806.848717,0.948717
7,1000,10,128,3.749876,584.490104,1416.578725,-3.250124,-415.509896,416.578725,0.808590
7,1000,10,129,5.000000,734.369332,1190.992567,-2.000000,-265.630668,190.992567,0.672506
7,1000,10,130,5.000000,871.969081,1071.666115,-2.000000,-128.030919,71.666115,0.895225
7,1000,10,131,2.103298,323.903722,1706.423396,-4.896702,-676.096278,706.423396,0.906543
7,1000,10,132,1.900315,317.753424,1634.324049,-5.099685,-682.246576,634.324049,0.958243
7,1000,10,133,3.360541,375.478179,1621.695046,-3.639459,-624.521821,621.695046,0.888934
7,1000,10,134,4.869953,699.571490,1271.054153,-2.130047,-300.428510,271.054153,0.866942
7,1000,10,135,2.048512,322.405862,1615.479290,-4.951488,-677.594138,615.479290,0.941160
7,1000,10,136,3.135039,461.542657,1524.527278,-3.864961,-538.457343,524.527278,0.911095
7,1000,10,137,3.727115,331.180691,1668.873516,-3.272885,-668.819309,668.873516,0.908070
7,1000,10,138,1.440017,395.680861,1520.992121,-5.559983,-604.319139,520.992121,0.879109
7,1000,10,139,2.925900,210.345882,1806.163206,-4.074100,-789.654118,806.163206,0.874723
7,1000,10,140,4.169399,722.656470,1273.611437,-2.830601,-277.343530,273.611437,0.876501
7,1000,10,141,2.717940,326.785486,1688.742489,-4.282060,-673.214514,688.742489,0.899490
7,1000,10,142,4.307874,670.594725,1410.955787,-2.692126,-329.405275,410.955787,0.881681
7,1000,10,143,5.000000,459.641240,1584.275167,-2.000000,-540.358760,584.275167,0.862605
