sample_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma
Sample-1-1,1.241723221204818,660.4882125576095,1291.480043009358,-0.7582767787951821,-339.5117874423905,291.48004300935804
Sample-1-2,1.1723964824076267,761.8933875752871,1115.9795936403327,-0.8276035175923733,-238.10661242471292,115.97959364033272
Sample-1-3,1.7247283066394565,621.6447050256356,1153.4131706238798,-0.27527169336054347,-378.35529497436437,153.41317062387975
Sample-1-4,1.8186732746145597,791.7210358058303,1117.9917784305562,-0.18132672538544026,-208.2789641941697,117.99177843055622
Sample-1-5,1.5090324071805448,607.4949580912861,1299.5130751993381,-0.49096759281945523,-392.5050419087139,299.5130751993381
Sample-2-1,2.2176609688662103,742.4329767303273,1554.6893425312428,0.21766096886621034,-257.56702326967275,554.6893425312428
Sample-2-2,1.5516598624465565,1132.7263034242221,863.0862061364147,-0.4483401375534435,132.72630342422212,-136.91379386358528
Sample-2-3,1.3434319380705337,823.6022302706491,1149.3136313262899,-0.6565680619294663,-176.3977697293509,149.31363132628985
Sample-2-4,2.5198199676095983,1423.5073738788926,572.7855830172025,0.5198199676095983,423.5073738788926,-427.2144169827975
Sample-2-5,1.1749513124084152,542.6250516940316,1567.2937074268327,-0.8250486875915848,-457.37494830596836,567.2937074268327
Sample-3-1,2.3230604130348866,1439.3160430995886,770.7680130271607,0.32306041303488664,439.31604309958857,-229.2319869728393
Sample-3-2,1.0258169619864306,587.1660742812765,1620.546177954649,-0.9741830380135694,-412.83392571872355,620.546177954649
Sample-3-3,1.2987096263179716,987.9215161536374,1164.8865405566453,-0.7012903736820284,-12.078483846362587,164.8865405566453
Sample-3-4,0.9577468735314026,317.7761034701127,1131.9131868919771,-1.0422531264685975,-682.2238965298873,131.91318689197715
Sample-3-5,3.3892440180253613,1481.4598088197547,517.1904356455614,1.3892440180253613,481.4598088197547,-482.80956435443863
Sample-4-1,2.017479713738604,584.63353273211,1136.7125241056438,0.01747971373860402,-415.36646726789,136.71252410564375
Sample-4-2,2.8822115861704236,1202.705086117702,715.1464337437678,0.8822115861704236,202.70508611770197,-284.85356625623217
Sample-4-3,3.943287946776372,901.4942627107515,1008.5784152969138,1.9432879467763722,-98.50573728924849,8.578415296913818
Sample-4-4,1.504790521650454,971.6520348242769,945.1904565736515,-0.495209478349546,-28.34796517572306,-54.809543426348455
Sample-4-5,1.6216452271947646,419.8894414078228,1346.7660499378972,-0.37835477280523544,-580.1105585921772,346.76604993789715
Sample-5-1,1.7240856116828738,899.192225623945,1265.0902624181483,-0.2759143883171262,-100.80777437605502,265.0902624181483
Sample-5-2,2.431161294670844,1284.23305702899,717.9932029923416,0.4311612946708441,284.23305702899006,-282.0067970076584
Sample-5-3,0.6137084321317491,316.0889499308345,1557.782490585847,-1.386291567868251,-683.9110500691655,557.782490585847
Sample-5-4,1.5786891657862312,903.5110549897627,944.1910873764377,-0.4213108342137688,-96.48894501023733,-55.808912623562264
Sample-5-5,2.093924699968136,944.5025242417435,989.3611394407485,0.0939246999681358,-55.49747575825654,-10.638860559251498
Sample-6-1,1.2694594641079668,687.7846585415188,1298.0222176225957,-0.7305405358920332,-312.21534145848125,298.0222176225957
Sample-6-2,1.0828403847271348,516.5762626674857,1555.5851988732522,-0.9171596152728652,-483.4237373325143,555.5851988732522
Sample-6-3,0.6318536366321733,313.8320365906693,1422.513334373346,-1.3681463633678268,-686.1679634093307,422.51333437334597
Sample-6-4,1.8723726225790844,715.3193793263437,1009.4352014755873,-0.12762737742091557,-284.68062067365634,9.435201475587291
Sample-6-5,1.8296599192137157,1199.2945626872377,1305.6734807663881,-0.17034008078628426,199.29456268723766,305.67348076638814
