model,split,selected_delta,count,fraction
Tabular-L6,combo_holdout_pooled,0.04,5780,0.12844444444444444
Tabular-L6,combo_holdout_pooled,0.06,3890,0.08644444444444445
Tabular-L6,combo_holdout_pooled,0.08,3977,0.08837777777777778
Tabular-L6,combo_holdout_pooled,0.1,2181,0.048466666666666665
Tabular-L6,combo_holdout_pooled,0.12,2163,0.04806666666666667
Tabular-L6,combo_holdout_pooled,0.14,998,0.02217777777777778
Tabular-L6,combo_holdout_pooled,0.16,522,0.0116
Tabular-L6,combo_holdout_pooled,0.18,246,0.0054666666666666665
Tabular-L6,combo_holdout_pooled,0.2,143,0.0031777777777777776
Tabular-L6,combo_holdout_pooled,0.22,137,0.0030444444444444442
Tabular-L6,combo_holdout_pooled,0.24,124,0.0027555555555555554
Tabular-L6,combo_holdout_pooled,0.26,220,0.004888888888888889
Tabular-L6,combo_holdout_pooled,0.28,126,0.0028
Tabular-L6,combo_holdout_pooled,0.3,146,0.0032444444444444443
Tabular-L6,combo_holdout_pooled,0.32,213,0.004733333333333333
Tabular-L6,combo_holdout_pooled,0.34,342,0.0076
Tabular-L6,combo_holdout_pooled,0.36,413,0.009177777777777778
Tabular-L6,combo_holdout_pooled,0.38,540,0.012
Tabular-L6,combo_holdout_pooled,0.4,1090,0.02422222222222222
Tabular-L6,combo_holdout_pooled,0.42,1531,0.034022222222222225
Tabular-L6,combo_holdout_pooled,0.44,1700,0.03777777777777778
Tabular-L6,combo_holdout_pooled,0.46,1791,0.0398
Tabular-L6,combo_holdout_pooled,0.48,1523,0.03384444444444445
Tabular-L6,combo_holdout_pooled,0.5,71,0.0015777777777777778
Default,combo_holdout_pooled,0.1,45000,1.0
L1,combo_holdout_pooled,0.08,45000,1.0
L2,combo_holdout_pooled,0.08,15000,0.3333333333333333
L2,combo_holdout_pooled,0.1,30000,0.6666666666666666
L3-oracle,combo_holdout_pooled,0.04,18000,0.4
L3-oracle,combo_holdout_pooled,0.12,9000,0.2
L3-oracle,combo_holdout_pooled,0.2,9000,0.2
L3-oracle,combo_holdout_pooled,0.36,9000,0.2
L4-oracle,combo_holdout_pooled,0.02,3000,0.06666666666666667
L4-oracle,combo_holdout_pooled,0.04,12000,0.26666666666666666
L4-oracle,combo_holdout_pooled,0.06,3000,0.06666666666666667
L4-oracle,combo_holdout_pooled,0.12,3000,0.06666666666666667
L4-oracle,combo_holdout_pooled,0.14,3000,0.06666666666666667
L4-oracle,combo_holdout_pooled,0.16,6000,0.13333333333333333
L4-oracle,combo_holdout_pooled,0.2,3000,0.06666666666666667
L4-oracle,combo_holdout_pooled,0.28,3000,0.06666666666666667
L4-oracle,combo_holdout_pooled,0.3,3000,0.06666666666666667
L4-oracle,combo_holdout_pooled,0.42,3000,0.06666666666666667
L4-oracle,combo_holdout_pooled,0.5,3000,0.06666666666666667
L5-oracle,combo_holdout_pooled,0.0,5000,0.1111111111111111
L5-oracle,combo_holdout_pooled,0.02,2000,0.044444444444444446
L5-oracle,combo_holdout_pooled,0.04,9000,0.2
L5-oracle,combo_holdout_pooled,0.06,5000,0.1111111111111111
L5-oracle,combo_holdout_pooled,0.08,1000,0.022222222222222223
L5-oracle,combo_holdout_pooled,0.1,2000,0.044444444444444446
L5-oracle,combo_holdout_pooled,0.12,2000,0.044444444444444446
L5-oracle,combo_holdout_pooled,0.14,1000,0.022222222222222223
L5-oracle,combo_holdout_pooled,0.16,4000,0.08888888888888889
L5-oracle,combo_holdout_pooled,0.18,2000,0.044444444444444446
L5-oracle,combo_holdout_pooled,0.2,1000,0.022222222222222223
L5-oracle,combo_holdout_pooled,0.24,2000,0.044444444444444446
L5-oracle,combo_holdout_pooled,0.3,2000,0.044444444444444446
L5-oracle,combo_holdout_pooled,0.32,2000,0.044444444444444446
L5-oracle,combo_holdout_pooled,0.42,2000,0.044444444444444446
L5-oracle,combo_holdout_pooled,0.5,3000,0.06666666666666667
L6-hindsight,combo_holdout_pooled,0.0,21355,0.47455555555555556
L6-hindsight,combo_holdout_pooled,0.02,4602,0.10226666666666667
L6-hindsight,combo_holdout_pooled,0.04,2878,0.06395555555555556
L6-hindsight,combo_holdout_pooled,0.06,2051,0.04557777777777778
L6-hindsight,combo_holdout_pooled,0.08,1498,0.03328888888888889
L6-hindsight,combo_holdout_pooled,0.1,1151,0.02557777777777778
