contract,n,fold,seed,mse_P,mse_Q,mse_QD
grid,10,3,2026,0.029559471350532652,0.02966849012670604,
grid,10,3,3407,0.03023132040189062,0.029676793602325755,
grid,10,3,17,0.02924583990976234,0.02942125318141804,
grid,10,3,73,0.02943121918398098,0.02979024348758567,
grid,10,3,314,0.029458100087447606,0.029877754731243305,
grid,10,3,2718,0.02938073179939051,0.02942069939689323,
grid,10,3,4099,0.029363874519403754,0.029805008207061688,
grid,10,3,8128,0.029189114655595035,0.029639785492303124,
grid,10,3,12011,0.02948853737527924,0.02969292017524713,
grid,10,4,42,0.02972259606213619,0.027971040711978395,
grid,10,4,2026,0.02960078746323377,0.028171262623273664,
grid,10,4,3407,0.030151699406600934,0.028082396824689344,
grid,10,4,17,0.029047623185994943,0.028296526056653934,
grid,10,4,73,0.029831958904548383,0.02798303185623149,
grid,10,4,314,0.03030718022720133,0.028188183077215274,
grid,10,4,2718,0.02925464772723629,0.02796630046859662,
grid,10,4,4099,0.030250821003464014,0.027741001701268548,
grid,10,4,8128,0.029362826065453013,0.028273736441268328,
grid,10,4,12011,0.029836244838087,0.028114495319915934,
grid,10,5,42,0.03276115552126292,0.02886356133537215,
grid,10,5,2026,0.034447708564635596,0.028532475260609706,
grid,10,5,3407,0.03205819979626908,0.028647407678218162,
grid,10,5,17,0.03116087836468953,0.02875403471294963,
grid,10,5,73,0.033065850752282216,0.028615779200245304,
grid,10,5,314,0.03142322997348264,0.028792569336785968,
grid,10,5,2718,0.032739156916249686,0.028582415889912945,
grid,10,5,4099,0.03300239286581884,0.028499030811635986,
grid,10,5,8128,0.031840178054176285,0.02870819733805907,
grid,10,5,12011,0.03239902426470849,0.028951639945891318,
grid,15,1,42,0.023026498458641728,0.020205587945767392,
grid,15,1,2026,0.02300197359071921,0.02034411843363029,
grid,15,1,3407,0.022800508615018266,0.020456515757322987,
grid,15,1,17,0.0215395857957642,0.02030287340836415,
grid,15,1,73,0.02222539144700299,0.02035169714304944,
grid,15,1,314,0.02246113958869553,0.020656671791161506,
grid,15,1,2718,0.02258506181808356,0.020283556896949474,
grid,15,1,4099,0.02322946494390329,0.020369319570312946,
grid,15,1,8128,0.02275838036518429,0.020193154076555083,
grid,15,1,12011,0.022025966333663778,0.02037409323669915,
grid,15,2,42,0.019059527651935533,0.0187695428504968,
grid,15,2,2026,0.018816567799119197,0.019051819150425014,
grid,15,2,3407,0.018981541738248512,0.018934370498128537,
grid,15,2,17,0.018608409664906938,0.01905225695796639,
grid,15,2,73,0.018835412346314907,0.018746422839235104,
grid,15,2,314,0.018844834181763713,0.018770712191684205,
grid,15,2,2718,0.018424158087417975,0.01877633131255865,
grid,15,2,4099,0.01905140848638419,0.018781125428520323,
grid,15,2,8128,0.01926538953891409,0.018798629653903554,
grid,15,2,12011,0.0194368952810621,0.018695272463953173,
grid,15,3,42,0.023861001158553333,0.022581199076843077,
grid,15,3,2026,0.024083396818105177,0.02270376766683306,
grid,15,3,3407,0.025180336288783644,0.02273136030254743,
grid,15,3,17,0.024514555880546282,0.02241833727723733,
grid,15,3,73,0.024561166163132944,0.02247576965301193,
grid,15,3,314,0.024374578238427022,0.022576793656013498,
grid,15,3,2718,0.02447534259228622,0.022500558416338034,
grid,15,3,4099,0.024380279476115815,0.022734482590911678,
grid,15,3,8128,0.0243507496811053,0.02256106175224333,
grid,15,3,12011,0.02430447928824892,0.022462313407956343,
grid,15,4,42,0.018228982562168216,0.01793104005283905,
grid,15,4,2026,0.01794361292379931,0.017969636074011686,
grid,15,4,3407,0.018873628744163564,0.01807738917771141,
grid,15,4,17,0.018863437745312826,0.018004473878647582,
grid,15,4,73,0.019071116717118454,0.018117975323275495,
grid,15,4,314,0.01911550605939401,0.017937257067766454,
grid,15,4,2718,0.017779979113238312,0.017892413698912844,
grid,15,4,4099,0.019206875654126127,0.017987632938029838,
grid,15,4,8128,0.018565716710515937,0.018167749840019728,
grid,15,4,12011,0.018736126248324478,0.01784122226779534,
grid,15,5,42,0.0196712044787322,0.018882859242386935,
grid,15,5,2026,0.01945468711944161,0.01874544702121657,
grid,15,5,3407,0.019793123140567144,0.019196161292638236,
grid,15,5,17,0.01915312622797641,0.018950007747579316,
grid,15,5,73,0.01995262195166706,0.018821753432480322,
grid,15,5,314,0.019939534607400902,0.01893965364878704,
grid,15,5,2718,0.019826187294721877,0.01920575023484776,
grid,15,5,4099,0.019812977004969846,0.018762107542970433,
grid,15,5,8128,0.019844279690688686,0.019031484127178,
grid,15,5,12011,0.019723579489381454,0.018857725612435816,
grid,20,1,42,0.014451904582628862,0.013995176067365911,
grid,20,1,2026,0.014462104967894355,0.014006070633882572,
grid,20,1,3407,0.01434262135216799,0.013919648594162762,
grid,20,1,17,0.014391798539213258,0.013968076608997505,
grid,20,1,73,0.014668901706885179,0.014010935660993047,
grid,20,1,314,0.014581382952012225,0.014007067847015098,
grid,20,1,2718,0.01438704264708874,0.01387613051612728,
grid,20,1,4099,0.014410437964158487,0.013932824612887753,
grid,20,1,8128,0.014586681836765111,0.013914306652383824,
grid,20,1,12011,0.015014320559084658,0.014076905030299928,
grid,20,2,42,0.01450051897826186,0.014221284398761818,
grid,20,2,2026,0.01467195156529394,0.014200243341561114,
grid,20,2,3407,0.014496489335716234,0.01419924451375612,
grid,20,2,17,0.014630318577590682,0.014184248366377853,
grid,20,2,73,0.014334620388970525,0.014279553211172588,
grid,20,2,314,0.014156845994988435,0.014240059873755945,
grid,20,2,2718,0.014025477303321038,0.014189813830910513,
grid,20,2,4099,0.01443886405349445,0.014195372051738637,
grid,20,2,8128,0.014522926234489546,0.014190548348305623,
grid,20,2,12011,0.01422544847753453,0.014115057793470054,
grid,20,3,42,0.01483100276623786,0.014398836934743168,
grid,20,3,2026,0.015122637122534173,0.014198442638174717,
grid,20,3,3407,0.014479149052225325,0.013936744814767131,
grid,20,3,17,0.015023748744127085,0.014011818355406032,
grid,20,3,73,0.014738607658745184,0.01427634102083732,
grid,20,3,314,0.014241287812349969,0.01421214769985275,
grid,20,3,2718,0.014769842897032962,0.014032695197712114,
grid,20,3,4099,0.014859591647902952,0.014256326965788733,
grid,20,3,8128,0.014745357421195027,0.014075996044462146,
grid,20,3,12011,0.015240287707752084,0.014284675911874073,
grid,20,4,42,0.01621209186498905,0.01577710110283339,
grid,20,4,2026,0.01641709157607135,0.015717549257150486,
grid,20,4,3407,0.016858253324161934,0.015767066020742727,
grid,20,4,17,0.016447371039104777,0.015790892355342076,
grid,20,4,73,0.016676821688300307,0.015590720455160993,
grid,20,4,314,0.01588120230286789,0.015866664469501607,
grid,20,4,2718,0.016771274867681544,0.01564205798858731,
grid,20,4,4099,0.016639598995552216,0.01572067103430403,
grid,20,4,8128,0.016585299135817824,0.015678973632692716,
grid,20,4,12011,0.016708426140187017,0.015719993242418906,
grid,20,5,42,0.01350163136381156,0.012774974565270743,
grid,20,5,2026,0.013387915386543655,0.012783438964681086,
grid,20,5,3407,0.013531013571776496,0.012814832335584338,
grid,20,5,17,0.013259905749033936,0.012749079092561264,
grid,20,5,73,0.013329010880578177,0.012824071348981588,
grid,20,5,314,0.013156397942890903,0.012702133805066119,
grid,20,5,2718,0.01371786752303954,0.012916051454851663,
grid,20,5,4099,0.013107906674016182,0.012709672364041944,
grid,20,5,8128,0.013735472320319365,0.012811407874378454,
grid,20,5,12011,0.013436054605477653,0.012874780832936658,
continuous,7,1,42,0.0285152576831218,0.02867731755649538,0.028210934140693464
continuous,7,1,2026,0.028843090329246923,0.028487332771863803,0.028100321039691813
continuous,7,1,3407,0.02822087827343786,0.02868486129640102,0.028282289776936233
continuous,7,1,17,0.028641915600996378,0.028646890369788628,0.02791795902997655
continuous,7,1,73,0.028502736833634662,0.02861229754950628,0.02774602499145754
continuous,7,1,314,0.02843565834516011,0.028549692350288498,0.02788317891576907
continuous,7,1,2718,0.028248922603781104,0.028722054007991438,0.02807480749197311
continuous,7,1,4099,0.02849321519348304,0.02859649882286057,0.028015320879495664
