level,group,delta,mean_composite,mean_bias_beta,mean_bias_gamma,mean_bias_eta,mean_sd_beta,mean_sd_gamma,mean_sd_eta
L1,n=20,0.2,1.0310438766666665,-0.7015341655555556,0.1571559175555555,-0.17235379355555552,0.5203292179223662,0.15605043761825368,0.18914714459202647
L1,n=20,0.22,1.0777493935555553,-0.7326323804444443,0.16460554999999996,-0.1805114631111111,0.5049117380497495,0.15228104188622205,0.18466697511674007
L1,n=20,0.24,1.1202136168888888,-0.7605849624444444,0.1715011122222222,-0.18812754222222214,0.49207607291340705,0.14882480593516234,0.18050129307516719
L1,n=20,0.26,1.1587745375555556,-0.7856940495555556,0.17786401044444436,-0.19521647755555555,0.4817251292068893,0.14570342965095984,0.17664321969637928
L1,n=20,0.28,1.193990187111111,-0.8083406086666667,0.18377975266666668,-0.20186982577777773,0.473391501217133,0.1428565791132269,0.17307585642663872
L1,n=20,0.3,1.226495666,-0.8291809493333333,0.18924683111111107,-0.20806788555555547,0.4657598442151637,0.14032687391996126,0.16985126129815456
L1,n=20,0.32,1.2564691597777777,-0.8481838953333334,0.19436209799999998,-0.21392316644444442,0.45945668661360184,0.1380113432582389,0.1668508635778137
L1,n=20,0.34,1.2840487019999998,-0.8652637093333332,0.19922744399999998,-0.21955754866666663,0.4551440970410283,0.13584705911533945,0.1639965197498691
L1,n=20,0.36,1.309477582888889,-0.8807226573333334,0.20382090222222216,-0.22493402333333334,0.4519185133235603,0.1338761780725328,0.16133945486545467
L1,n=20,0.38,1.3331488575555557,-0.8950122079999999,0.2081222944444444,-0.23001435511111104,0.4491811223053533,0.1320754843618289,0.1588833361976225
L1,n=20,0.4,1.3551629288888887,-0.9080593019999998,0.21220895377777776,-0.23489467311111106,0.4473260933083581,0.1303505562883344,0.15651926408475278
L1,n=20,0.42,1.37565999,-0.9200705131111112,0.21605545222222217,-0.23953402466666665,0.4461147994701291,0.12878240211437308,0.1543308960876451
L1,n=20,0.44,1.3945977713333333,-0.930810277111111,0.21974478755555557,-0.24404270666666664,0.44585177278575905,0.12727338999967522,0.15221487074593212
L1,n=20,0.46,1.4121331215555555,-0.9404691853333335,0.22326560688888886,-0.24839832933333325,0.4464516428157417,0.12588303156812936,0.15024501981179225
L1,n=20,0.48,1.4287196031111111,-0.9496789113333333,0.22655090088888885,-0.25248979088888884,0.44678162564702517,0.12468947272268863,0.14850094045411716
L1,n=20,0.5,1.4441009766666666,-0.9579683693333334,0.22968700488888893,-0.2564456024444444,0.44785723944000316,0.12355070038827955,0.14678735903183415
L2,beta=2.0,0.0,0.6940770582222222,0.4184721662222224,-0.10281452822222222,0.1004012406666667,1.1969274905573417,0.33472300828521767,0.4098891583404644
L2,beta=2.0,0.02,0.420662312222222,0.2079860326666666,-0.041520688888888865,0.03635648444444441,0.9847341702709377,0.29939415232277916,0.3739830869476677
L2,beta=2.0,0.04,0.26585940155555543,0.08444590488888894,-0.0046534904444444245,-0.0023451484444444986,0.861436492442932,0.2737640663870513,0.34799268763675684
L2,beta=2.0,0.06,0.17430481599999992,-0.003627612888888928,0.021958455111111115,-0.030460548888888914,0.7759417472947553,0.25392508176763806,0.3274932616107962
L2,beta=2.0,0.08,0.19452085133333336,-0.07048494711111113,0.04223992844444438,-0.05204787222222219,0.7143615592301855,0.23919771876867657,0.3117009825822405
L2,beta=2.0,0.1,0.2605055866666666,-0.12394089688888885,0.05844841711111107,-0.06942446155555558,0.66726102563988,0.2278258820825836,0.29922316890568923
L2,beta=2.0,0.12,0.3230517217777777,-0.16715553844444442,0.0719156457777777,-0.08398053755555554,0.6354660230967849,0.2190141085831294,0.28912801566970425
L2,beta=2.0,0.14,0.3827082413333333,-0.20251204244444443,0.08354083066666665,-0.0966553682222222,0.6179164263351757,0.2116568408643171,0.2806717589646854
L2,beta=2.0,0.16,0.4346933822222221,-0.23348840911111113,0.09355740155555549,-0.10764757155555554,0.604446874286952,0.20548069686166506,0.2734241942643128
L2,beta=2.0,0.18,0.4807290584444444,-0.26089805600000004,0.10240277911111108,-0.1174282233333333,0.5912359359813872,0.20024411340472048,0.2671027281240763
L2,beta=2.0,0.2,0.5217543788888889,-0.2850119877777778,0.11039403577777777,-0.1263483553333333,0.5804954540498422,0.19582354066614405,0.2613883475703753
L2,beta=2.0,0.22,0.5584514464444443,-0.3062799868888888,0.1176465046666666,-0.13452495488888883,0.5723839407421665,0.19187927671897548,0.2563642187251118
L2,beta=2.0,0.24,0.5925888377777776,-0.3263122491111111,0.12425791466666666,-0.14201867399999996,0.563624691826548,0.1883290499069761,0.2517227193179278
L2,beta=2.0,0.26,0.6237063942222222,-0.3442962128888889,0.13038367288888886,-0.14902650844444443,0.5566104709958488,0.1851957771458201,0.24746547843863745
L2,beta=2.0,0.28,0.6514776846666666,-0.35966991577777774,0.13612490644444442,-0.1556828624444445,0.5537522258576055,0.182348399195675,0.24365724384652468
L2,beta=2.0,0.3,0.6767443277777776,-0.37278002400000004,0.14170748688888882,-0.16225681688888882,0.5532847580634205,0.17973977067885577,0.23990139048745418
L2,beta=2.0,0.32,0.7005595106666666,-0.38595778533333325,0.14659198977777776,-0.1680097355555555,0.5507200237740473,0.1775788841092632,0.23675180361941278
L2,beta=2.0,0.34,0.7228758473333332,-0.3978337586666666,0.1513511602222222,-0.17369092844444442,0.5493558705174105,0.17532221705709483,0.23355018732272725
L2,beta=2.0,0.36,0.7426519897777776,-0.40705532266666666,0.15610800488888885,-0.17948866222222215,0.5518974753457632,0.1732923406176783,0.23061120133028712
L2,beta=2.0,0.38,0.761716782888889,-0.416761376,0.16032188755555554,-0.1846335193333333,0.5516299877658015,0.1713711540854052,0.22790077586470966
L2,beta=2.0,0.4,0.7794173088888887,-0.42530583799999994,0.164408282,-0.18970318888888885,0.5523502868668518,0.16960629214705833,0.22523869825537807
L2,beta=2.0,0.42,0.7960592646666665,-0.4330834322222222,0.1683466811111111,-0.1946291513333333,0.5535418189450722,0.1678041860428313,0.2227644610430415
L2,beta=2.0,0.44,0.8118386559999998,-0.44030101022222223,0.17212180711111108,-0.19941583866666665,0.5546084867626374,0.16610233095877205,0.22002856007609292
L2,beta=2.0,0.46,0.8266677760000001,-0.44722671555555554,0.17559018577777774,-0.20385087466666663,0.5555030306833725,0.16476988229671205,0.21772309113098587
L2,beta=2.0,0.48,0.8401026833333333,-0.45218098088888886,0.17925680044444442,-0.20866490199999996,0.5586697567736878,0.1633797482941574,0.21517901219871632
L2,beta=2.0,0.5,0.852782409111111,-0.4570561033333333,0.18262156066666668,-0.2131047451111111,0.5615822840037574,0.16211041763629516,0.21297975564190635
L2,beta=2.5,0.0,0.86176893,0.4921903426666667,-0.110321364,0.10010339933333333,1.520486622012138,0.3753414285934342,0.42659263539456815
L2,beta=2.5,0.02,0.3782738548888888,0.10668748111111112,-0.013074455333333321,-9.906888888867717e-06,1.1583759369441748,0.32364553836959137,0.3744500827299972
L2,beta=2.5,0.04,0.25161041599999995,-0.08735437755555558,0.03770755955555551,-0.05268541311111107,0.9883835555728103,0.29157214099014184,0.3410403830542789
L2,beta=2.5,0.06,0.3762778726666666,-0.21625303622222225,0.07176583711111109,-0.08825899933333331,0.880449670774789,0.26890425660301015,0.3169205901628671
L2,beta=2.5,0.08,0.5222837611111111,-0.3109601224444444,0.09676589799999993,-0.11455774066666666,0.8046798577497866,0.25277744043666356,0.2994705191949225
L2,beta=2.5,0.1,0.6371747237777777,-0.3853382744444444,0.11643883533333331,-0.13539761399999997,0.7478253758345441,0.2404528407149561,0.2858683761713283
L2,beta=2.5,0.12,0.7312026742222222,-0.44603280888888885,0.13256669688888886,-0.15260316844444444,0.7035658124887519,0.23067835307507695,0.2747683039627357
L2,beta=2.5,0.14,0.807059588888889,-0.493020608,0.14647214866666664,-0.16756683222222224,0.7046790553309954,0.22241046316179855,0.26515049604797253
L2,beta=2.5,0.16,0.874653679333333,-0.5354374804444444,0.1585490446666666,-0.18066715422222218,0.6839311100975737,0.21548267773448243,0.25686520629520887
L2,beta=2.5,0.18,0.9338257424444443,-0.5723916742222221,0.16916280599999997,-0.19227126222222218,0.6673850408915567,0.20957735308870803,0.24961641780359184
L2,beta=2.5,0.2,0.9858942006666668,-0.604585426888889,0.17861475222222217,-0.20269402155555555,0.6554110635914335,0.20443994003456128,0.24330262105073336
L2,beta=2.5,0.22,1.0313929766666665,-0.6316735493333334,0.1873105013333333,-0.21240892599999997,0.6503542891668213,0.19978493638913356,0.23732116559652627
L2,beta=2.5,0.24,1.072414113111111,-0.6556291851111111,0.1953294213333333,-0.22145550666666658,0.6466271910001403,0.19557645598048531,0.2319419729097576
L2,beta=2.5,0.26,1.1098862926666666,-0.6777976946666666,0.20249583066666663,-0.22959276733333336,0.641374752097081,0.1919068737264933,0.22720515748872852
L2,beta=2.5,0.28,1.143851068,-0.6971663306666668,0.20928023044444444,-0.23740450688888887,0.6392287072238327,0.1884145179726462,0.2225181766095617
L2,beta=2.5,0.3,1.1751772584444444,-0.7151312735555556,0.2154628015555555,-0.2445831833333333,0.6364820342203292,0.1853594419904401,0.2182864227364936
L2,beta=2.5,0.32,1.203619287111111,-0.7308211457777778,0.22132518711111102,-0.25147295422222216,0.6368333204531411,0.18262984325880968,0.21440355414594492
L2,beta=2.5,0.34,1.228894704,-0.7435378635555556,0.22704200177777775,-0.25831483866666666,0.6401628089868711,0.1799854290725887,0.21047884877991863
L2,beta=2.5,0.36,1.251913325111111,-0.7545962588888888,0.23243471977777772,-0.26488234644444447,0.6438086566325608,0.17743055907574506,0.20667866411039718
L2,beta=2.5,0.38,1.2731639255555554,-0.7646001304444445,0.23748181244444438,-0.2710819826666666,0.647666858818673,0.1751209326389883,0.20322800997136825
L2,beta=2.5,0.4,1.2928543082222221,-0.7736962277777777,0.2422047073333332,-0.27695337311111107,0.650874698409733,0.17280807107971385,0.1999288496309404
L2,beta=2.5,0.42,1.3109993297777776,-0.7819183013333333,0.24660694511111098,-0.28247408333333335,0.6545461014869172,0.1708853026883776,0.19707466544650767
L2,beta=2.5,0.44,1.3282539024444444,-0.7898291851111111,0.2507242837777777,-0.28770043355555547,0.6575055389246518,0.1690929850743272,0.19416861727563112
L2,beta=2.5,0.46,1.3446057868888888,-0.7976349024444445,0.25448134422222224,-0.2924895402222222,0.6597432272359987,0.16747245598242938,0.19157713469355653
L2,beta=2.5,0.48,1.3587090415555554,-0.8024530731111111,0.2584941997777777,-0.2977617686666666,0.6649394569826756,0.16583140040576697,0.1889558546034942
L2,beta=2.5,0.5,1.3722119886666666,-0.8078583026666666,0.2619933057777778,-0.3023603802222221,0.6682285395838607,0.16437854423261744,0.18672844594308408
L2,beta=4.0,0.0,1.2353467297777776,0.6266095617777777,-0.11306283444444443,0.10523261399999997,2.4632743860774955,0.4491249225836089,0.4746214884408569
L2,beta=4.0,0.02,0.6712320548888889,-0.4834347673333334,0.08838298177777773,-0.09941430577777777,1.5667608877387116,0.36366955617018076,0.3869586907675703
L2,beta=4.0,0.04,1.2672472568888888,-0.9108828355555555,0.1717402853333333,-0.18462413599999997,1.2335366866324913,0.31040951608137807,0.33130767038626324
L2,beta=4.0,0.06,1.620246078,-1.1629624771111111,0.22147175666666663,-0.2358118442222222,1.0515594930105354,0.2782991637716054,0.297384435818729
L2,beta=4.0,0.08,1.861636576222222,-1.3342292133333333,0.25590300888888884,-0.2715043539999999,0.9462749584546809,0.25634451480347664,0.2738791758656594
L2,beta=4.0,0.1,2.040437478222222,-1.460177433111111,0.28175444088888885,-0.2985056042222222,0.8849878185349505,0.24010374033683718,0.2562673902971427
L2,beta=4.0,0.12,2.180449888,-1.5578490362222224,0.3023783124444444,-0.3202225393333333,0.8446213794395662,0.2274273705788691,0.24228640095337564
L2,beta=4.0,0.14,2.293440281777778,-1.635598036666667,0.3194623857777778,-0.33837985933333337,0.8210354511196288,0.21699887130664477,0.23056266406966153
L2,beta=4.0,0.16,2.3877784275555554,-1.7002530313333333,0.33379040711111113,-0.3537349891111111,0.800303907235143,0.20843052712368493,0.22084772558101132
L2,beta=4.0,0.18,2.46691729,-1.7532667275555558,0.3463234004444444,-0.36732716200000004,0.7892320390037664,0.2009354376988962,0.21211553662379876
L2,beta=4.0,0.2,2.532425968222222,-1.795278860222222,0.35751324266666656,-0.37963386533333326,0.7896863234858543,0.19434596218561007,0.2045407948223663
L2,beta=4.0,0.22,2.590624719333333,-1.8327183355555556,0.36735124866666663,-0.3905551351111111,0.788556335437674,0.18856249068775724,0.19758471894611296
L2,beta=4.0,0.24,2.6420348251111108,-1.8655149424444444,0.3761196935555555,-0.40040018911111114,0.7874380537410839,0.1832868955305859,0.19127646816858712
L2,beta=4.0,0.26,2.6857140435555555,-1.8918105917777777,0.38424717177777773,-0.40965627999999993,0.7930292480873932,0.17875062455706697,0.18550293649599706
L2,beta=4.0,0.28,2.724427109333333,-1.9143875859999997,0.3917340357777778,-0.4183054875555555,0.7990143935503959,0.17446700782064983,0.18011627670679414
L2,beta=4.0,0.3,2.759896853777778,-1.9355833624444445,0.3983318175555556,-0.42598167377777774,0.8027388634694582,0.17086262670921107,0.1754825374127288
L2,beta=4.0,0.32,2.7895821804444445,-1.9512527746666666,0.40473050755555556,-0.43359889822222214,0.8110452284869132,0.1674192353446455,0.17107473451651722
L2,beta=4.0,0.34,2.8165302308888887,-1.965454891111111,0.4105201397777778,-0.4405551999999999,0.8180449033693905,0.16432243757862294,0.16705138558153135
L2,beta=4.0,0.36,2.841082735777778,-1.9779455897777778,0.4159565117777777,-0.44718063422222226,0.8248760408476891,0.1614578948919415,0.16310636496115136
L2,beta=4.0,0.38,2.861805778222222,-1.986972834,0.42117692355555547,-0.4536560206666666,0.8335961926509832,0.15898772526898056,0.1595890498389868
L2,beta=4.0,0.4,2.8820388895555555,-1.996908033111111,0.4257629564444444,-0.45936790000000005,0.8398454968952151,0.1567485161561344,0.1563979958945588
L2,beta=4.0,0.42,2.899160534444445,-2.0040683337777776,0.43015043488888893,-0.4649417657777777,0.8466850982722602,0.15475713517120637,0.15351469833001224
L2,beta=4.0,0.44,2.9136101124444442,-2.0087406820000004,0.43441077577777776,-0.4704586546666667,0.8546745069806847,0.15277029588889982,0.150665956708631
L2,beta=4.0,0.46,2.927606555333333,-2.014056253333333,0.438175268,-0.47537503400000003,0.8611247206678094,0.15097867940549134,0.14792910547016616
L2,beta=4.0,0.48,2.9406511555555555,-2.019344690888889,0.44152298088888897,-0.47978348377777774,0.8663486953100104,0.14953994312964505,0.1456867443763601
