level,group,delta,mean_composite,mean_bias_beta,mean_bias_gamma,mean_bias_eta,mean_sd_beta,mean_sd_gamma,mean_sd_eta
L0,global,0.0,0.9303975726666667,0.5124240235555556,-0.1087329088888889,0.101912418,1.7268961662156583,0.38639645315408694,0.4370344273919632
L0,global,0.02,0.4900560739999999,-0.05625375118518524,0.011262612518518511,-0.021022576074074074,1.2366236649846079,0.32890308228751713,0.37846395348174505
L0,global,0.04,0.5949056914814813,-0.3045971027407407,0.0682647848148148,-0.07988489918518518,1.0277855782160779,0.29191524115285705,0.3401135803590997
L0,global,0.06,0.7236095888888888,-0.4609477087407407,0.1050653496296296,-0.11817713081481479,0.9026503036933599,0.26704283404741785,0.31393276253079744
L0,global,0.08,0.859480396222222,-0.5718914276296296,0.13163627844444437,-0.14603665562962956,0.8217721251448844,0.24943989133627228,0.2950168925476075
L0,global,0.1,0.9793725962222223,-0.6564855348148149,0.15221389777777775,-0.16777589325925926,0.7666914066697915,0.23612748771145892,0.2804529784580534
L0,global,0.12,1.0782347613333332,-0.7236791278518518,0.16895355170370366,-0.18560208177777776,0.7278844050083676,0.22570661074569184,0.2687275735286052
L0,global,0.14,1.1610693706666668,-0.7770435623703703,0.18315845503703698,-0.20086735325925928,0.7145436442619334,0.21702205844425346,0.2587949730274398
L0,global,0.16,1.2323751630370368,-0.8230596402962964,0.1952989511111111,-0.2140165716296296,0.6962272972065562,0.20979796723994415,0.25037904204684436
L0,global,0.18,1.2938240302962962,-0.8621854859259259,0.20596299518518513,-0.22567554918518512,0.6826176719589035,0.20358563473077493,0.24294489418382234
L0,global,0.2,1.346691515925926,-0.8949587582962965,0.21550734355555554,-0.23622541407407402,0.6751976137090435,0.19820314762877178,0.23641058781449167
L0,global,0.22,1.3934897141481477,-0.9235572905925926,0.2241027515555555,-0.24582967199999994,0.6704315217822205,0.19340890126528873,0.230423367755917
L0,global,0.24,1.4356792586666662,-0.9491521255555556,0.23190234318518516,-0.25462478992592585,0.6658966455225908,0.18906413380601575,0.22498038679875754
L0,global,0.26,1.4731022434814816,-0.9713014997777777,0.2390422251111111,-0.2627585185925926,0.663671490393441,0.1852844251431268,0.22005785747445436
L0,global,0.28,1.5065852873333332,-0.9904079441481483,0.2457130575555556,-0.2704642856296296,0.6639984422106114,0.18174330832965696,0.21543056572096017
L0,global,0.3,1.537272813333333,-1.0078315533333333,0.2518340353333333,-0.2776072246666666,0.664168551917736,0.17865394645950228,0.21122345021222555
L0,global,0.32,1.5645869927407405,-1.0226772352592592,0.2575492281481481,-0.2843605293333333,0.666199524238034,0.17587598757090614,0.20741003076062497
L0,global,0.34,1.589433594074074,-1.035608837777778,0.2629711005925926,-0.2908536557037037,0.6691878609578907,0.17321002790276885,0.20369347389472575
L0,global,0.36,1.6118826835555553,-1.0465323904444443,0.26816641214814807,-0.29718388096296294,0.6735273909420044,0.17072693152845492,0.20013207680061187
L0,global,0.38,1.6322288288888889,-1.056111446814815,0.27299354118518515,-0.3031238408888889,0.6776310130784858,0.16849327066445804,0.1969059452250216
L0,global,0.4,1.6514368355555555,-1.0653033662962963,0.27745864859259256,-0.3086748206666666,0.6810234940572667,0.16638762646096886,0.19385518126029241
L0,global,0.42,1.6687397096296293,-1.0730233557777777,0.2817013537037037,-0.3140150001481481,0.6849243395680832,0.16448220796747173,0.19111794160652046
L0,global,0.44,1.684567556962963,-1.079623625777778,0.2857522888888888,-0.3191916422962962,0.6889295108893246,0.16265520397399968,0.18828771135345174
L0,global,0.46,1.699626706074074,-1.086305957111111,0.2894155993333333,-0.3239051496296296,0.6921236595290602,0.16107367256154426,0.18574311043156955
L0,global,0.48,1.7131542934814814,-1.0913262482962962,0.293091327037037,-0.32873671814814814,0.6966526363554579,0.15958369727652316,0.18327387039285692
L0,global,0.5,1.7254089624444444,-1.095558605925926,0.2965361465185185,-0.33331420999999994,0.7007819346822757,0.15815135726598173,0.18097778474006485
L1,n=7,0.0,1.099659031777778,0.5761072755555556,-0.1142824931111111,0.10399652755555555,2.0952222197618293,0.44347285669941666,0.5030547546501515
L1,n=7,0.02,0.6454716559999998,-0.15109979511111118,0.03522055333333332,-0.049231587111111114,1.4133320302668764,0.3831158587083021,0.43979784493329555
L1,n=7,0.04,0.790127834,-0.4427638671111112,0.10335319399999997,-0.11959513511111106,1.1527154081609108,0.34113479643017286,0.39525753738387986
L1,n=7,0.06,0.9583881262222224,-0.6202455435555556,0.1465703553333334,-0.16460591444444442,1.0023998009461272,0.3122475707648818,0.3642512039607618
L1,n=7,0.08,1.1161454604444445,-0.742004963777778,0.17727604088888885,-0.19686445577777775,0.9142262449254984,0.291692087153233,0.34164798542679137
L1,n=7,0.1,1.2554148926666666,-0.8332385415555554,0.20060005533333333,-0.22157629577777777,0.8549590748780763,0.276251404554231,0.32439896439215143
L1,n=7,0.12,1.3640070326666667,-0.9027890924444445,0.21946196422222214,-0.24175597599999993,0.822654624899834,0.26424035912801336,0.3104775200009583
L1,n=7,0.14,1.4478354059999998,-0.9530761171111111,0.23556620955555552,-0.2591930793333333,0.8469289124548607,0.25395659765523715,0.29842753541214906
L1,n=7,0.16,1.5198805486666667,-0.9968229913333333,0.24909183022222217,-0.27396572711111106,0.846154616092385,0.2456281646800691,0.2884937130495845
L1,n=7,0.18,1.5816891633333334,-1.033971938222222,0.2608142175555555,-0.28690300755555553,0.8446173962130037,0.23839935650915528,0.2795938564521705
L1,n=7,0.2,1.632829593111111,-1.0627296700000002,0.27137324711111105,-0.29872667599999997,0.8514601902576813,0.23221851438708224,0.27177158407976015
L1,n=7,0.22,1.6782813486666668,-1.0882757173333333,0.28070539688888885,-0.3093002344444444,0.8574211806523165,0.22674192158422216,0.2645557092914668
L1,n=7,0.24,1.7187328211111113,-1.1105835426666668,0.28916172377777777,-0.3189875546666666,0.8616689661778569,0.22158036183091165,0.25795262965712273
L1,n=7,0.26,1.7535929302222222,-1.1289720011111113,0.29679843711111115,-0.32782249199999997,0.8682661393989394,0.21760204557950363,0.2525047452300034
L1,n=7,0.28,1.7842032324444448,-1.1436737817777778,0.30409869266666667,-0.33643075799999994,0.8776840123740826,0.2135343947801722,0.24684397015767068
L1,n=7,0.3,1.8124384588888889,-1.1572657617777777,0.3107746613333333,-0.3443980357777778,0.8862972705033205,0.20999802324001496,0.24165917975975815
L1,n=7,0.32,1.837145557111111,-1.1689940664444445,0.31666615511111107,-0.35148533555555544,0.892892312158668,0.20696550894133278,0.23735641187082754
L1,n=7,0.34,1.8592849651111112,-1.178622827333333,0.3222987091111111,-0.35836342866666665,0.9003985932095433,0.20405695991740666,0.23314390901962495
L1,n=7,0.36,1.8781718597777777,-1.1845642584444447,0.32803709977777773,-0.36557050155555554,0.9119806430695445,0.20123134921750874,0.22883409274435096
L1,n=7,0.38,1.8949719435555552,-1.1897800868888888,0.3331562608888889,-0.37203559577777773,0.9212024437240895,0.1987919924549298,0.22519058528933103
L1,n=7,0.4,1.9107360513333331,-1.1946507097777779,0.33792483888888886,-0.3781605026666667,0.9292986458207445,0.1962801813103574,0.2217034788008193
L1,n=7,0.42,1.9245946835555554,-1.1982747277777777,0.34238352844444436,-0.38393642733333333,0.9373056249349945,0.19419494558880004,0.21881769427637926
L1,n=7,0.44,1.9371753562222223,-1.2009000655555555,0.3466717164444444,-0.3896035742222222,0.9446686346331443,0.19219813814428793,0.21546455017491886
L1,n=7,0.46,1.9497253653333333,-1.2050840524444444,0.3502704311111111,-0.39437088177777774,0.9492123845589953,0.19064534166830158,0.21265807499305378
L1,n=7,0.48,1.9607595222222223,-1.2070893486666665,0.35409945155555556,-0.39957072200000004,0.955855014542954,0.18899374096973676,0.20964807330503807
L1,n=7,0.5,1.9701551622222222,-1.2079539915555553,0.3576938188888889,-0.4045073517777778,0.9620878897033575,0.1875293086427411,0.20711554270291785
L1,n=10,0.0,0.9379360626666666,0.5222259482222222,-0.11756561511111113,0.11249747533333337,1.7417365606242112,0.3995379751949277,0.4527724820161166
L1,n=10,0.02,0.4845960308888888,-0.04820323822222218,0.005294531555555533,-0.013350849555555523,1.268676986235437,0.3423146113098975,0.3947551164633238
L1,n=10,0.04,0.5659016739999999,-0.3048234004444444,0.06488284888888887,-0.07493099044444443,1.0590129724587818,0.30423296533684185,0.35576527308827893
L1,n=10,0.06,0.7092487495555555,-0.46726565155555566,0.10346259844444439,-0.1151024231111111,0.9301442052834317,0.2781111501419254,0.3285747771737989
L1,n=10,0.08,0.8576044508888887,-0.5823368915555556,0.1311306206666666,-0.1441369386666666,0.8433664007582722,0.25978147978585114,0.3090369018929238
L1,n=10,0.1,0.9884518826666664,-0.669064236,0.15257230355555554,-0.16681534311111113,0.7877654040444511,0.24593370585482877,0.2939596888329307
L1,n=10,0.12,1.0940662319999999,-0.7388511244444446,0.1699156673333333,-0.18529944022222222,0.7430146471114137,0.23507543131777237,0.2818418901848107
L1,n=10,0.14,1.1816433199999998,-0.7961470004444443,0.18451296288888888,-0.20098335666666664,0.7104085440011606,0.2261299700355369,0.27167187151979966
L1,n=10,0.16,1.256726535111111,-0.8451667488888889,0.19702403933333326,-0.21453574688888885,0.6823919202793013,0.21854852524704826,0.2628616809764492
L1,n=10,0.18,1.3207122204444444,-0.8859217691111112,0.20811538577777772,-0.2266750655555555,0.6646191439935178,0.21205808235053542,0.25512567034903166
L1,n=10,0.2,1.376201078,-0.9206124393333334,0.21799286599999998,-0.23759577266666662,0.6538034329470824,0.20634049088097944,0.24831303477168834
L1,n=10,0.22,1.4244384002222223,-0.9497637739999999,0.22699730777777777,-0.2476773184444444,0.6489616466445954,0.20120374032542204,0.24204741885954417
L1,n=10,0.24,1.4680913379999998,-0.9762878715555556,0.23504419355555553,-0.2567592728888888,0.6439448974765083,0.19678723365197334,0.2364872376639826
L1,n=10,0.26,1.5069392626666667,-0.9992384486666666,0.24246422777777774,-0.26523658622222224,0.6410232025744942,0.1925478001989169,0.23102560749698042
L1,n=10,0.28,1.5415624424444443,-1.0192094420000002,0.24926072733333335,-0.2730922731111111,0.6409198130406186,0.18883895109557192,0.22637187057857108
L1,n=10,0.3,1.572884315111111,-1.0370479488888888,0.25548061355555546,-0.2803557526666667,0.6404485410347239,0.1856369422185307,0.22215990957876386
L1,n=10,0.32,1.6001462613333333,-1.050853744,0.26161943133333326,-0.28767308599999997,0.6462495739418317,0.18265111051314672,0.21802281683323368
L1,n=10,0.34,1.6249671151111111,-1.0629399766666667,0.2673871486666666,-0.2946399897777778,0.6520208926231006,0.17972606467556038,0.21393999291468324
L1,n=10,0.36,1.6479986079999998,-1.0743102555555555,0.27264123444444444,-0.30104711799999995,0.6566830164329084,0.1770732672953233,0.21022268279203002
L1,n=10,0.38,1.6685656855555555,-1.0835420455555556,0.27770206822222215,-0.30732157177777775,0.6625094732060148,0.17461233517661542,0.20664391418811123
L1,n=10,0.4,1.6884115264444444,-1.0932000871111112,0.28224215311111106,-0.3129692862222222,0.6664457430426972,0.17253214178421475,0.20334280089530513
L1,n=10,0.42,1.7059644553333335,-1.1007248264444442,0.28666508044444444,-0.31857454844444444,0.6713525942991262,0.17046927619924204,0.20020523445553706
L1,n=10,0.44,1.7219295433333333,-1.1071605346666666,0.2908403626666667,-0.32392864599999993,0.6762681252490705,0.16849408377803599,0.19718371313950409
L1,n=10,0.46,1.7370216313333335,-1.1133646335555556,0.29471075999999985,-0.3289462377777778,0.6807069512124435,0.1666926444482018,0.19432623648986252
L1,n=10,0.48,1.749983755111111,-1.117210484888889,0.2986236286666666,-0.33414964155555554,0.6873212688763943,0.1650678781371441,0.19167259741941542
L1,n=10,0.5,1.7619707484444447,-1.120753456888889,0.30222761577777774,-0.3389896757777777,0.692400674903466,0.1633740627669244,0.18903045248544267
L1,n=20,0.0,0.7535976235555555,0.43893884688888896,-0.09435061844444445,0.08924325111111107,1.343729718260934,0.3161785275679165,0.3552760455096214
L1,n=20,0.02,0.3401005351111111,0.030541779777777684,-0.006727247333333323,-0.0004852915555555888,1.027861978451511,0.2612787768443517,0.3008388990486159
L1,n=20,0.04,0.4286875664444443,-0.1662040406666666,0.03655831155555554,-0.04512857200000006,0.8716283540285414,0.2303779616915565,0.26931793060514025
L1,n=20,0.06,0.5031918908888888,-0.2953319311111111,0.06516309511111108,-0.07482305488888887,0.7754069048505209,0.21076978123544643,0.24897230645783144
L1,n=20,0.08,0.6046912773333332,-0.39133242755555536,0.08650217377777768,-0.0971085724444444,0.7077237297508824,0.1968461070697326,0.23436579032310723
L1,n=20,0.1,0.6942510133333334,-0.4671538268888889,0.10346933444444442,-0.11493604088888887,0.6573497410868474,0.18619735272531704,0.223000282149078
L1,n=20,0.12,0.7766310193333333,-0.5293971666666666,0.11748302355555554,-0.1297508291111111,0.6179839430138551,0.17780404179128972,0.2138633104000466
L1,n=20,0.14,0.853729386,-0.5819075695555556,0.1293961926666666,-0.14242562377777782,0.5862934763297788,0.17097960764198644,0.20628551215037064
L1,n=20,0.16,0.9205184053333332,-0.6271891806666666,0.13978098377777776,-0.15354824088888888,0.5601353552479824,0.1652172117927151,0.19978173211449932
L1,n=20,0.18,0.9790707071111111,-0.6666627504444445,0.1489593822222222,-0.1634485744444444,0.5386164756701889,0.16029946533263406,0.19411515575026467
