层级,J_param,vs_Default,边际增益
Default δ=0.1,0.6353299953337774,0.0,—
L0 全局最优,0.6353299953337774,0.0,vs Default
L1 按 n,0.6345418272091623,-0.0007881681246151295,vs L0
L2 按 β,0.5838897581944181,-0.0514402371393593,vs L1
"L3 按 β,n",0.5807358382146017,-0.0545941571191757,vs L2
"L4 按 β,n,γ/η",0.5700898539301074,-0.06524014140367007,vs L3
L5 逐样本,0.4940613223568673,-0.14126867297691015,vs L4
