level,group,delta,jparam
L3,beta=2.0_n=10,0.16,0.4984883999850877
L3,beta=2.0_n=10,0.18,0.49394460910994725
L3,beta=2.0_n=10,0.2,0.49258212673255386
L3,beta=2.0_n=10,0.22,0.4930586351561163
L3,beta=2.0_n=10,0.24,0.4944985477896604
L3,beta=2.0_n=10,0.26,0.4955663976849043
L3,beta=2.0_n=10,0.28,0.49845069099714845
L3,beta=2.0_n=10,0.3,0.5007827123851353
L3,beta=2.0_n=10,0.32,0.5042625599091708
L3,beta=2.0_n=10,0.34,0.507895878429616
L3,beta=2.0_n=10,0.36,0.5118513209111998
L3,beta=2.0_n=10,0.38,0.5152446844525848
L3,beta=2.0_n=10,0.4,0.519123200949864
L3,beta=2.0_n=10,0.42,0.5226162342225154
L3,beta=2.0_n=10,0.44,0.5258634686418943
L3,beta=2.0_n=10,0.46,0.5291395241742897
L3,beta=2.0_n=10,0.48,0.5328925494540312
L3,beta=2.0_n=10,0.5,0.5365556819595327
L3,beta=2.0_n=20,0.0,0.6480904495667734
L3,beta=2.0_n=20,0.02,0.538409602771773
L3,beta=2.0_n=20,0.04,0.4767061517857621
L3,beta=2.0_n=20,0.06,0.4373367167576698
L3,beta=2.0_n=20,0.08,0.41169235153596206
L3,beta=2.0_n=20,0.1,0.393404195525666
L3,beta=2.0_n=20,0.12,0.3801838251857841
L3,beta=2.0_n=20,0.14,0.3706474576969057
L3,beta=2.0_n=20,0.16,0.36367313132748674
L3,beta=2.0_n=20,0.18,0.3586662951286348
L3,beta=2.0_n=20,0.2,0.3551664740034289
L3,beta=2.0_n=20,0.22,0.3528406376305806
L3,beta=2.0_n=20,0.24,0.3513209573220626
L3,beta=2.0_n=20,0.26,0.35050993414060444
L3,beta=2.0_n=20,0.28,0.3503179970056352
L3,beta=2.0_n=20,0.3,0.3506273066307562
L3,beta=2.0_n=20,0.32,0.3513863704605333
L3,beta=2.0_n=20,0.34,0.3523996084379133
L3,beta=2.0_n=20,0.36,0.3536868956444219
L3,beta=2.0_n=20,0.38,0.35521256404123885
L3,beta=2.0_n=20,0.4,0.3569910122644737
L3,beta=2.0_n=20,0.42,0.3589414254781003
L3,beta=2.0_n=20,0.44,0.3609287581792977
L3,beta=2.0_n=20,0.46,0.36342496361137
L3,beta=2.0_n=20,0.48,0.3656429463687878
L3,beta=2.0_n=20,0.5,0.36826513717311027
L3,beta=2.5_n=7,0.0,1.055149306156112
L3,beta=2.5_n=7,0.02,0.8062580775124776
L3,beta=2.5_n=7,0.04,0.7149863213966423
L3,beta=2.5_n=7,0.06,0.6713639307063396
L3,beta=2.5_n=7,0.08,0.6517651108946276
L3,beta=2.5_n=7,0.1,0.6441610784328482
L3,beta=2.5_n=7,0.12,0.6424821376161624
L3,beta=2.5_n=7,0.14,0.665531411328735
L3,beta=2.5_n=7,0.16,0.6716728305502736
L3,beta=2.5_n=7,0.18,0.6783179189526299
L3,beta=2.5_n=7,0.2,0.685093066111194
L3,beta=2.5_n=7,0.22,0.69400577168336
L3,beta=2.5_n=7,0.24,0.7026826333187247
L3,beta=2.5_n=7,0.26,0.7105115798135059
L3,beta=2.5_n=7,0.28,0.7180244307360043
L3,beta=2.5_n=7,0.3,0.7248193682978882
L3,beta=2.5_n=7,0.32,0.7310821380713236
L3,beta=2.5_n=7,0.34,0.7378402773835561
L3,beta=2.5_n=7,0.36,0.7445961048725155
L3,beta=2.5_n=7,0.38,0.7504881800353611
L3,beta=2.5_n=7,0.4,0.7563301275830924
L3,beta=2.5_n=7,0.42,0.7618403082285011
L3,beta=2.5_n=7,0.44,0.7667904965132127
L3,beta=2.5_n=7,0.46,0.7709222037515859
L3,beta=2.5_n=7,0.48,0.775502943473033
L3,beta=2.5_n=7,0.5,0.7798549577845276
L3,beta=2.5_n=10,0.0,0.9287570561717914
L3,beta=2.5_n=10,0.02,0.726340371600418
L3,beta=2.5_n=10,0.04,0.6356181414610971
L3,beta=2.5_n=10,0.06,0.5889912955612638
L3,beta=2.5_n=10,0.08,0.565306280192187
L3,beta=2.5_n=10,0.1,0.5530205112155898
L3,beta=2.5_n=10,0.12,0.5477576277530924
L3,beta=2.5_n=10,0.14,0.5465251304482925
L3,beta=2.5_n=10,0.16,0.5488491170766397
L3,beta=2.5_n=10,0.18,0.5526064571862389
L3,beta=2.5_n=10,0.2,0.558237215321788
L3,beta=2.5_n=10,0.22,0.5638979815419872
L3,beta=2.5_n=10,0.24,0.5699783808439497
L3,beta=2.5_n=10,0.26,0.5756002506270005
L3,beta=2.5_n=10,0.28,0.5815889803952116
L3,beta=2.5_n=10,0.3,0.5873635861083514
L3,beta=2.5_n=10,0.32,0.5942742369802114
L3,beta=2.5_n=10,0.34,0.6009282762935085
L3,beta=2.5_n=10,0.36,0.6067274708597538
