delta,RMSE_x95
0.0,0.13984635821754807
0.02,0.1395018146476776
0.04,0.13969334402721317
0.06,0.13996648756084437
0.08,0.14027657326769039
0.1,0.14064646567139957
0.12,0.14103716810700412
0.14,0.1414511055156762
0.16,0.14188368190840922
0.18,0.14232258191173708
0.2,0.1427736575993048
0.22,0.14323721331088532
0.24,0.14409587002944935
0.26,0.14516522408294677
0.28,0.14570159551659773
0.3,0.14646023132233288
0.32,0.14747376116820454
0.34,0.14833054806337378
0.36,0.1489919683386297
0.38,0.14956614070094834
0.4,0.150545596908246
0.42,0.15166770725493703
0.44,0.15285343002124657
0.46,0.1539226917154333
0.48,0.15452190872920393
0.5,0.15536579090093483
