n,method,n_total,n_valid,n_failure,valid_rate,failure_rate,gamma_zero_count,gamma_zero_rate,gamma_near_zero_count,gamma_near_zero_rate,bias_beta,sd_beta,rmse_beta,mae_beta,rel_bias_beta,rel_sd_beta,rel_rmse_beta,rel_mae_beta,bias_eta,sd_eta,rmse_eta,mae_eta,rel_bias_eta,rel_sd_eta,rel_rmse_eta,rel_mae_eta,bias_gamma,sd_gamma,rmse_gamma,mae_gamma,rel_bias_gamma,rel_sd_gamma,rel_rmse_gamma,rel_mae_gamma,bias_x95,sd_x95,rmse_x95,mae_x95,rel_bias_x95,rel_sd_x95,rel_rmse_x95,rel_mae_x95,bias_x99,sd_x99,rmse_x99,mae_x99,rel_bias_x99,rel_sd_x99,rel_rmse_x99,rel_mae_x99
5,mdm,2000,1992,8,0.996,0.004,376,0.188,377,0.1885,-0.800336957086753,0.7752615608713687,1.114122080613782,0.9530943925005747,-0.3201347828347012,0.3101046243485475,0.44564883224551277,0.3812377570002298,-286.53571275502503,326.9453469510664,434.67495131642534,361.0853227404985,-0.286535712755025,0.3269453469510664,0.4346749513164253,0.36108532274049854,255.97186964067552,281.4524276525179,380.39098343298855,301.2343501491355,,,,,98.07741953931193,211.7610129683432,233.322513761374,184.01986705500977,0.2422822195299279,0.5231166202462261,0.5763803408158511,0.4545872234109841,167.06916467126277,241.72358545271928,293.7908526014491,232.10466254270142,0.645533365390585,0.9339882671862834,1.1351693663756277,0.8968220091891578
5,mle,2000,913,1087,0.4565,0.5435,511,0.2555,762,0.381,2.0529705807161402,2.7765955151069224,3.4519163863858338,2.2119265509321533,0.8211882322864561,1.110638206042769,1.3807665545543337,0.8847706203728614,36.20080507780457,221.88228043448086,224.69606495709272,179.63351102741728,0.03620080507780456,0.22188228043448088,0.22469606495709274,0.1796335110274173,-44.708421936319745,147.38971466293336,153.94407163952727,123.76500538797151,,,,,143.96117493002347,179.38172881928625,229.9290770774433,179.67113655609774,0.35562959498747626,0.44312955627907824,0.567997479852758,0.4438444848442178,139.81329589065206,180.8562075546654,228.5189263611868,173.64181151876343,0.5402202590779261,0.6988046929202311,0.8829671943332236,0.6709292117595993
5,lse,2000,2000,0,1.0,0.0,0,0.0,712,0.356,-0.8459138907356516,1.3048240819927668,1.5547620115456,1.2991324431977187,-0.3383655562942606,0.5219296327971068,0.62190480461824,0.5196529772790874,-261.06509816114686,381.59749695801025,462.2757043558158,386.5198248725872,-0.2610650981611469,0.3815974969580102,0.4622757043558158,0.3865198248725873,231.921977247479,311.2086995652441,388.05957376172023,305.385338906153,,,,,84.00898699860483,222.73314705643944,237.99739424371518,190.08566210155212,0.20752874541447813,0.5502212587280573,0.5879287729077535,0.46957165401685724,156.72607496269745,256.6898362076463,300.6988356304613,239.69112016477192,0.6055690217533575,0.9918158994493496,1.1618609078192794,0.9261350875768094
7,mdm,2000,1998,2,0.999,0.001,414,0.207,417,0.2085,-0.6253890447905907,0.7529390443084614,0.9786444295267103,0.8260097619313241,-0.25015561791623625,0.3011756177233846,0.3914577718106841,0.3304039047725297,-227.72437331974692,291.6990985367838,370.005631743939,304.0440833338201,-0.2277243733197469,0.29169909853678383,0.37000563174393897,0.30404408333382005,200.6896818950235,248.72587309281917,319.54646785983226,250.80774875770524,,,,,70.98995710192634,178.6788654649942,192.22313056877778,152.0694155361787,0.1753676274496092,0.44139326168340054,0.4748518765884461,0.3756595115551177,127.39025190256741,205.89462067061896,242.07365322556723,189.98954976108655,0.49221924458908684,0.7955498410424774,0.9353408831999325,0.7340947306921686
7,mle,2000,1075,925,0.5375,0.4625,513,0.2565,661,0.3305,0.8141638142097976,1.7034590273228682,1.887309209094748,1.277750509541117,0.32566552568391904,0.6813836109291472,0.7549236836378993,0.5111002038164467,-46.449769852983366,265.9651073246211,269.86888884306967,215.03886429677556,-0.046449769852983366,0.2659651073246211,0.26986888884306964,0.21503886429677552,38.51949097598088,211.2477390122069,214.63421495660663,163.91568028454253,,,,,111.1049396244039,156.53948464933046,191.90133630836797,149.83825488573717,0.2744643109431471,0.386701994843052,0.47405694307561214,0.3701478396834883,120.69917865843392,163.39237290350735,203.07763237353979,154.9773244223896,0.4663658141379358,0.6313267236781553,0.7846653673021703,0.5988120787607065
7,lse,2000,2000,0,1.0,0.0,0,0.0,805,0.4025,-0.6478173071097568,1.0223783204184955,1.2101248137021445,1.011443269344158,-0.25912692284390265,0.4089513281673982,0.4840499254808578,0.40457730773766326,-173.44604678613553,336.89596729387335,378.8478249617166,310.66705618721295,-0.17344604678613554,0.33689596729387333,0.37884782496171654,0.3106670561872129,158.66229304322098,271.77391190660774,314.63924087303064,243.80113980985774,,,,,43.20103352523178,188.56315047540446,193.40272227659983,155.37011559724158,0.10672020468773245,0.4658105691741292,0.47776584086740714,0.38381328375419493,97.12909659944789,219.55505552965553,240.02995980429336,189.96412798488115,0.3752941048610734,0.8483319717522597,0.9274443195542267,0.7339965042792913
10,mdm,2000,2000,0,1.0,0.0,438,0.219,442,0.221,-0.44495014915480874,0.6917101376588958,0.8223164344190775,0.6776471173730717,-0.17798005966192348,0.27668405506355825,0.32892657376763096,0.27105884694922866,-160.68346251609313,254.06499435699433,300.559348503921,241.01612352741336,-0.16068346251609314,0.2540649943569943,0.300559348503921,0.24101612352741336,141.26793767041062,211.56540273270733,254.3504863122674,197.1735462430496,,,,,46.07785326155707,141.2282538624699,148.52143124947088,116.26537963545826,0.1138268585350537,0.348878416325179,0.36689486917485675,0.2872122285117588,87.40793077711709,165.14657114067128,186.8151482810704,143.9181402674533,0.33773279364510517,0.6381047158577824,0.721829259235914,0.5560808399946686
10,mle,2000,1421,579,0.7105,0.2895,523,0.2615,659,0.3295,0.27155988191576563,1.1751391637246416,1.2057051905491694,0.9291913874319947,0.10862395276630625,0.4700556654898566,0.4822820762196677,0.37167655497279795,-96.29725668313915,253.57344870058685,271.15937391635117,219.2087506323224,-0.09629725668313918,0.25357344870058685,0.27115937391635114,0.21920875063232237,80.43375505459215,210.4773833721279,225.25350634716247,176.8530240750762,,,,,88.53391838641362,127.41358647926928,155.11625388420995,120.98712587613828,0.21870675585774352,0.3147518223406384,0.38318616510062636,0.2988764338367216,108.19190388765104,139.57712168312295,176.56033263636328,133.73259464846086,0.4180393429394059,0.5393077128800402,0.6822059950170891,0.5167252260804841
10,lse,2000,2000,0,1.0,0.0,0,0.0,827,0.4135,-0.5026381560670645,0.8477865167738972,0.985407389341639,0.8133508174995162,-0.20105526242682578,0.3391146067095589,0.39416295573665555,0.32534032699980653,-114.26206523214017,287.4766086169884,309.28514133851957,249.46726847527682,-0.11426206523214018,0.2874766086169884,0.3092851413385196,0.2494672684752768,107.74909825434918,229.09619299131393,253.117939476674,197.00621575461338,,,,,18.97709876733744,148.63020239070772,149.79993949196597,119.84240495550236,0.04687943087395617,0.3671635682662832,0.3700531885528952,0.2960486114215647,58.806069744372365,176.9014684207656,186.3776711503779,146.440824228984,0.2272189496019417,0.6835240989975196,0.7201389049146182,0.5658281603377617
15,mdm,2000,2000,0,1.0,0.0,477,0.2385,481,0.2405,-0.3193042851785175,0.6262655354162322,0.702828316961631,0.5754514815970778,-0.127721714071407,0.2505062141664928,0.2811313267846524,0.23018059263883114,-110.02161234193773,221.21956890494616,247.01899481614083,197.9171999906459,-0.11002161234193772,0.22121956890494618,0.2470189948161408,0.19791719999064594,96.38657661973457,182.69930605007508,206.5253472710683,160.47325726571165,,,,,27.755571055258557,113.44646440777882,116.76487897088586,91.53867486421103,0.0685650314942599,0.2802486170990918,0.28844614971614585,0.22612945388555902,57.524550674945985,134.94321128664188,146.6616492733173,112.28456790290514,0.2222673278031088,0.5214028901735593,0.5666813993798762,0.43385286053481864
15,mle,2000,1746,254,0.873,0.127,469,0.2345,555,0.2775,-0.08069753437325122,0.8911369173784655,0.8945290784823888,0.7319596298966803,-0.03227901374930049,0.35645476695138617,0.3578116313929555,0.2927838519586721,-126.50389276197069,229.34759535037793,261.8652863432957,215.63148935080233,-0.1265038927619707,0.22934759535037794,0.2618652863432957,0.21563148935080229,103.03934115978676,187.51773710716185,213.91556380370952,172.78355573716,,,,,61.9228000337119,103.19882431419981,120.32593589502778,93.4349469104481,0.15296888419522606,0.254933707729754,0.29724308564192947,0.23081384507726166,90.08492240169667,119.05919402037105,149.2724566545684,114.07333327774424,0.3480763385831408,0.46002912834268034,0.5767692170721586,0.44076441560595414
15,lse,2000,2000,0,1.0,0.0,0,0.0,859,0.4295,-0.36949159875322674,0.7108675532052952,0.8010019059966079,0.6494089448668966,-0.1477966395012907,0.28434702128211803,0.3204007623986431,0.2597635779467587,-70.90144868029803,242.33975713067505,252.4405059260031,203.8078410167676,-0.070901448680298,0.24233975713067504,0.25244050592600314,0.2038078410167676,68.91720372680395,195.3607308933737,207.11425165141912,163.21848658895647,,,,,4.896442801253352,118.14719187636848,118.21909626157374,94.63938329030128,0.012095761035122788,0.29186089941488724,0.2920385259687189,0.23378918354725936,32.58290846419696,143.3355043380142,146.95727336344132,114.34342156459516,0.12589608978109862,0.5538296110915472,0.5678236521358756,0.44180800136342485
20,mdm,2000,2000,0,1.0,0.0,476,0.238,479,0.2395,-0.2673589950244719,0.5468519488331071,0.6085871857310927,0.4941716917142777,-0.10694359800978877,0.21874077953324284,0.2434348742924371,0.1976686766857111,-86.94760227376165,193.80167662340307,212.36806694573298,170.71510115335454,-0.08694760227376165,0.19380167662340306,0.21236806694573296,0.17071510115335453,76.98493765303652,158.3201293591039,176.00969107990952,139.37192485502456,,,,,19.29146607325524,95.82605964628306,97.72514033622511,78.14828599198309,0.04765601746221648,0.23672064914598173,0.24141197857519003,0.19305096189860524,43.40976311764029,113.90651787896684,121.87130507971669,95.31914599110146,0.1677296377896987,0.4401198627587329,0.47089475707532774,0.36830069282303757
20,mle,2000,1914,86,0.957,0.043,436,0.218,533,0.2665,-0.16579243254326506,0.7557829591966851,0.7735609706940109,0.6458354128385576,-0.06631697301730602,0.30231318367867405,0.3094243882776043,0.258334165135423,-123.92274253331362,213.81794925403352,247.08515814890694,204.6704397762882,-0.12392274253331363,0.21381794925403352,0.24708515814890694,0.2046704397762882,103.46886298631834,175.06434415954524,203.31580832018622,166.49512677264923,,,,,52.504376479390565,91.18218632865445,105.1977032575509,82.85397028128057,0.12970240171707242,0.22524881454943743,0.25987157038194814,0.2046754891279449,80.7323932037099,109.20585357159817,135.78441324141394,104.50931081310863,0.31193939099038975,0.42195711168567945,0.5246531843251201,0.4038102857375516
20,lse,2000,2000,0,1.0,0.0,0,0.0,803,0.4015,-0.2969835059457973,0.6071919844162935,0.6757935836409548,0.5466138018121366,-0.11879340237831891,0.24287679376651738,0.27031743345638193,0.21864552072485463,-49.985984423861794,209.94409294637768,215.7616336164015,176.4770815674677,-0.0499859844238618,0.20994409294637767,0.21576163361640152,0.17647708156746775,50.38811190483552,167.64969782667038,175.01808418594183,141.2073677479772,,,,,-0.5969097651484565,97.86945337658878,97.8468036807943,79.52759251997945,-0.0014745557482911602,0.241768477388991,0.24171252548288924,0.19645828489491562,20.46771497253026,118.49264778716972,120.21819613528224,95.79880591239177,0.079084569280458,0.45784006791799076,0.4645073606796025,0.370154035921046
50,mdm,2000,2000,0,1.0,0.0,385,0.1925,389,0.1945,-0.11868377972450783,0.43256837442924845,0.4484503098747729,0.36138713667430955,-0.04747351188980313,0.1730273497716994,0.17938012394990915,0.1445548546697238,-39.43129391183937,137.61271457379223,143.1174955144328,116.06753509197634,-0.03943129391183937,0.13761271457379226,0.14311749551443279,0.11606753509197633,36.09186849239043,113.78454326163917,119.34434127929657,97.47444410897442,,,,,9.962021381770446,59.04480345221823,59.8647437171043,47.08381761615358,0.024609340893318482,0.14585932316844621,0.1478848347305538,0.11631190838388199,21.448636359203434,71.73057224901927,74.85149537145888,58.70283789773718,0.08287472101293776,0.27715753410519484,0.289216372193707,0.22682007527043344
50,mle,2000,2000,0,1.0,0.0,293,0.1465,399,0.1995,-0.11587445870063129,0.49672119137900067,0.5099367276174129,0.42079498822814115,-0.046349783480252524,0.19868847655160027,0.20397469104696517,0.16831799529125646,-68.97891006321792,146.98039808477208,162.32845048221523,132.753882955519,-0.06897891006321791,0.14698039808477206,0.1623284504822152,0.13275388295551904,60.04810784159429,122.26558237644893,136.18800774257267,111.93319362757279,,,,,26.861394206157428,57.14317661592771,63.12879264757734,49.33099262556043,0.0663561321097725,0.14116170395315403,0.15594806705501676,0.12186314078282422,42.97971315350179,70.97593110335664,82.95974775364091,63.909223132088066,0.16606798106697146,0.27424169958013234,0.32054559717669695,0.24693686575336612
50,lse,2000,2000,0,1.0,0.0,0,0.0,653,0.3265,-0.11054554339734565,0.44059987832421066,0.45414921096258004,0.36272257504644484,-0.044218217358938244,0.17623995132968429,0.18165968438503202,0.14508903001857795,-10.781182728887696,142.60440123066803,142.97580614833353,117.70934893549277,-0.010781182728887697,0.14260440123066803,0.1429758061483335,0.11770934893549279,14.257324153058816,116.91990294119702,117.75695250783468,98.85585021549221,,,,,-2.2165105056645125,59.49946516630687,59.52586984430171,47.58928414142014,-0.005475481384464332,0.14698248127907046,0.1470477091778122,0.1175605704328521,5.078202707040057,73.43424316975441,73.59130328111776,59.28217139670869,0.019621509989958163,0.2837402953534732,0.28434715504811825,0.229058544014863
