beta,n,gamma_eta,RMSE_default,RMSE_iter,improvement
1.5,7,0.1,0.16636152324038744,0.16167623545500595,2.816328976870085
1.5,7,0.5,0.1851754993534445,0.18302679953007048,1.160358595427783
1.5,7,1.0,0.19578698232273273,0.20186282179845222,-3.103290833557134
1.5,10,0.1,0.13938551608052457,0.13713201359573216,1.6167407835191037
1.5,10,0.5,0.14715503192101909,0.1463870792718621,0.5218663875314635
1.5,10,1.0,0.1434126368279086,0.143534903478512,-0.08525514439156659
1.5,20,0.1,0.08631897800078855,0.0856737280781499,0.7475180285762487
1.5,20,0.5,0.08260827279022603,0.08243803547727757,0.20607780213582244
1.5,20,1.0,0.09129922801224505,0.09115511540182779,0.15784647204019275
2.0,7,0.1,0.2021755645853221,0.19558147487105104,3.261566118435752
2.0,7,0.5,0.18435594579237127,0.18417528962887675,0.09799313101514319
2.0,7,1.0,0.1910749822559867,0.19850517080167343,-3.8886244855081866
2.0,10,0.1,0.14323887144545625,0.14130016035690493,1.35348112491207
2.0,10,0.5,0.15192731902494624,0.15058665974667637,0.8824346318187442
2.0,10,1.0,0.17174258318989372,0.17142593994171376,0.18437084286186933
2.0,20,0.1,0.09552157311453592,0.09484404215523407,0.7092962743499385
2.0,20,0.5,0.10389220882467068,0.10297040987574987,0.8872647519473186
2.0,20,1.0,0.09722420053875194,0.09789885186874417,-0.6939129622601746
2.5,7,0.1,0.17078226561329676,0.16391758685067265,4.019550120132406
2.5,7,0.5,0.21041968134999747,0.21170936444681407,-0.612909918189367
2.5,7,1.0,0.19770636163179184,0.20050518631469236,-1.4156472557585416
2.5,10,0.1,0.1426756314621151,0.1412381571867248,1.007512117282609
2.5,10,0.5,0.1634027987696848,0.1630867333853871,0.19342715466165372
2.5,10,1.0,0.16791880951921845,0.16758979916454636,0.19593418725043574
2.5,20,0.1,0.10842151427272784,0.107325568096847,1.0108198388781502
2.5,20,0.5,0.11821532334468245,0.11662293235715127,1.3470258698089579
2.5,20,1.0,0.09881125786096889,0.10130867816113696,-2.5274653457827996
4.0,7,0.1,0.1674451255620946,0.16543237322726864,1.202036982605117
4.0,7,0.5,0.1781236586184224,0.181378390070162,-1.8272314171987152
4.0,7,1.0,0.16175641089334938,0.16240922943142172,-0.4035812456934137
4.0,10,0.1,0.15209981548838622,0.150652585539896,0.9515001342001826
4.0,10,0.5,0.1483337080905573,0.1471686269307293,0.7854459885252231
4.0,10,1.0,0.16787841197179793,0.16468642921011012,1.9013658303034406
4.0,20,0.1,0.08762291084011035,0.08230220354590997,6.0722786348759
4.0,20,0.5,0.09678015929222446,0.09858489733838341,-1.8647810247032202
4.0,20,1.0,0.09400501112311058,0.10020003230347777,-6.590096747346886
5.0,7,0.1,0.16462380165423235,0.16100551642538172,2.197911354550236
5.0,7,0.5,0.14984996404971387,0.14792957281388783,1.2815426737032396
5.0,7,1.0,0.1527112911867181,0.15231265121404203,0.26104158348623535
5.0,10,0.1,0.13479609078872626,0.1344708452724253,0.2412870539478214
5.0,10,0.5,0.14218690155123684,0.13899743175885587,2.243153031386401
5.0,10,1.0,0.14130176330694214,0.13953094251479356,1.2532191748392536
5.0,20,0.1,0.08311898002836665,0.07970207345445812,4.110862010990048
5.0,20,0.5,0.0894607330721256,0.09083382567374328,-1.534855074919468
5.0,20,1.0,0.08194083448191565,0.0851243286313528,-3.8851131667932304
