beta,n,gamma_eta,delta,bias_beta,sd_beta,bias_eta,sd_eta,bias_gamma,sd_gamma,n_valid
1.5,7,0.1,0.0,0.04167955000000001,0.6432300583167642,-0.027334258,0.3429476926606943,0.022177468000000006,0.17549506721496919,500
1.5,7,0.1,0.02,0.018569224000000162,0.6199630249304128,-0.035324992000000055,0.34075378728018785,0.02932463199999999,0.17652245667954244,500
1.5,7,0.1,0.04,-0.006989461999999946,0.5926709437346217,-0.04411665199999992,0.3390782418818617,0.03710793799999998,0.17779013493849724,500
1.5,7,0.1,0.06,-0.030470288000000068,0.5701996736309929,-0.05217917000000005,0.3378173795947829,0.04418639200000002,0.1785121499828326,500
1.5,7,0.1,0.08,-0.051186516000000015,0.5501032881468404,-0.05913183200000005,0.33714577045943966,0.05025986800000001,0.1792343706238187,500
1.5,7,0.1,0.1,-0.06890942,0.5346301918974762,-0.06518946400000003,0.33633193270072514,0.055515729999999985,0.17991997360182907,500
1.5,7,0.1,0.12,-0.08547235200000003,0.5206981728956284,-0.07097056199999996,0.33527400869474905,0.060517668,0.18029593902530308,500
1.5,7,0.1,0.14,-0.1005915599999998,0.5088587524003171,-0.07635414600000001,0.3341408535090797,0.065149862,0.1805934934527762,500
1.5,7,0.1,0.16,-0.11458541599999994,0.4985590006115068,-0.08133916399999996,0.33321453487147334,0.069421506,0.18086169318390408,500
1.5,7,0.1,0.18,-0.127474882,0.48932635448039197,-0.08596067400000007,0.3323848057613129,0.073362664,0.18111439560883227,500
1.5,7,0.1,0.2,-0.140002548,0.4805806420322316,-0.09055926000000003,0.3312716676948741,0.07727584000000001,0.18112183501488915,500
1.5,7,0.1,0.22,-0.15195828200000006,0.472586352027559,-0.0950483820000001,0.32991611260528825,0.081088098,0.18100148450552223,500
1.5,7,0.1,0.24,-0.16357676200000015,0.4648958637459722,-0.09951233400000004,0.32836218339739043,0.08487120399999998,0.1807109468192755,500
1.5,7,0.1,0.26,-0.17138100600000006,0.481144151430435,-0.104232188,0.3267424753040233,0.08882973800000002,0.18017241722579883,500
1.5,7,0.1,0.28,-0.18183074600000015,0.4748615262800637,-0.1084634539999999,0.32499462005406193,0.092371596,0.17978571239430302,500
1.5,7,0.1,0.3,-0.19180247400000017,0.4687792337522173,-0.112626966,0.32314775124177186,0.09583356000000001,0.1793431233371356,500
1.5,7,0.1,0.32,-0.19332108800000025,0.4912870606851044,-0.11862375199999997,0.32086933085804425,0.10053642600000001,0.1795740473597308,500
1.5,7,0.1,0.34,-0.20200831000000008,0.48708595298159635,-0.12232317200000009,0.31930911724827116,0.10356842799999999,0.17922292274122925,500
1.5,7,0.1,0.36,-0.21033485800000018,0.48314919571488657,-0.12598068000000007,0.3177348790587438,0.10654293799999998,0.17882217841419937,500
1.5,7,0.1,0.38,-0.21830110199999986,0.4795055483700715,-0.1296467,0.3159801566975103,0.10949724,0.1783494148598197,500
1.5,7,0.1,0.4,-0.22462069799999984,0.48018619192035156,-0.133575004,0.31448670301311643,0.112603802,0.17777430525504134,500
1.5,7,0.1,0.42,-0.2305149500000001,0.4812686558669029,-0.13776884999999994,0.3122134653600382,0.115856034,0.17756389633633615,500
1.5,7,0.1,0.44,-0.23454738399999986,0.4868605483964606,-0.14272234400000006,0.3081042917849316,0.11959242799999997,0.1775889394279472,500
1.5,7,0.1,0.46,-0.24112322799999997,0.4847403327055414,-0.14592796799999996,0.3067980873940453,0.12209287199999999,0.17713193646015352,500
1.5,7,0.1,0.48,-0.245684016,0.4865675425779204,-0.14962741600000007,0.30563419777453166,0.12487040599999999,0.1764128308696509,500
1.5,7,0.1,0.5,-0.2500365360000001,0.48863909875444045,-0.15328872000000004,0.304565457401403,0.12760976799999998,0.1757925345141596,500
1.5,7,0.5,0.0,0.5203136819999998,1.2097410246762,0.120061886,0.4488817700065502,-0.11595825799999998,0.33820881701120636,500
1.5,7,0.5,0.02,0.35030605800000014,0.9815265664570187,0.06852508399999979,0.43380931599158995,-0.06740280000000004,0.31814033699790145,500
1.5,7,0.5,0.04,0.25295575999999986,0.8750766141323725,0.03593651199999992,0.4214850893353523,-0.03707941199999998,0.3068704048659032,500
1.5,7,0.5,0.06,0.17667021799999993,0.7956971096134766,0.009271446000000072,0.40889647940363155,-0.01240707000000002,0.2942574603224937,500
1.5,7,0.5,0.08,0.11533074600000015,0.7355820400137206,-0.013026415999999985,0.3964548398562058,0.008090571999999963,0.28226670378095176,500
1.5,7,0.5,0.1,0.06697238399999983,0.6915038835071133,-0.030824863999999952,0.38682406722486934,0.02431157000000006,0.2731488262278064,500
1.5,7,0.5,0.12,0.024853177999999865,0.6515979673825729,-0.04653018599999992,0.3778275849248751,0.038561261999999985,0.2641090559196236,500
1.5,7,0.5,0.14,-0.011524649999999914,0.6173867704786097,-0.06038102600000006,0.36922761941976406,0.05104922599999995,0.25571772668363724,500
1.5,7,0.5,0.16,-0.042976683999999876,0.5882892252586128,-0.07258158199999998,0.3612306393168079,0.06197021399999991,0.24828250545484284,500
1.5,7,0.5,0.18,-0.07075671999999988,0.5628923853719937,-0.08356007799999998,0.35369459620151994,0.07173095399999996,0.2414328721539652,500
1.5,7,0.5,0.2,-0.09518887200000004,0.5412407282988213,-0.09335883,0.3469827367718406,0.08037154199999996,0.23549525916340888,500
1.5,7,0.5,0.22,-0.11686763400000011,0.5226188761526838,-0.10218969599999994,0.3409917220565828,0.08809171999999987,0.2303226274311562,500
1.5,7,0.5,0.24,-0.1361795320000001,0.5066754982976138,-0.11018298400000004,0.3357186149432446,0.09501577399999994,0.22588470909427255,500
1.5,7,0.5,0.26,-0.15117920800000006,0.5049203004109489,-0.11798212200000013,0.3311008182752804,0.10167062599999999,0.22195338026313224,500
1.5,7,0.5,0.28,-0.16695497400000003,0.4931593232718339,-0.12466677599999998,0.3267333537442723,0.10736023799999994,0.2185031462482729,500
1.5,7,0.5,0.3,-0.18141350000000012,0.48270315916443374,-0.13094911399999998,0.3224722982767369,0.11265826600000017,0.21526158642863985,500
1.5,7,0.5,0.32,-0.19464741400000007,0.47349355604188004,-0.13682577799999995,0.31854882974051374,0.11756607400000008,0.21235373367670604,500
1.5,7,0.5,0.34,-0.20029602599999996,0.48581683763103656,-0.14304832400000012,0.31582186319977434,0.12258400000000003,0.20982950863981942,500
1.5,7,0.5,0.36,-0.207914634,0.4913662625812013,-0.14902288399999997,0.312928191070757,0.12739075,0.20777938969389298,500
1.5,7,0.5,0.38,-0.21808031799999994,0.4860884566721748,-0.15393460800000003,0.30966005743949804,0.13136859,0.2055480989625156,500
