beta,n,gamma_eta,delta,jparam,n_valid
2.5,10,0.1,0.2,0.5384772437618445,500
2.5,10,0.1,0.22,0.5442572008239167,500
2.5,10,0.1,0.24,0.5512812859929156,500
2.5,10,0.1,0.26,0.5580258522490094,500
2.5,10,0.1,0.28,0.563725210109993,500
2.5,10,0.1,0.3,0.5699034256356138,500
2.5,10,0.1,0.32,0.5780994183885101,500
2.5,10,0.1,0.34,0.5859361526816527,500
2.5,10,0.1,0.36,0.5918501597255857,500
2.5,10,0.1,0.38,0.5992055070401352,500
2.5,10,0.1,0.4,0.6042215788021732,500
2.5,10,0.1,0.42,0.6098693857687587,500
2.5,10,0.1,0.44,0.6145676697297557,500
2.5,10,0.1,0.46,0.619407012162256,500
2.5,10,0.1,0.48,0.6249643116034711,500
2.5,10,0.1,0.5,0.6290114960802435,500
2.5,10,0.5,0.0,0.8925372085320766,500
2.5,10,0.5,0.02,0.7318873699757001,500
2.5,10,0.5,0.04,0.660325805555816,500
2.5,10,0.5,0.06,0.6166436478366819,500
2.5,10,0.5,0.08,0.5904065169780026,500
2.5,10,0.5,0.1,0.5738855020449353,500
2.5,10,0.5,0.12,0.565257695022762,500
2.5,10,0.5,0.14,0.5614710236296773,500
2.5,10,0.5,0.16,0.5638565013209774,500
2.5,10,0.5,0.18,0.5679433297996861,500
2.5,10,0.5,0.2,0.5727909586904476,500
2.5,10,0.5,0.22,0.5798141448852723,500
2.5,10,0.5,0.24,0.5851147027181386,500
2.5,10,0.5,0.26,0.5900682182611444,500
2.5,10,0.5,0.28,0.5958509547696531,500
2.5,10,0.5,0.3,0.6010060992317556,500
2.5,10,0.5,0.32,0.6061741063288006,500
2.5,10,0.5,0.34,0.612742842220875,500
2.5,10,0.5,0.36,0.6185571797368494,500
2.5,10,0.5,0.38,0.6241934417461994,500
2.5,10,0.5,0.4,0.6299657371236614,500
2.5,10,0.5,0.42,0.634720606513323,500
2.5,10,0.5,0.44,0.6394289313877795,500
2.5,10,0.5,0.46,0.6444823898253781,500
2.5,10,0.5,0.48,0.6495929425561614,500
2.5,10,0.5,0.5,0.6541623493992379,500
2.5,10,1.0,0.0,1.383643915431105,500
2.5,10,1.0,0.02,0.94803909780327,500
2.5,10,1.0,0.04,0.7466792604230467,500
2.5,10,1.0,0.06,0.6483363903993005,500
2.5,10,1.0,0.08,0.5998736578603078,500
2.5,10,1.0,0.1,0.5757093491077006,500
2.5,10,1.0,0.12,0.5640059908679675,500
2.5,10,1.0,0.14,0.5592287770656946,500
2.5,10,1.0,0.16,0.5584999793288015,500
2.5,10,1.0,0.18,0.5602165477646276,500
2.5,10,1.0,0.2,0.5634434435130719,500
2.5,10,1.0,0.22,0.5676225989167727,500
2.5,10,1.0,0.24,0.5735391538207948,500
2.5,10,1.0,0.26,0.5787066813708478,500
2.5,10,1.0,0.28,0.5851907763059887,500
2.5,10,1.0,0.3,0.5911812334576847,500
2.5,10,1.0,0.32,0.5985491862233236,500
2.5,10,1.0,0.34,0.6041058339779981,500
2.5,10,1.0,0.36,0.6097750731168262,500
2.5,10,1.0,0.38,0.6156283767953648,500
2.5,10,1.0,0.4,0.6204473126571302,500
2.5,10,1.0,0.42,0.6260036410793702,500
2.5,10,1.0,0.44,0.6311039885727298,500
2.5,10,1.0,0.46,0.6361060939663862,500
2.5,10,1.0,0.48,0.6414049235521624,500
2.5,10,1.0,0.5,0.6456614134229467,500
2.5,20,0.1,0.0,0.39477099658574666,500
2.5,20,0.1,0.02,0.391600869872554,500
2.5,20,0.1,0.04,0.3930664388193358,500
2.5,20,0.1,0.06,0.3951016088651801,500
2.5,20,0.1,0.08,0.3981715058258452,500
2.5,20,0.1,0.1,0.40180851188184713,500
2.5,20,0.1,0.12,0.40534165037448056,500
2.5,20,0.1,0.14,0.40864347678863444,500
2.5,20,0.1,0.16,0.4122270729852563,500
2.5,20,0.1,0.18,0.4165782445386814,500
2.5,20,0.1,0.2,0.42077883000277416,500
2.5,20,0.1,0.22,0.4250803738280528,500
2.5,20,0.1,0.24,0.4296070555348582,500
2.5,20,0.1,0.26,0.4338625300284442,500
2.5,20,0.1,0.28,0.43820956695194113,500
2.5,20,0.1,0.3,0.44264826053891293,500
2.5,20,0.1,0.32,0.44711223849476284,500
2.5,20,0.1,0.34,0.4515898852355403,500
2.5,20,0.1,0.36,0.45609480635578004,500
2.5,20,0.1,0.38,0.4605850863357931,500
2.5,20,0.1,0.4,0.4650200451778419,500
2.5,20,0.1,0.42,0.469443292158933,500
2.5,20,0.1,0.44,0.4738783368235788,500
2.5,20,0.1,0.46,0.47833690547257457,500
2.5,20,0.1,0.48,0.4827170311106764,500
2.5,20,0.1,0.5,0.4870874030642275,500
2.5,20,0.5,0.0,0.697803575594273,500
2.5,20,0.5,0.02,0.5982738380677773,500
2.5,20,0.5,0.04,0.5366517121202252,500
2.5,20,0.5,0.06,0.4898820617464607,500
2.5,20,0.5,0.08,0.4553257602591254,500
2.5,20,0.5,0.1,0.4323193496078374,500
2.5,20,0.5,0.12,0.4187663928180933,500
2.5,20,0.5,0.14,0.41146097400883563,500
2.5,20,0.5,0.16,0.40816708799231877,500
2.5,20,0.5,0.18,0.4075194019650261,500
2.5,20,0.5,0.2,0.40865305190903833,500
2.5,20,0.5,0.22,0.41100317113471024,500
2.5,20,0.5,0.24,0.4141942217281225,500
2.5,20,0.5,0.26,0.41797653218505293,500
2.5,20,0.5,0.28,0.42219574630894763,500
2.5,20,0.5,0.3,0.42669254155807496,500
2.5,20,0.5,0.32,0.43131581237868627,500
2.5,20,0.5,0.34,0.43607144255376,500
2.5,20,0.5,0.36,0.44077377221933417,500
2.5,20,0.5,0.38,0.4454840835310701,500
2.5,20,0.5,0.4,0.4502209145024718,500
2.5,20,0.5,0.42,0.4553471078545579,500
2.5,20,0.5,0.44,0.4603721251157789,500
2.5,20,0.5,0.46,0.4648364064558344,500
2.5,20,0.5,0.48,0.46933968818708677,500
2.5,20,0.5,0.5,0.47359230984131606,500
2.5,20,1.0,0.0,0.9916521568037993,500
2.5,20,1.0,0.02,0.6605424255211473,500
2.5,20,1.0,0.04,0.5297464921357441,500
2.5,20,1.0,0.06,0.4641359602969432,500
2.5,20,1.0,0.08,0.42864268541710077,500
2.5,20,1.0,0.1,0.40875460376009526,500
2.5,20,1.0,0.12,0.3978337462648901,500
2.5,20,1.0,0.14,0.39243901726240155,500
2.5,20,1.0,0.16,0.3905931497395925,500
2.5,20,1.0,0.18,0.3910852688136419,500
2.5,20,1.0,0.2,0.39314183332089137,500
2.5,20,1.0,0.22,0.3962540757350874,500
2.5,20,1.0,0.24,0.40008065882474725,500
2.5,20,1.0,0.26,0.4043901567004474,500
2.5,20,1.0,0.28,0.40902698815502325,500
2.5,20,1.0,0.3,0.4138936436993564,500
2.5,20,1.0,0.32,0.41896411883540424,500
2.5,20,1.0,0.34,0.42453757582383894,500
2.5,20,1.0,0.36,0.4296424820321532,500
2.5,20,1.0,0.38,0.43472236816221105,500
2.5,20,1.0,0.4,0.43973056566694785,500
2.5,20,1.0,0.42,0.44453031224289924,500
2.5,20,1.0,0.44,0.4492701133558617,500
2.5,20,1.0,0.46,0.45394135489254805,500
2.5,20,1.0,0.48,0.45881924197167634,500
2.5,20,1.0,0.5,0.46325745018416864,500
4.0,7,0.1,0.0,0.7187891189620429,500
4.0,7,0.1,0.02,0.7068004908072646,500
4.0,7,0.1,0.04,0.7332581211262571,500
4.0,7,0.1,0.06,0.7627274147706641,500
4.0,7,0.1,0.08,0.7889697970171442,500
4.0,7,0.1,0.1,0.816730925979964,500
4.0,7,0.1,0.12,0.8410937846301013,500
4.0,7,0.1,0.14,0.859347065972121,500
4.0,7,0.1,0.16,0.8750224895452811,500
4.0,7,0.1,0.18,0.8892469618699113,500
4.0,7,0.1,0.2,0.9025738414859744,500
4.0,7,0.1,0.22,0.9137099527531377,500
4.0,7,0.1,0.24,0.9239564207911297,500
4.0,7,0.1,0.26,0.9333526513858401,500
4.0,7,0.1,0.28,0.9421807507683545,500
4.0,7,0.1,0.3,0.95019670704003,500
4.0,7,0.1,0.32,0.957615901006565,500
4.0,7,0.1,0.34,0.9646382996379188,500
4.0,7,0.1,0.36,0.9706616615273783,500
4.0,7,0.1,0.38,0.9761283090396461,500
4.0,7,0.1,0.4,0.9814056370591661,500
4.0,7,0.1,0.42,0.9861701337537663,500
4.0,7,0.1,0.44,0.9910674529749866,500
4.0,7,0.1,0.46,0.9954986891859032,500
4.0,7,0.1,0.48,0.9991453625430929,500
4.0,7,0.1,0.5,1.0029927497238895,500
4.0,7,0.5,0.0,1.0210267630443353,500
4.0,7,0.5,0.02,0.7740611812233399,500
4.0,7,0.5,0.04,0.751470358652908,500
4.0,7,0.5,0.06,0.7621267665920191,500
4.0,7,0.5,0.08,0.7796344813198616,500
4.0,7,0.5,0.1,0.7983974249876358,500
4.0,7,0.5,0.12,0.8183735211889434,500
4.0,7,0.5,0.14,0.8378923627876412,500
4.0,7,0.5,0.16,0.8527373832289206,500
4.0,7,0.5,0.18,0.8661397671712955,500
4.0,7,0.5,0.2,0.8799629684607311,500
4.0,7,0.5,0.22,0.8916835712655178,500
4.0,7,0.5,0.24,0.9022325068825332,500
4.0,7,0.5,0.26,0.9123689379200345,500
4.0,7,0.5,0.28,0.9212887777293196,500
4.0,7,0.5,0.3,0.9292669415181402,500
4.0,7,0.5,0.32,0.9373518073661135,500
4.0,7,0.5,0.34,0.9440070024223685,500
4.0,7,0.5,0.36,0.9502101312167925,500
4.0,7,0.5,0.38,0.9570271701414395,500
4.0,7,0.5,0.4,0.9627144844333638,500
4.0,7,0.5,0.42,0.9678696192351017,500
4.0,7,0.5,0.44,0.972358935647943,500
4.0,7,0.5,0.46,0.9765125205076741,500
4.0,7,0.5,0.48,0.9804805878026869,500
4.0,7,0.5,0.5,0.9844042398777876,500
4.0,7,1.0,0.0,1.5638257122438528,500
4.0,7,1.0,0.02,0.8814212207949954,500
4.0,7,1.0,0.04,0.766309850821934,500
4.0,7,1.0,0.06,0.7604353474317269,500
4.0,7,1.0,0.08,0.7834592717243909,500
4.0,7,1.0,0.1,0.8024535155181233,500
4.0,7,1.0,0.12,0.8209082851893464,500
4.0,7,1.0,0.14,0.839410444138898,500
4.0,7,1.0,0.16,0.8593902221727419,500
4.0,7,1.0,0.18,0.8756190010703965,500
4.0,7,1.0,0.2,0.8908784392885287,500
4.0,7,1.0,0.22,0.9028748071463268,500
4.0,7,1.0,0.24,0.9131780961815816,500
4.0,7,1.0,0.26,0.9233518380326782,500
4.0,7,1.0,0.28,0.9328618036791718,500
4.0,7,1.0,0.3,0.9404314787622766,500
4.0,7,1.0,0.32,0.9474307525056263,500
4.0,7,1.0,0.34,0.953898284716289,500
4.0,7,1.0,0.36,0.9604498251552469,500
4.0,7,1.0,0.38,0.9666451921739978,500
4.0,7,1.0,0.4,0.9719879679880585,500
4.0,7,1.0,0.42,0.9771622254931522,500
4.0,7,1.0,0.44,0.9820128901326276,500
4.0,7,1.0,0.46,0.9859513446084351,500
4.0,7,1.0,0.48,0.9896379669379675,500
4.0,7,1.0,0.5,0.9932213285206021,500
4.0,10,0.1,0.0,0.6051443414323256,500
4.0,10,0.1,0.02,0.6087204067674674,500
4.0,10,0.1,0.04,0.6345082218482646,500
4.0,10,0.1,0.06,0.66180828330379,500
4.0,10,0.1,0.08,0.6867508728476239,500
4.0,10,0.1,0.1,0.7088711808469422,500
4.0,10,0.1,0.12,0.7283414699210776,500
4.0,10,0.1,0.14,0.7456832185388365,500
4.0,10,0.1,0.16,0.7613000388859924,500
4.0,10,0.1,0.18,0.7760154192145311,500
4.0,10,0.1,0.2,0.7887880360009261,500
4.0,10,0.1,0.22,0.8012618274361275,500
4.0,10,0.1,0.24,0.8124679924535703,500
4.0,10,0.1,0.26,0.8229445801236248,500
4.0,10,0.1,0.28,0.8323808764296792,500
4.0,10,0.1,0.3,0.841172522591362,500
4.0,10,0.1,0.32,0.8495272043201586,500
4.0,10,0.1,0.34,0.8568892252523791,500
4.0,10,0.1,0.36,0.8638429841408439,500
4.0,10,0.1,0.38,0.8701373723954067,500
4.0,10,0.1,0.4,0.8762840672975852,500
4.0,10,0.1,0.42,0.8819703484189034,500
4.0,10,0.1,0.44,0.8874878521605705,500
4.0,10,0.1,0.46,0.8924870650592623,500
4.0,10,0.1,0.48,0.8970334070073248,500
4.0,10,0.1,0.5,0.9013734621721603,500
4.0,10,0.5,0.0,0.9164809836133584,500
4.0,10,0.5,0.02,0.7316699034912713,500
4.0,10,0.5,0.04,0.6866490158088256,500
4.0,10,0.5,0.06,0.6738086067914006,500
4.0,10,0.5,0.08,0.6810827086669458,500
4.0,10,0.5,0.1,0.6955197206775154,500
4.0,10,0.5,0.12,0.7131959747870443,500
4.0,10,0.5,0.14,0.7315851662658672,500
4.0,10,0.5,0.16,0.7461412181282391,500
4.0,10,0.5,0.18,0.7614223491852726,500
4.0,10,0.5,0.2,0.7743428191291535,500
4.0,10,0.5,0.22,0.7877190141238894,500
4.0,10,0.5,0.24,0.7986148655525137,500
4.0,10,0.5,0.26,0.8087267278669195,500
4.0,10,0.5,0.28,0.818213560012736,500
4.0,10,0.5,0.3,0.8269382342021427,500
4.0,10,0.5,0.32,0.8354093027847721,500
4.0,10,0.5,0.34,0.8431059755237296,500
4.0,10,0.5,0.36,0.8500168288093108,500
4.0,10,0.5,0.38,0.8568184732160771,500
4.0,10,0.5,0.4,0.8626162345203856,500
4.0,10,0.5,0.42,0.8687829082601913,500
4.0,10,0.5,0.44,0.8740881819671051,500
4.0,10,0.5,0.46,0.8787705613538724,500
4.0,10,0.5,0.48,0.883066085546251,500
4.0,10,0.5,0.5,0.8873951146566537,500
4.0,10,1.0,0.0,1.4133140570650558,500
4.0,10,1.0,0.02,0.8131700150637435,500
4.0,10,1.0,0.04,0.689568986178133,500
4.0,10,1.0,0.06,0.6759752249928651,500
4.0,10,1.0,0.08,0.6871663499079643,500
4.0,10,1.0,0.1,0.7086357424849811,500
4.0,10,1.0,0.12,0.7262228091761177,500
4.0,10,1.0,0.14,0.7428701384231478,500
4.0,10,1.0,0.16,0.7582360431994298,500
4.0,10,1.0,0.18,0.7723251345395785,500
4.0,10,1.0,0.2,0.7863566015149613,500
4.0,10,1.0,0.22,0.798126025679813,500
4.0,10,1.0,0.24,0.8092544052566046,500
4.0,10,1.0,0.26,0.8197862091164273,500
4.0,10,1.0,0.28,0.8294655050798411,500
4.0,10,1.0,0.3,0.8386528244550693,500
4.0,10,1.0,0.32,0.8471056860203129,500
4.0,10,1.0,0.34,0.8548557909304958,500
4.0,10,1.0,0.36,0.8620660823712357,500
4.0,10,1.0,0.38,0.869013501566544,500
4.0,10,1.0,0.4,0.8752273214524697,500
4.0,10,1.0,0.42,0.8808886435288829,500
4.0,10,1.0,0.44,0.8865181531628196,500
4.0,10,1.0,0.46,0.8914885499861025,500
4.0,10,1.0,0.48,0.8962392762944698,500
4.0,10,1.0,0.5,0.9007672043285256,500
4.0,20,0.1,0.0,0.4509265371350446,500
4.0,20,0.1,0.02,0.4664626175187919,500
4.0,20,0.1,0.04,0.48468721456362984,500
4.0,20,0.1,0.06,0.5063034755935915,500
4.0,20,0.1,0.08,0.5273179392823105,500
4.0,20,0.1,0.1,0.5474361375934923,500
4.0,20,0.1,0.12,0.5662657209856942,500
4.0,20,0.1,0.14,0.5838815136756014,500
4.0,20,0.1,0.16,0.6002086192286704,500
4.0,20,0.1,0.18,0.6153054709484316,500
4.0,20,0.1,0.2,0.6293005389698019,500
4.0,20,0.1,0.22,0.642284243074421,500
4.0,20,0.1,0.24,0.6543740637632356,500
4.0,20,0.1,0.26,0.6657054431116878,500
4.0,20,0.1,0.28,0.6762415158508652,500
4.0,20,0.1,0.3,0.6861604872363499,500
4.0,20,0.1,0.32,0.6954857410862971,500
4.0,20,0.1,0.34,0.7042976613742725,500
4.0,20,0.1,0.36,0.7127412473135761,500
4.0,20,0.1,0.38,0.7205767527382234,500
4.0,20,0.1,0.4,0.7278936463535075,500
4.0,20,0.1,0.42,0.7345441133543436,500
4.0,20,0.1,0.44,0.7407112170099299,500
4.0,20,0.1,0.46,0.7466522129955447,500
4.0,20,0.1,0.48,0.7520282873949447,500
4.0,20,0.1,0.5,0.7570577288796422,500
4.0,20,0.5,0.0,0.7804391194100906,500
4.0,20,0.5,0.02,0.6189309754344746,500
4.0,20,0.5,0.04,0.5527048367003615,500
4.0,20,0.5,0.06,0.5350625075057628,500
4.0,20,0.5,0.08,0.5390180461000567,500
4.0,20,0.5,0.1,0.5519097748860375,500
4.0,20,0.5,0.12,0.5677760301369812,500
4.0,20,0.5,0.14,0.5840423093699962,500
4.0,20,0.5,0.16,0.5997480382444965,500
4.0,20,0.5,0.18,0.6145703907401169,500
4.0,20,0.5,0.2,0.6284470900261676,500
4.0,20,0.5,0.22,0.641433737644945,500
4.0,20,0.5,0.24,0.6536856478695376,500
4.0,20,0.5,0.26,0.6651913702815219,500
4.0,20,0.5,0.28,0.6759062143629262,500
4.0,20,0.5,0.3,0.6857263117939364,500
4.0,20,0.5,0.32,0.6948090866718045,500
4.0,20,0.5,0.34,0.7034407278158904,500
4.0,20,0.5,0.36,0.711734257526497,500
4.0,20,0.5,0.38,0.7194847669526607,500
4.0,20,0.5,0.4,0.7266125737318432,500
4.0,20,0.5,0.42,0.7332715810120393,500
4.0,20,0.5,0.44,0.7396300879164385,500
4.0,20,0.5,0.46,0.7453596330471672,500
4.0,20,0.5,0.48,0.7507764089323932,500
4.0,20,0.5,0.5,0.7558202282260493,500
4.0,20,1.0,0.0,1.1934404179772007,500
4.0,20,1.0,0.02,0.6864664369607151,500
4.0,20,1.0,0.04,0.5707797828076344,500
4.0,20,1.0,0.06,0.5530979124494605,500
4.0,20,1.0,0.08,0.5604009638608415,500
4.0,20,1.0,0.1,0.5747112069160291,500
4.0,20,1.0,0.12,0.5906453112510571,500
4.0,20,1.0,0.14,0.6063892864152378,500
4.0,20,1.0,0.16,0.6213274703033037,500
4.0,20,1.0,0.18,0.6352883143133142,500
4.0,20,1.0,0.2,0.6482732415040076,500
4.0,20,1.0,0.22,0.6603524488840138,500
4.0,20,1.0,0.24,0.6716300605454296,500
4.0,20,1.0,0.26,0.6821742197144448,500
4.0,20,1.0,0.28,0.6921320514251726,500
4.0,20,1.0,0.3,0.7013760229457942,500
4.0,20,1.0,0.32,0.7100655203167131,500
4.0,20,1.0,0.34,0.7183452633968267,500
4.0,20,1.0,0.36,0.7260649844367187,500
4.0,20,1.0,0.38,0.7331534175934147,500
4.0,20,1.0,0.4,0.7398708895391654,500
4.0,20,1.0,0.42,0.7462162535087532,500
4.0,20,1.0,0.44,0.7521967918535113,500
4.0,20,1.0,0.46,0.7578866388359482,500
4.0,20,1.0,0.48,0.76319880795423,500
4.0,20,1.0,0.5,0.7681078891054258,500
5.0,7,0.1,0.0,0.7173288554429025,500
5.0,7,0.1,0.02,0.7441419250734588,500
5.0,7,0.1,0.04,0.7967802892207477,500
5.0,7,0.1,0.06,0.8401941789056274,500
5.0,7,0.1,0.08,0.8795644329544489,500
5.0,7,0.1,0.1,0.9107788085895241,500
5.0,7,0.1,0.12,0.9354519452887907,500
5.0,7,0.1,0.14,0.9550217567089884,500
5.0,7,0.1,0.16,0.9730889696684336,500
5.0,7,0.1,0.18,0.988206911678669,500
5.0,7,0.1,0.2,1.0010899678138265,500
5.0,7,0.1,0.22,1.012778103891988,500
5.0,7,0.1,0.24,1.023218546742431,500
5.0,7,0.1,0.26,1.0325328106893694,500
5.0,7,0.1,0.28,1.0410992684055005,500
5.0,7,0.1,0.3,1.0489959905718058,500
5.0,7,0.1,0.32,1.0561182176811512,500
5.0,7,0.1,0.34,1.0622812202065537,500
5.0,7,0.1,0.36,1.0679589300358197,500
5.0,7,0.1,0.38,1.0734562867744986,500
5.0,7,0.1,0.4,1.0782754304798423,500
5.0,7,0.1,0.42,1.0824768403898573,500
5.0,7,0.1,0.44,1.0863753001994476,500
5.0,7,0.1,0.46,1.0902185607044081,500
5.0,7,0.1,0.48,1.0935690451045184,500
5.0,7,0.1,0.5,1.096652142800741,500
5.0,7,0.5,0.0,1.017902454146417,500
5.0,7,0.5,0.02,0.8196004970405765,500
5.0,7,0.5,0.04,0.837280974736319,500
5.0,7,0.5,0.06,0.8707928236995887,500
5.0,7,0.5,0.08,0.9037089791877165,500
5.0,7,0.5,0.1,0.9288993451986496,500
5.0,7,0.5,0.12,0.9500573465471192,500
5.0,7,0.5,0.14,0.9688765365876375,500
5.0,7,0.5,0.16,0.9848612820484774,500
5.0,7,0.5,0.18,0.9990512551107846,500
5.0,7,0.5,0.2,1.0119542028060957,500
5.0,7,0.5,0.22,1.023139463277337,500
5.0,7,0.5,0.24,1.0331101545227799,500
5.0,7,0.5,0.26,1.0418818164859918,500
5.0,7,0.5,0.28,1.0506970931226176,500
5.0,7,0.5,0.3,1.057772459402511,500
5.0,7,0.5,0.32,1.0644174637213073,500
5.0,7,0.5,0.34,1.0704245812101039,500
5.0,7,0.5,0.36,1.0761316865785693,500
5.0,7,0.5,0.38,1.0813427075703381,500
5.0,7,0.5,0.4,1.0862621454326042,500
5.0,7,0.5,0.42,1.0905890601917698,500
5.0,7,0.5,0.44,1.0943635736722557,500
5.0,7,0.5,0.46,1.098153269038834,500
5.0,7,0.5,0.48,1.1014720163418987,500
5.0,7,0.5,0.5,1.1050507904244258,500
5.0,7,1.0,0.0,1.4896452303290457,500
5.0,7,1.0,0.02,0.866727349376259,500
5.0,7,1.0,0.04,0.8470684166147504,500
5.0,7,1.0,0.06,0.880244082449584,500
5.0,7,1.0,0.08,0.9093917491616845,500
5.0,7,1.0,0.1,0.9361303507143718,500
5.0,7,1.0,0.12,0.9592946547874986,500
5.0,7,1.0,0.14,0.9770163866560656,500
5.0,7,1.0,0.16,0.9923202042370264,500
5.0,7,1.0,0.18,1.008105360045104,500
5.0,7,1.0,0.2,1.0203682924994593,500
5.0,7,1.0,0.22,1.0312816478398188,500
5.0,7,1.0,0.24,1.0411655579054813,500
5.0,7,1.0,0.26,1.0496415137628492,500
5.0,7,1.0,0.28,1.0573632173181529,500
5.0,7,1.0,0.3,1.0642463329354694,500
5.0,7,1.0,0.32,1.0709898263069595,500
5.0,7,1.0,0.34,1.077028732190493,500
5.0,7,1.0,0.36,1.0823377806875887,500
5.0,7,1.0,0.38,1.0874500747920575,500
5.0,7,1.0,0.4,1.0919654190023211,500
5.0,7,1.0,0.42,1.09617348792538,500
5.0,7,1.0,0.44,1.1003971814673417,500
5.0,7,1.0,0.46,1.1039303759547432,500
5.0,7,1.0,0.48,1.107591266901066,500
5.0,7,1.0,0.5,1.1105537881893657,500
5.0,10,0.1,0.0,0.6552144697797795,500
5.0,10,0.1,0.02,0.6781103765273713,500
5.0,10,0.1,0.04,0.7244248554874017,500
5.0,10,0.1,0.06,0.7653223950362867,500
5.0,10,0.1,0.08,0.7985080412665054,500
5.0,10,0.1,0.1,0.8262715052316886,500
5.0,10,0.1,0.12,0.8497707467568892,500
5.0,10,0.1,0.14,0.8706156662099207,500
5.0,10,0.1,0.16,0.8885054926393696,500
5.0,10,0.1,0.18,0.9039226652052196,500
5.0,10,0.1,0.2,0.9182660408864638,500
5.0,10,0.1,0.22,0.9308261151718055,500
5.0,10,0.1,0.24,0.9418113076873577,500
5.0,10,0.1,0.26,0.9516526121902839,500
5.0,10,0.1,0.28,0.9610480708092991,500
5.0,10,0.1,0.3,0.9692328229028233,500
5.0,10,0.1,0.32,0.9771467993388363,500
5.0,10,0.1,0.34,0.9842078383768955,500
5.0,10,0.1,0.36,0.9907328246516639,500
5.0,10,0.1,0.38,0.9970765862919609,500
5.0,10,0.1,0.4,1.0027547572713555,500
5.0,10,0.1,0.42,1.007835749371845,500
5.0,10,0.1,0.44,1.012527166102243,500
5.0,10,0.1,0.46,1.0169262147098561,500
5.0,10,0.1,0.48,1.0208536778460926,500
5.0,10,0.1,0.5,1.024590153810886,500
5.0,10,0.5,0.0,0.9681199579847096,500
5.0,10,0.5,0.02,0.7449008818918295,500
5.0,10,0.5,0.04,0.731929522834168,500
5.0,10,0.5,0.06,0.7558418097298243,500
5.0,10,0.5,0.08,0.7845803960202695,500
5.0,10,0.5,0.1,0.8126112990825826,500
5.0,10,0.5,0.12,0.8358414871749371,500
5.0,10,0.5,0.14,0.8567093922433248,500
5.0,10,0.5,0.16,0.8753655533315874,500
5.0,10,0.5,0.18,0.8919184046531694,500
5.0,10,0.5,0.2,0.9062251205671303,500
5.0,10,0.5,0.22,0.9189854874642712,500
5.0,10,0.5,0.24,0.9306288223253781,500
5.0,10,0.5,0.26,0.9414929957214815,500
5.0,10,0.5,0.28,0.9506736489849053,500
5.0,10,0.5,0.3,0.9595197392788176,500
5.0,10,0.5,0.32,0.9671437071388246,500
5.0,10,0.5,0.34,0.974456339904743,500
5.0,10,0.5,0.36,0.9810095715567153,500
5.0,10,0.5,0.38,0.9873228914034766,500
5.0,10,0.5,0.4,0.9926042643611676,500
5.0,10,0.5,0.42,0.9978527011896251,500
5.0,10,0.5,0.44,1.0025211568133425,500
5.0,10,0.5,0.46,1.0066218621720895,500
5.0,10,0.5,0.48,1.0104808836991896,500
5.0,10,0.5,0.5,1.014118920761343,500
5.0,10,1.0,0.0,1.4770415612551908,500
5.0,10,1.0,0.02,0.7795722796356401,500
5.0,10,1.0,0.04,0.7114672262459959,500
5.0,10,1.0,0.06,0.7303223825172498,500
5.0,10,1.0,0.08,0.7594028956498476,500
5.0,10,1.0,0.1,0.7869633644416111,500
5.0,10,1.0,0.12,0.8123263969913761,500
5.0,10,1.0,0.14,0.8341069335342709,500
5.0,10,1.0,0.16,0.8526608647307049,500
5.0,10,1.0,0.18,0.8690758517882134,500
5.0,10,1.0,0.2,0.8843448240199309,500
5.0,10,1.0,0.22,0.8981190639648374,500
5.0,10,1.0,0.24,0.9102296258136432,500
5.0,10,1.0,0.26,0.9214701717780405,500
5.0,10,1.0,0.28,0.9315312837809054,500
5.0,10,1.0,0.3,0.9409763546773682,500
5.0,10,1.0,0.32,0.9492898556847033,500
5.0,10,1.0,0.34,0.9568561073622234,500
5.0,10,1.0,0.36,0.9638876361035034,500
5.0,10,1.0,0.38,0.9700727699704726,500
5.0,10,1.0,0.4,0.9758447683069691,500
5.0,10,1.0,0.42,0.9811446520496228,500
5.0,10,1.0,0.44,0.9861546940321364,500
5.0,10,1.0,0.46,0.990749777039982,500
5.0,10,1.0,0.48,0.9948731788837295,500
5.0,10,1.0,0.5,0.99837047355425,500
5.0,20,0.1,0.0,0.5059070371535979,500
5.0,20,0.1,0.02,0.5377791331634971,500
5.0,20,0.1,0.04,0.575466357094182,500
5.0,20,0.1,0.06,0.6116399071789504,500
5.0,20,0.1,0.08,0.6439129218801798,500
5.0,20,0.1,0.1,0.6721774578505431,500
5.0,20,0.1,0.12,0.6968036169749885,500
5.0,20,0.1,0.14,0.7183959561970843,500
5.0,20,0.1,0.16,0.7375445687891139,500
5.0,20,0.1,0.18,0.7547304423789003,500
5.0,20,0.1,0.2,0.7703512308095185,500
5.0,20,0.1,0.22,0.7842960106433435,500
5.0,20,0.1,0.24,0.7969479050556262,500
5.0,20,0.1,0.26,0.8084815091582903,500
5.0,20,0.1,0.28,0.8189881779885974,500
5.0,20,0.1,0.3,0.8288512440393583,500
5.0,20,0.1,0.32,0.8378516489924354,500
5.0,20,0.1,0.34,0.8461018416897851,500
5.0,20,0.1,0.36,0.8536827340953447,500
5.0,20,0.1,0.38,0.8606627121585266,500
5.0,20,0.1,0.4,0.867008522919119,500
5.0,20,0.1,0.42,0.872840536715742,500
5.0,20,0.1,0.44,0.8782262023920155,500
5.0,20,0.1,0.46,0.8833201234724704,500
5.0,20,0.1,0.48,0.8880241656308746,500
