feature_group,n_features,pooled_J1,J1_n7,J1_n10,J1_n20,endpoint_rate,near_5pct_rate,n_iter
full,13,0.5285176727257636,0.6164614608730298,0.5608082408757563,0.37876401013626104,0.48833333333333334,0.4112222222222222,59
n_only,1,0.6062150701836859,0.6930842876761372,0.6432356915124504,0.4564779833621718,0.0,0.212,57
scale_quantile,10,0.5350274668512206,0.62353645741752,0.5636254951572532,0.3902457665826143,0.5537777777777778,0.399,70
shape,4,0.5444382079010848,0.6220792600480476,0.5733977791741488,0.41649882079528394,0.5744444444444444,0.4033333333333333,91
