model,split,J1,failure_rate,n_samples,J1_n7,fail_n7,J1_n10,fail_n10,J1_n20,fail_n20
Vector-MLP-L4,combo_holdout_pooled,0.6062291863597251,0.0,45000,0.7123366544590056,0.0,0.6176448993246643,0.0,0.4622042278425194,0.0
Vector-MLP-L5,combo_holdout_pooled,0.5968293591736927,0.0,45000,0.7083107447977879,0.0,0.6051439615041126,0.0,0.4480095161647289,0.0
Vector-MLP-L6,combo_holdout_pooled,0.5470026952112984,0.0,45000,0.6575582864599742,0.0,0.5498150701055643,0.0,0.403678503636136,0.0
Tabular-L6,combo_holdout_pooled,0.5578494619798308,0.0,45000,0.6666953114131706,0.0,0.5637947934332473,0.0,0.4138125896233914,0.0
Default,combo_holdout_pooled,0.6332189473722903,0.0,45000,0.7392855016503717,0.0,0.6445203563841531,0.0,0.49086572826977504,0.0
L1,combo_holdout_pooled,0.6329130843027161,0.0,45000,0.7397329656280063,0.0,0.6451038118222847,0.0,0.488234706243098,0.0
L2,combo_holdout_pooled,0.6325405576256965,0.0,45000,0.7392855016503717,0.0,0.6445203563841531,0.0,0.488234706243098,0.0
L3-oracle,combo_holdout_pooled,0.5850675058410649,0.0,45000,0.6900093283848866,0.0,0.5921882107655605,0.0,0.4473390313234199,0.0
L4-oracle,combo_holdout_pooled,0.5820901089588821,0.0,45000,0.6859352395982693,0.0,0.5917592589011916,0.0,0.44249351568725515,0.0
L5-oracle,combo_holdout_pooled,0.5711703880260268,0.0,45000,0.6765806674670678,0.0,0.579700385422153,0.0,0.4299917441354318,0.0
L6-hindsight,combo_holdout_pooled,0.4945297307934268,0.0,45000,0.5911154523322776,0.0,0.5035816867208589,0.0,0.3614788662276667,0.0
Vector-MLP-L6,random,0.5350829013315533,0.0,9000,0.6402879917065664,,0.5385144537807981,,0.3957111474563679,
Default,random,0.6298152141402109,0.0,9000,0.7369340350163155,,0.6391361384355017,,0.48528356423789065,
L1,random,0.6296984297612669,0.0,9000,0.7398272633444445,,0.6376152555958176,,0.48235944717974627,
L2,random,0.6290742497160287,0.0,9000,0.7369340350163155,,0.6391361384355017,,0.48235944717974627,
L6-hindsight,random,0.4886827964020386,0.0,9000,0.5849265148286983,,0.4957065996680324,,0.3556938511479389,
