seed,pooled_J1,J1_n7,J1_n10,J1_n20,endpoint_rate,n_iter
42,0.5470026952112984,0.6575582864599742,0.5498150701055643,0.403678503636136,0.4881111111111111,63
2026,0.5461329970692127,0.6578992547976563,0.5497350008982776,0.3996795601321904,0.48844444444444446,48
3407,0.544009131075083,0.657169547044313,0.5459737464079961,0.39733947544887843,0.5624222222222223,108
