model,category,P_delta_0,P_delta_0.5,P_extreme,n_samples
Vector-MLP-L6,pooled,0.14075555555555555,0.010622222222222222,0.4881111111111111,45000
Vector-MLP-L6,n=7,0.11393333333333333,0.008,0.4646666666666667,15000
Vector-MLP-L6,n=10,0.14553333333333332,0.011733333333333333,0.5064666666666666,15000
Vector-MLP-L6,n=20,0.1628,0.012133333333333333,0.4932,15000
Vector-MLP-L6,b=1.5_g=0.1_n=7,0.123,0.002,0.592,1000
Vector-MLP-L6,b=1.5_g=0.1_n=10,0.216,0.003,0.585,1000
Vector-MLP-L6,b=1.5_g=0.1_n=20,0.556,0.057,0.755,1000
Vector-MLP-L6,b=1.5_g=0.5_n=7,0.06,0.045,0.296,1000
Vector-MLP-L6,b=1.5_g=0.5_n=10,0.064,0.061,0.339,1000
Vector-MLP-L6,b=1.5_g=0.5_n=20,0.31,0.04,0.545,1000
Vector-MLP-L6,b=1.5_g=1.0_n=7,0.205,0.013,0.584,1000
Vector-MLP-L6,b=1.5_g=1.0_n=10,0.131,0.049,0.578,1000
Vector-MLP-L6,b=1.5_g=1.0_n=20,0.041,0.026,0.163,1000
Vector-MLP-L6,b=2.0_g=0.1_n=7,0.128,0.014,0.263,1000
Vector-MLP-L6,b=2.0_g=0.1_n=10,0.054,0.0,0.54,1000
Vector-MLP-L6,b=2.0_g=0.1_n=20,0.098,0.0,0.339,1000
Vector-MLP-L6,b=2.0_g=0.5_n=7,0.097,0.03,0.406,1000
Vector-MLP-L6,b=2.0_g=0.5_n=10,0.011,0.04,0.374,1000
Vector-MLP-L6,b=2.0_g=0.5_n=20,0.023,0.04,0.36,1000
Vector-MLP-L6,b=2.0_g=1.0_n=7,0.054,0.009,0.315,1000
Vector-MLP-L6,b=2.0_g=1.0_n=10,0.238,0.0,0.514,1000
Vector-MLP-L6,b=2.0_g=1.0_n=20,0.102,0.008,0.433,1000
Vector-MLP-L6,b=2.5_g=0.1_n=7,0.156,0.0,0.425,1000
Vector-MLP-L6,b=2.5_g=0.1_n=10,0.252,0.0,0.376,1000
Vector-MLP-L6,b=2.5_g=0.1_n=20,0.051,0.0,0.578,1000
Vector-MLP-L6,b=2.5_g=0.5_n=7,0.087,0.002,0.492,1000
Vector-MLP-L6,b=2.5_g=0.5_n=10,0.106,0.019,0.439,1000
Vector-MLP-L6,b=2.5_g=0.5_n=20,0.0,0.011,0.15,1000
Vector-MLP-L6,b=2.5_g=1.0_n=7,0.107,0.004,0.502,1000
Vector-MLP-L6,b=2.5_g=1.0_n=10,0.061,0.003,0.381,1000
Vector-MLP-L6,b=2.5_g=1.0_n=20,0.263,0.0,0.46,1000
Vector-MLP-L6,b=4.0_g=0.1_n=7,0.249,0.001,0.582,1000
Vector-MLP-L6,b=4.0_g=0.1_n=10,0.186,0.0,0.622,1000
Vector-MLP-L6,b=4.0_g=0.1_n=20,0.306,0.0,0.821,1000
Vector-MLP-L6,b=4.0_g=0.5_n=7,0.049,0.0,0.488,1000
Vector-MLP-L6,b=4.0_g=0.5_n=10,0.246,0.0,0.581,1000
Vector-MLP-L6,b=4.0_g=0.5_n=20,0.234,0.0,0.564,1000
Vector-MLP-L6,b=4.0_g=1.0_n=7,0.142,0.0,0.536,1000
Vector-MLP-L6,b=4.0_g=1.0_n=10,0.192,0.0,0.558,1000
Vector-MLP-L6,b=4.0_g=1.0_n=20,0.27,0.0,0.509,1000
Vector-MLP-L6,b=5.0_g=0.1_n=7,0.114,0.0,0.443,1000
Vector-MLP-L6,b=5.0_g=0.1_n=10,0.31,0.001,0.683,1000
Vector-MLP-L6,b=5.0_g=0.1_n=20,0.041,0.0,0.713,1000
Vector-MLP-L6,b=5.0_g=0.5_n=7,0.045,0.0,0.462,1000
Vector-MLP-L6,b=5.0_g=0.5_n=10,0.022,0.0,0.447,1000
Vector-MLP-L6,b=5.0_g=0.5_n=20,0.049,0.0,0.52,1000
Vector-MLP-L6,b=5.0_g=1.0_n=7,0.093,0.0,0.584,1000
Vector-MLP-L6,b=5.0_g=1.0_n=10,0.094,0.0,0.58,1000
Vector-MLP-L6,b=5.0_g=1.0_n=20,0.098,0.0,0.488,1000
Vector-MLP-L5,pooled,0.11244444444444444,0.001488888888888889,0.1844,45000
Vector-MLP-L5,n=7,0.050333333333333334,0.0,0.1754,15000
Vector-MLP-L5,n=10,0.12553333333333333,0.0005333333333333334,0.18333333333333332,15000
Vector-MLP-L5,n=20,0.16146666666666668,0.003933333333333333,0.19446666666666668,15000
Vector-MLP-L5,b=1.5_g=0.1_n=7,0.074,0.0,0.182,1000
Vector-MLP-L5,b=1.5_g=0.1_n=10,0.239,0.008,0.253,1000
Vector-MLP-L5,b=1.5_g=0.1_n=20,0.658,0.0,0.692,1000
Vector-MLP-L5,b=1.5_g=0.5_n=7,0.032,0.0,0.064,1000
Vector-MLP-L5,b=1.5_g=0.5_n=10,0.008,0.0,0.012,1000
Vector-MLP-L5,b=1.5_g=0.5_n=20,0.002,0.002,0.004,1000
Vector-MLP-L5,b=1.5_g=1.0_n=7,0.0,0.0,0.0,1000
Vector-MLP-L5,b=1.5_g=1.0_n=10,0.0,0.0,0.003,1000
Vector-MLP-L5,b=1.5_g=1.0_n=20,0.0,0.049,0.051,1000
Vector-MLP-L5,b=2.0_g=0.1_n=7,0.066,0.0,0.156,1000
Vector-MLP-L5,b=2.0_g=0.1_n=10,0.368,0.0,0.389,1000
Vector-MLP-L5,b=2.0_g=0.1_n=20,0.034,0.0,0.057,1000
Vector-MLP-L5,b=2.0_g=0.5_n=7,0.012,0.0,0.049,1000
Vector-MLP-L5,b=2.0_g=0.5_n=10,0.005,0.0,0.011,1000
Vector-MLP-L5,b=2.0_g=0.5_n=20,0.0,0.0,0.001,1000
Vector-MLP-L5,b=2.0_g=1.0_n=7,0.0,0.0,0.003,1000
Vector-MLP-L5,b=2.0_g=1.0_n=10,0.0,0.0,0.0,1000
Vector-MLP-L5,b=2.0_g=1.0_n=20,0.0,0.0,0.047,1000
Vector-MLP-L5,b=2.5_g=0.1_n=7,0.139,0.0,0.409,1000
Vector-MLP-L5,b=2.5_g=0.1_n=10,0.189,0.0,0.273,1000
Vector-MLP-L5,b=2.5_g=0.1_n=20,0.317,0.0,0.358,1000
Vector-MLP-L5,b=2.5_g=0.5_n=7,0.0,0.0,0.019,1000
Vector-MLP-L5,b=2.5_g=0.5_n=10,0.0,0.0,0.006,1000
Vector-MLP-L5,b=2.5_g=0.5_n=20,0.0,0.008,0.011,1000
Vector-MLP-L5,b=2.5_g=1.0_n=7,0.0,0.0,0.0,1000
Vector-MLP-L5,b=2.5_g=1.0_n=10,0.0,0.0,0.0,1000
Vector-MLP-L5,b=2.5_g=1.0_n=20,0.0,0.0,0.0,1000
Vector-MLP-L5,b=4.0_g=0.1_n=7,0.425,0.0,0.793,1000
Vector-MLP-L5,b=4.0_g=0.1_n=10,0.66,0.0,0.813,1000
Vector-MLP-L5,b=4.0_g=0.1_n=20,0.496,0.0,0.779,1000
Vector-MLP-L5,b=4.0_g=0.5_n=7,0.001,0.0,0.098,1000
Vector-MLP-L5,b=4.0_g=0.5_n=10,0.001,0.0,0.01,1000
Vector-MLP-L5,b=4.0_g=0.5_n=20,0.0,0.0,0.0,1000
Vector-MLP-L5,b=4.0_g=1.0_n=7,0.0,0.0,0.0,1000
Vector-MLP-L5,b=4.0_g=1.0_n=10,0.0,0.0,0.0,1000
Vector-MLP-L5,b=4.0_g=1.0_n=20,0.0,0.0,0.0,1000
Vector-MLP-L5,b=5.0_g=0.1_n=7,0.006,0.0,0.852,1000
Vector-MLP-L5,b=5.0_g=0.1_n=10,0.413,0.0,0.98,1000
