run_id,phase,seed,representation,family,train_n,test_n,status,n_iter,param_count,J1,J1_hindsight,J1_minus_hindsight,mean_curve_rmse,mean_regret,median_regret,p95_regret,near5_hit,elapsed_s,time_iso
F13_J_seed42,explore,42,F13,J,"7,10,20","7,10,20",completed,66,46426,0.531573391334112,0.4887114461420549,0.04286194519205705,0.1772263187167484,0.043731392784190325,0.00828569327710639,0.18094662128611938,0.4428888888888889,97.4,2026-07-19T17:12:48+00:00
F13_S_7to7_seed42,explore,42,F13,S,7,7,completed,120,46426,0.6467839796677569,0.5864600855982591,0.060323894069497785,0.25662355316051216,0.07439408435494403,0.016446857516024968,0.2800982266633034,0.43833333333333335,43.8,2026-07-19T17:13:32+00:00
F13_S_10to10_seed42,explore,42,F13,S,10,10,completed,130,46426,0.5327884031904699,0.4929447185511582,0.03984368463931176,0.1598843219398809,0.040868987026770165,0.0073684986937784525,0.18491374525566837,0.48233333333333334,48.3,2026-07-19T17:14:20+00:00
F13_S_20to20_seed42,explore,42,F13,S,20,20,completed,159,46426,0.38318920659365313,0.3599815345588963,0.02320767203475682,0.08621846605367356,0.017247262826495535,0.003162910796536255,0.07661157683912076,0.4776666666666667,57.6,2026-07-19T17:15:18+00:00
F13_T_7to10-20_seed42,explore,42,F13,T,7,"10,20",completed,120,46426,0.5312711890736987,0.4316139483212159,0.09965724075248283,0.5066311471977151,0.0959584759543526,0.036272821757877854,0.35450690679466434,0.295,46.1,2026-07-19T17:16:04+00:00
F13_T_10to7-20_seed42,explore,42,F13,T,10,"7,20",completed,130,46426,0.5817245936910347,0.4865809990244663,0.09514359466656841,0.40529607073171425,0.10164243429335182,0.03373873971712865,0.37829714043675217,0.2803333333333333,48.5,2026-07-19T17:16:52+00:00
F13_T_20to7-10_seed42,explore,42,F13,T,20,"7,10",completed,159,46426,0.7015448531953942,0.541724066083185,0.15982078711220915,0.39827534443387086,0.19870021727124823,0.0669966806699161,0.7985992301442003,0.22816666666666666,35.7,2026-07-19T17:17:28+00:00
F13_L_hold7_seed42,explore,42,F13,L,"10,20",7,completed,101,46426,0.6429581051618702,0.5864600855982591,0.05649801956361111,0.244994424152372,0.06945969299342522,0.009242425528828105,0.3017756417882176,0.5046666666666667,24.2,2026-07-19T17:17:53+00:00
F13_L_hold10_seed42,explore,42,F13,L,"7,20",10,completed,69,46426,0.5405302502991013,0.4929447185511582,0.04758553174794311,0.20316661991918228,0.04917845594092852,0.013820595536082239,0.1974637750614191,0.41,16.8,2026-07-19T17:18:09+00:00
F13_L_hold20_seed42,explore,42,F13,L,"7,10",20,completed,43,46426,0.5031211336843341,0.3599815345588963,0.14313959912543778,0.1708008181753015,0.12354416993643179,0.008357653336076052,0.6978397842707167,0.44333333333333336,11.1,2026-07-19T17:18:21+00:00
F12_J_seed42,explore,42,F12,J,"7,10,20","7,10,20",completed,46,46452,0.5377346344504651,0.4887114461420549,0.04902318830841018,0.1765889045484198,0.05031965949731664,0.005253207131295226,0.20582175212670595,0.47744444444444445,18.5,2026-07-19T17:18:39+00:00
F12_S_7to7_seed42,explore,42,F12,S,7,7,completed,46,46452,0.6468290858225909,0.5864600855982591,0.06036900022433178,0.25607259327524295,0.07445243426617126,0.02196194095462249,0.2799313640202753,0.39666666666666667,6.6,2026-07-19T17:18:46+00:00
F12_S_10to10_seed42,explore,42,F12,S,10,10,completed,55,46452,0.5295622045905548,0.4929447185511582,0.03661748603939663,0.16472005294325529,0.037441632983328074,0.004422554562776099,0.1712363479669906,0.5006666666666667,7.9,2026-07-19T17:18:54+00:00
F12_S_20to20_seed42,explore,42,F12,S,20,20,completed,106,46452,0.38668634994108575,0.3599815345588963,0.02670481538218944,0.08701381017015299,0.019939628007381957,0.003788715519398499,0.09401559817692595,0.46,14.6,2026-07-19T17:19:08+00:00
F12_T_7to10-20_seed42,explore,42,F12,T,7,"10,20",completed,46,46452,0.5130758380581094,0.4316139483212159,0.0814618897368935,0.5159718030313243,0.07695621521360203,0.027890249376973805,0.2788191437901094,0.254,6.9,2026-07-19T17:19:15+00:00
F12_T_10to7-20_seed42,explore,42,F12,T,10,"7,20",completed,55,46452,0.5412422203622501,0.4865809990244663,0.05466122133778384,0.21313459955477274,0.0561820724910109,0.007908511577184106,0.213968068270715,0.44633333333333336,8.3,2026-07-19T17:19:24+00:00
F12_T_20to7-10_seed42,explore,42,F12,T,20,"7,10",completed,106,46452,0.6326579038696208,0.541724066083185,0.09093383778643582,0.275893347724656,0.1067910595550034,0.015845491559436,0.4604151041422261,0.4395,15.1,2026-07-19T17:19:39+00:00
F12_L_hold7_seed42,explore,42,F12,L,"10,20",7,completed,86,46452,0.6388366745334513,0.5864600855982591,0.05237658893519215,0.23702369258088704,0.06417686472904131,0.004752884062349899,0.2799313640202753,0.555,22.4,2026-07-19T17:20:01+00:00
F12_L_hold10_seed42,explore,42,F12,L,"7,20",10,completed,47,46452,0.5431456761573509,0.4929447185511582,0.0502009576061927,0.18891847224688463,0.05201272998094526,0.013090545843161654,0.22240877446249094,0.4136666666666667,13.0,2026-07-19T17:20:15+00:00
F12_L_hold20_seed42,explore,42,F12,L,"7,10",20,completed,62,46452,0.4213786399220383,0.3599815345588963,0.06139710536314197,0.15956232042948146,0.04797325295916895,0.02229637691276645,0.17887232505531017,0.26866666666666666,16.5,2026-07-19T17:20:31+00:00
RAW_J_seed42,explore,42,RAW,J,"7,10,20","7,10,20",completed,53,46409,0.5365817285237099,0.4887114461420549,0.04787028238165497,0.1774760559766564,0.049081073795233666,0.013464228491326903,0.19690856449489463,0.3877777777777778,22.5,2026-07-19T17:20:54+00:00
RAW_S_7to7_seed42,explore,42,RAW,S,7,7,completed,72,46409,0.6452711847234859,0.5864600855982591,0.05881109912522675,0.2567340581279648,0.07243946983453362,0.018549165148842334,0.280267218938737,0.4166666666666667,10.3,2026-07-19T17:21:04+00:00
RAW_S_10to10_seed42,explore,42,RAW,S,10,10,completed,181,46409,0.5295160852265619,0.4929447185511582,0.03657136667540373,0.14944239736798337,0.0373927889661831,0.004763795912495524,0.16920158898768675,0.51,23.1,2026-07-19T17:21:27+00:00
RAW_S_20to20_seed42,explore,42,RAW,S,20,20,completed,144,46409,0.3868710338576235,0.3599815345588963,0.026889499298727193,0.0891036785943201,0.020082491614688617,0.0019004274424457013,0.09884581063623259,0.5146666666666667,18.2,2026-07-19T17:21:45+00:00
RAW_T_7to10-20_seed42,explore,42,RAW,T,7,"10,20",completed,72,46409,0.5413832920399283,0.4316139483212159,0.10976934371871239,0.8031948864468159,0.1068052685145611,0.022707013531185802,0.48480349872245393,0.322,10.8,2026-07-19T17:21:56+00:00
RAW_T_10to7-20_seed42,explore,42,RAW,T,10,"7,20",completed,181,46409,0.631792589913581,0.4865809990244663,0.14521159088911473,1.8093027417474077,0.1624008080580627,0.039117364214963105,0.7050969712241316,0.2906666666666667,23.5,2026-07-19T17:22:20+00:00
RAW_T_20to7-10_seed42,explore,42,RAW,T,20,"7,10",completed,144,46409,0.7122866116898987,0.541724066083185,0.1705625456067137,0.6241835761289503,0.21388725341897744,0.0968996515483248,0.7560065381986659,0.16966666666666666,19.0,2026-07-19T17:22:39+00:00
RAW_L_hold7_seed42,explore,42,RAW,L,"10,20",7,completed,79,46409,0.7585597346658063,0.5864600855982591,0.17209964906754716,1.2778830173566342,0.23147743905634094,0.07922667867788702,0.8395230665208621,0.23933333333333334,20.9,2026-07-19T17:23:00+00:00
RAW_L_hold10_seed42,explore,42,RAW,L,"7,20",10,completed,66,46409,0.6076491051257942,0.4929447185511582,0.114704386574636,0.9213293170471452,0.12624293941269793,0.03882267183069194,0.5308209908421381,0.279,18.0,2026-07-19T17:23:18+00:00
RAW_L_hold20_seed42,explore,42,RAW,L,"7,10",20,completed,67,46409,0.5313766561153271,0.3599815345588963,0.17139512155643083,0.5527645888356627,0.15277444544092877,0.016534749598369203,0.6978600961082017,0.364,18.5,2026-07-19T17:23:37+00:00
