run_id,phase,seed,representation,family,train_n,test_n,J1,J1_hindsight,J1_minus_hindsight,mean_curve_rmse,mean_regret,median_regret,p95_regret,near5_hit,n_samples
F13_J_seed42,explore,42,F13,J,"7,10,20","7,10,20",0.531573391334112,0.4887114461420549,0.04286194519205705,0.1772263187167484,0.043731392784190325,0.00828569327710639,0.18094662128611938,0.4428888888888889,
F13_J_seed42,explore,42,F13,J,"7,10,20",7,0.6359658543997637,0.5864600855982591,0.04950576880150459,,0.0605171359625041,0.007862794730738351,0.27414014604912695,0.5096666666666667,3000.0
F13_J_seed42,explore,42,F13,J,"7,10,20",10,0.532122463464405,0.4929447185511582,0.03917774491324677,,0.04015982057594637,0.007934126457788702,0.17169884152392556,0.4673333333333333,3000.0
F13_J_seed42,explore,42,F13,J,"7,10,20",20,0.40012988770835195,0.3599815345588963,0.04014835314945564,,0.030517221814120494,0.009046697296840454,0.12689572949907219,0.3516666666666667,3000.0
F13_S_7to7_seed42,explore,42,F13,S,7,7,0.6467839796677569,0.5864600855982591,0.060323894069497785,0.25662355316051216,0.07439408435494403,0.016446857516024968,0.2800982266633034,0.43833333333333335,
F13_S_7to7_seed42,explore,42,F13,S,7,7,0.6467839796677569,0.5864600855982591,0.060323894069497785,,0.07439408435494403,0.016446857516024968,0.2800982266633034,0.43833333333333335,3000.0
F13_S_10to10_seed42,explore,42,F13,S,10,10,0.5327884031904699,0.4929447185511582,0.03984368463931176,0.1598843219398809,0.040868987026770165,0.0073684986937784525,0.18491374525566837,0.48233333333333334,
F13_S_10to10_seed42,explore,42,F13,S,10,10,0.5327884031904699,0.4929447185511582,0.03984368463931176,,0.040868987026770165,0.0073684986937784525,0.18491374525566837,0.48233333333333334,3000.0
F13_S_20to20_seed42,explore,42,F13,S,20,20,0.38318920659365313,0.3599815345588963,0.02320767203475682,0.08621846605367356,0.017247262826495535,0.003162910796536255,0.07661157683912076,0.4776666666666667,
F13_S_20to20_seed42,explore,42,F13,S,20,20,0.38318920659365313,0.3599815345588963,0.02320767203475682,,0.017247262826495535,0.003162910796536255,0.07661157683912076,0.4776666666666667,3000.0
F13_T_7to10-20_seed42,explore,42,F13,T,7,"10,20",0.5312711890736987,0.4316139483212159,0.09965724075248283,0.5066311471977151,0.0959584759543526,0.036272821757877854,0.35450690679466434,0.295,
F13_T_7to10-20_seed42,explore,42,F13,T,7,10,0.5772081783292826,0.4929447185511582,0.08426345977812444,,0.0901747855827283,0.032449016237781916,0.32637081910833227,0.34933333333333333,3000.0
F13_T_7to10-20_seed42,explore,42,F13,T,7,20,0.48096660128262,0.3599815345588963,0.12098506672372367,,0.10174216632597688,0.0393735187739763,0.37909482881726847,0.24066666666666667,3000.0
F13_T_10to7-20_seed42,explore,42,F13,T,10,"7,20",0.5817245936910347,0.4865809990244663,0.09514359466656841,0.40529607073171425,0.10164243429335182,0.03373873971712865,0.37829714043675217,0.2803333333333333,
F13_T_10to7-20_seed42,explore,42,F13,T,10,7,0.6781235373686109,0.5864600855982591,0.09166345177035173,,0.11591609993340037,0.03302614781639495,0.437180100700019,0.37366666666666665,3000.0
F13_T_10to7-20_seed42,explore,42,F13,T,10,20,0.4657847935223745,0.3599815345588963,0.1058032589634782,,0.08736876865330324,0.03433963128612806,0.3456248536548199,0.187,3000.0
F13_T_20to7-10_seed42,explore,42,F13,T,20,"7,10",0.7015448531953942,0.541724066083185,0.15982078711220915,0.39827534443387086,0.19870021727124823,0.0669966806699161,0.7985992301442003,0.22816666666666666,
F13_T_20to7-10_seed42,explore,42,F13,T,20,7,0.7663141225011012,0.5864600855982591,0.17985403690284207,,0.24330190234471516,0.07929222924532175,0.977038847505309,0.236,3000.0
F13_T_20to7-10_seed42,explore,42,F13,T,20,10,0.6301531780013983,0.4929447185511582,0.13720845945024007,,0.15409853219778125,0.05792438743470947,0.6045050881999277,0.22033333333333333,3000.0
F13_L_hold7_seed42,explore,42,F13,L,"10,20",7,0.6429581051618702,0.5864600855982591,0.05649801956361111,0.244994424152372,0.06945969299342522,0.009242425528828105,0.3017756417882176,0.5046666666666667,
F13_L_hold7_seed42,explore,42,F13,L,"10,20",7,0.6429581051618702,0.5864600855982591,0.05649801956361111,,0.06945969299342522,0.009242425528828105,0.3017756417882176,0.5046666666666667,3000.0
F13_L_hold10_seed42,explore,42,F13,L,"7,20",10,0.5405302502991013,0.4929447185511582,0.04758553174794311,0.20316661991918228,0.04917845594092852,0.013820595536082239,0.1974637750614191,0.41,
