method,param,true_value,min,max,mean,median,p2_5,p97_5,n_success_total
mle,beta,2.000000,1.227687,26.594550,5.361977,5.188482,1.378808,13.983427,538/1000
mle,eta,1000.000000,247.241212,2582.952094,1577.580226,1806.268320,527.958915,2351.870992,538/1000
mle,gamma,1000.000000,0.000000,1759.706204,426.207761,0.000260,0.000000,1412.122243,538/1000
wmle,beta,2.000000,1.338026,5.864840,3.059569,2.877133,1.479798,5.000000,1000/1000
wmle,eta,1000.000000,239.988786,2753.401695,1386.801822,1255.691040,476.374325,2350.287706,1000/1000
wmle,gamma,1000.000000,0.000000,1751.160387,630.977928,782.253994,0.000002,1441.709232,1000/1000
lse,beta,2.000000,0.234352,18.403944,2.506843,1.707978,0.508917,8.193807,1000/1000
lse,eta,1000.000000,80.927255,2650.004923,1076.147651,874.753615,284.727341,2303.142897,1000/1000
lse,gamma,1000.000000,0.000000,2002.491963,914.025831,1086.822454,0.000000,1629.207346,1000/1000
lre,beta,2.000000,0.543214,21.727450,4.756008,4.469934,1.144185,9.666667,1000/1000
lre,eta,1000.000000,302.409086,2803.783294,2014.660963,2042.157013,781.140126,2466.385580,1000/1000
lre,gamma,1000.000000,0.000000,1353.875841,37.844137,0.000012,0.000000,1062.213584,1000/1000
MDM-0.1,beta,2.000000,0.346085,14.999995,1.845653,1.731951,0.612575,3.569817,1000/1000
MDM-0.1,eta,1000.000000,88.898308,2234.470849,899.927340,842.053093,301.582840,1725.387289,1000/1000
MDM-0.1,gamma,1000.000000,331.197107,1996.463255,1078.534201,1103.053214,497.361708,1603.134531,1000/1000
MDM-MLP,beta,2.000000,0.345899,6.217456,1.783051,1.674872,0.611660,3.804906,1000/1000
MDM-MLP,eta,1000.000000,88.874706,1865.956066,850.017428,880.281687,309.767021,1307.213663,1000/1000
MDM-MLP,gamma,1000.000000,516.206167,1996.198784,1124.337636,1079.579907,806.101746,1593.856792,1000/1000
MDM-L6-oracle,beta,2.000000,0.346148,6.217456,1.720726,1.770561,0.617702,2.720069,1000/1000
MDM-L6-oracle,eta,1000.000000,88.906239,1670.462558,839.687601,856.255723,307.783354,1315.533762,1000/1000
MDM-L6-oracle,gamma,1000.000000,736.904879,1996.005339,1134.769403,1088.402673,843.295876,1593.764991,1000/1000
