beta,gamma_over_eta,n,method,mean_loss_primary,J1_primary,failure_rate,n_samples
1.5,0.1,7,LRE,0.372744189151241,0.6105277955599082,0.0,300
1.5,0.1,7,LSE,0.38675418422879654,0.6218956377309592,0.0,300
1.5,0.1,7,MDM-0.1,0.32649434742869216,0.5713968388333035,0.0,300
1.5,0.1,7,MLE,2.1602808573676153,1.4697893921809395,0.67,300
1.5,0.1,7,WMLE,0.2848411916508988,0.5337051542292792,0.0,300
1.5,0.1,10,LRE,0.24186394004398745,0.4917966450109104,0.0,300
1.5,0.1,10,LSE,0.25470195985167265,0.5046800569189084,0.0,300
1.5,0.1,10,MDM-0.1,0.20536949226935272,0.45317710916302106,0.0,300
1.5,0.1,10,MLE,1.9465767051785792,1.3951977297783205,0.6066666666666667,300
1.5,0.1,10,WMLE,0.21478361712729196,0.46344753438473696,0.0,300
1.5,0.1,15,LRE,0.15678134179552242,0.3959562372226537,0.0,300
1.5,0.1,15,LSE,0.1670651432207838,0.4087360312240454,0.0,300
1.5,0.1,15,MDM-0.1,0.14296394802376056,0.37810573656552815,0.0,300
1.5,0.1,15,MLE,1.5045256536768579,1.2265910702743836,0.47,300
1.5,0.1,15,WMLE,0.14976487993798623,0.3869946768858536,0.0,300
1.5,0.1,20,LRE,0.10930098434315556,0.3306069937904453,0.0,300
1.5,0.1,20,LSE,0.11822853818227247,0.3438437700210264,0.0,300
1.5,0.1,20,MDM-0.1,0.10496947389187557,0.3239899286889572,0.0,300
1.5,0.1,20,MLE,1.040531173580563,1.0200642987481539,0.32,300
1.5,0.1,20,WMLE,0.10617682207284299,0.32584785110975184,0.0,300
1.5,0.25,7,LRE,0.4610921479535683,0.679037663133326,0.0,300
1.5,0.25,7,LSE,0.5043668952372964,0.71018792952098,0.0,300
1.5,0.25,7,MDM-0.1,0.3905021517237597,0.6249017136508426,0.0,300
1.5,0.25,7,MLE,2.464879074315082,1.5699933357549904,0.69,300
1.5,0.25,7,WMLE,0.5174824139416926,0.7193625052375837,0.0,300
1.5,0.25,10,LRE,0.3301388095490527,0.5745770701559998,0.0,300
1.5,0.25,10,LSE,0.37467596396987557,0.6121078042059875,0.0,300
1.5,0.25,10,MDM-0.1,0.3127316859550108,0.5592241821979901,0.0,300
1.5,0.25,10,MLE,1.9817343458691665,1.4077408660222825,0.5633333333333334,300
1.5,0.25,10,WMLE,0.4122244621479962,0.6420470871735158,0.0,300
1.5,0.25,15,LRE,0.20342179756704512,0.45102305658030956,0.0,300
1.5,0.25,15,LSE,0.21432632264779186,0.46295390985258117,0.0,300
1.5,0.25,15,MDM-0.1,0.18391970481899658,0.4288586070245024,0.0,300
1.5,0.25,15,MLE,1.4491897563933365,1.2038229755214578,0.44,300
1.5,0.25,15,WMLE,0.317492242812351,0.5634645000462327,0.0,300
1.5,0.25,20,LRE,0.1600111191914034,0.40001389874778526,0.0,300
1.5,0.25,20,LSE,0.16081791086164413,0.40102108530804725,0.0,300
1.5,0.25,20,MDM-0.1,0.1431585150202066,0.37836294086525785,0.0,300
1.5,0.25,20,MLE,1.0995634627637674,1.0486007165569589,0.33666666666666667,300
1.5,0.25,20,WMLE,0.2721823375361915,0.5217109712630082,0.0,300
1.5,0.5,7,LRE,0.752284743436488,0.8673434979501996,0.0,300
1.5,0.5,7,LSE,0.8651331490357566,0.9301253404975894,0.0,300
1.5,0.5,7,MDM-0.1,0.5873231420646053,0.766370107757737,0.0,300
1.5,0.5,7,MLE,3.0033379000386495,1.7330141084361228,0.6966666666666667,300
1.5,0.5,7,WMLE,1.234849619638718,1.1112378771616445,0.0,300
1.5,0.5,10,LRE,0.5129457086878272,0.7162022819621752,0.0,300
1.5,0.5,10,LSE,0.5259251153346675,0.7252069465570965,0.0,300
1.5,0.5,10,MDM-0.1,0.3626350283144694,0.6021918534109121,0.0,300
1.5,0.5,10,MLE,2.3257018200600363,1.52502518669694,0.6166666666666667,300
1.5,0.5,10,WMLE,0.9652880488992283,0.982490737309634,0.0,300
1.5,0.5,15,LRE,0.31542985151432196,0.5616314196288541,0.0,300
1.5,0.5,15,LSE,0.3208252854984146,0.5664144114501454,0.0,300
1.5,0.5,15,MDM-0.1,0.2265248045615914,0.4759462202408917,0.0,300
1.5,0.5,15,MLE,1.369869844290696,1.1704143899878778,0.39,300
1.5,0.5,15,WMLE,0.8954477268256053,0.9462809978149225,0.0,300
1.5,0.5,20,LRE,0.20852458187369527,0.4566449188085807,0.0,300
1.5,0.5,20,LSE,0.20141547848057614,0.4487933583293943,0.0,300
1.5,0.5,20,MDM-0.1,0.15900874333451798,0.3987590040795543,0.0,300
1.5,0.5,20,MLE,1.1317749205437277,1.0638491060971607,0.33666666666666667,300
1.5,0.5,20,WMLE,0.863895891007352,0.9294599996811869,0.0,300
1.5,0.75,7,LRE,1.4146071233871758,1.1893725755149964,0.0,300
1.5,0.75,7,LSE,1.683501679342861,1.2974982386665737,0.0,300
1.5,0.75,7,MDM-0.1,0.8413381937565529,0.917244893011977,0.0,300
1.5,0.75,7,MLE,4.299774819098371,2.0735898386851654,0.6266666666666667,300
1.5,0.75,7,WMLE,1.9883894061031768,1.4101026225431883,0.0,300
1.5,0.75,10,LRE,0.7011082773839832,0.8373220870035516,0.0,300
1.5,0.75,10,LSE,0.7284074164562527,0.8534678766399195,0.0,300
1.5,0.75,10,MDM-0.1,0.35533252169704616,0.5960977450863627,0.0,300
1.5,0.75,10,MLE,2.400086410620972,1.5492212271399368,0.61,300
1.5,0.75,10,WMLE,1.672226993540885,1.293146160934983,0.0,300
1.5,0.75,15,LRE,0.41044381445923844,0.6406588908766024,0.0,300
1.5,0.75,15,LSE,0.39886967361804543,0.6315612983852363,0.0,300
1.5,0.75,15,MDM-0.1,0.23010349714159256,0.4796910434244031,0.0,300
1.5,0.75,15,MLE,1.6237135733616666,1.2742502004558078,0.42,300
1.5,0.75,15,WMLE,1.6067401398145598,1.267572538285111,0.0,300
1.5,0.75,20,LRE,0.24130267472752706,0.4912256861438814,0.0,300
1.5,0.75,20,LSE,0.2281579827455442,0.4776588560317334,0.0,300
1.5,0.75,20,MDM-0.1,0.16532371121431177,0.40660018594967684,0.0,300
1.5,0.75,20,MLE,1.0425788384654797,1.0210674994658677,0.30333333333333334,300
1.5,0.75,20,WMLE,1.633404843602753,1.2780472775303553,0.0,300
1.5,1.0,7,LRE,1.5025751954637092,1.2257957396987922,0.0,300
1.5,1.0,7,LSE,1.5877676495823678,1.2600665258558248,0.0,300
1.5,1.0,7,MDM-0.1,0.5186544103568266,0.7201766521880771,0.0,300
1.5,1.0,7,MLE,3.84580090301569,1.9610713661199812,0.66,300
1.5,1.0,7,WMLE,2.6126494992895135,1.6163692335878934,0.0,300
1.5,1.0,10,LRE,0.8222709627531042,0.9067915762473228,0.0,300
1.5,1.0,10,LSE,0.8015925352116653,0.8953170026374263,0.0,300
1.5,1.0,10,MDM-0.1,0.33759600169155396,0.5810301211568587,0.0,300
1.5,1.0,10,MLE,2.589646764624498,1.609237945309673,0.6366666666666667,300
1.5,1.0,10,WMLE,2.739318177327051,1.655088570840561,0.0,300
1.5,1.0,15,LRE,0.5012655763693372,0.7080011132543064,0.0,300
1.5,1.0,15,LSE,0.47491001738942146,0.6891371542656959,0.0,300
1.5,1.0,15,MDM-0.1,0.25165282303247466,0.5016501002017987,0.0,300
1.5,1.0,15,MLE,1.5279268635369196,1.2360933878703986,0.36333333333333334,300
1.5,1.0,15,WMLE,2.2438276531280428,1.4979411380718681,0.0,300
1.5,1.0,20,LRE,0.2648302123629604,0.5146165682942596,0.0,300
1.5,1.0,20,LSE,0.24761805312660448,0.49761235226489753,0.0,300
1.5,1.0,20,MDM-0.1,0.15387554347070834,0.392269733054576,0.0,300
1.5,1.0,20,MLE,1.1978454273297752,1.094461249807308,0.33,300
1.5,1.0,20,WMLE,2.407649486795178,1.5516602356170561,0.0,300
2.0,0.1,7,LRE,0.4107651695327854,0.6409096422529352,0.0,300
2.0,0.1,7,LSE,0.428246841301262,0.6544057161281998,0.0,300
2.0,0.1,7,MDM-0.1,0.3129137125471248,0.5593869077366084,0.0,300
2.0,0.1,7,MLE,1.920564047514548,1.3858441642242998,0.56,300
2.0,0.1,7,WMLE,0.24173604662505524,0.49166660108762245,0.0,300
2.0,0.1,10,LRE,0.28645784752908343,0.5352175702731399,0.0,300
2.0,0.1,10,LSE,0.30152834014810137,0.5491159623869091,0.0,300
2.0,0.1,10,MDM-0.1,0.24545847519506608,0.49543766025108155,0.0,300
2.0,0.1,10,MLE,1.4460060627973967,1.202499922161077,0.4266666666666667,300
2.0,0.1,10,WMLE,0.16626915320441987,0.40776114724728235,0.0,300
2.0,0.1,15,LRE,0.17644110261550303,0.4200489288350859,0.0,300
2.0,0.1,15,LSE,0.18988000683716474,0.43575223101800037,0.0,300
2.0,0.1,15,MDM-0.1,0.15045963836671358,0.3878912713206029,0.0,300
2.0,0.1,15,MLE,0.7315742374350263,0.8553211311753184,0.18666666666666668,300
2.0,0.1,15,WMLE,0.12738362912468904,0.3569084324090551,0.0,300
2.0,0.1,20,LRE,0.14623549216469636,0.3824074949117713,0.0,300
2.0,0.1,20,LSE,0.15461250656065825,0.39320796858743623,0.0,300
2.0,0.1,20,MDM-0.1,0.12688898159339682,0.3562147969882734,0.0,300
2.0,0.1,20,MLE,0.5340526606323415,0.7307890671269935,0.13,300
2.0,0.1,20,WMLE,0.09866732653870457,0.314113556757273,0.0,300
2.0,0.25,7,LRE,0.47435072306175025,0.6887312415316662,0.0,300
2.0,0.25,7,LSE,0.5374591856655274,0.7331160792572534,0.0,300
2.0,0.25,7,MDM-0.1,0.4138691148352479,0.6433266004412128,0.0,300
2.0,0.25,7,MLE,2.079900001249415,1.4421858414397968,0.5466666666666666,300
2.0,0.25,7,WMLE,0.40846906876136313,0.6391158492490725,0.0,300
2.0,0.25,10,LRE,0.3500275888010316,0.591631294643067,0.0,300
2.0,0.25,10,LSE,0.39627420317199225,0.6295031399222661,0.0,300
2.0,0.25,10,MDM-0.1,0.266044546254477,0.5157950622625976,0.0,300
2.0,0.25,10,MLE,1.5888279255629694,1.260487177865356,0.43333333333333335,300
2.0,0.25,10,WMLE,0.26612629196760995,0.515874298611212,0.0,300
2.0,0.25,15,LRE,0.26534014453475474,0.5151117786798849,0.0,300
2.0,0.25,15,LSE,0.2911577699672516,0.5395903723819131,0.0,300
2.0,0.25,15,MDM-0.1,0.19969961797179706,0.44687763198866537,0.0,300
2.0,0.25,15,MLE,0.8361573351321293,0.91441639045466,0.2,300
2.0,0.25,15,WMLE,0.22804019174539567,0.4775355397720631,0.0,300
2.0,0.25,20,LRE,0.19326034677808823,0.4396138609940412,0.0,300
2.0,0.25,20,LSE,0.2027280470763549,0.4502533143424431,0.0,300
2.0,0.25,20,MDM-0.1,0.15104650456772872,0.38864701795810647,0.0,300
2.0,0.25,20,MLE,0.5098331526949444,0.7140260168193764,0.11333333333333333,300
2.0,0.25,20,WMLE,0.1625593886178833,0.4031865432003941,0.0,300
2.0,0.5,7,LRE,0.8168692096890418,0.9038081708465806,0.0,300
2.0,0.5,7,LSE,0.9494683820465069,0.9744066820617082,0.0,300
2.0,0.5,7,MDM-0.1,0.5182292813761266,0.7198814356379296,0.0,300
2.0,0.5,7,MLE,2.881116491055512,1.6973851923047731,0.58,300
2.0,0.5,7,WMLE,0.6980577418292142,0.8354984989987799,0.0,300
2.0,0.5,10,LRE,0.5842533144564891,0.7643646475710981,0.0,300
2.0,0.5,10,LSE,0.6449570460899872,0.8030921778289135,0.0,300
2.0,0.5,10,MDM-0.1,0.3354593141519663,0.5791884962186027,0.0,300
2.0,0.5,10,MLE,1.7569065061456186,1.32548349900918,0.4033333333333333,300
2.0,0.5,10,WMLE,0.6430532900554893,0.8019060356771791,0.0,300
2.0,0.5,15,LRE,0.38377414909894886,0.6194950759279276,0.0,300
2.0,0.5,15,LSE,0.3985932838841039,0.6313424458121788,0.0,300
