selector,information,n_samples,mean_loss,J1,relative_J1_improvement_vs_fixed,oracle_MSE_space_recovered,selected_failure_rate,MDM_share,WMLE_share,LSE_share
Fixed,none,48000,0.3974157593593665,0.6304091999323665,0.0,0.0,0.0,1.0,0.0,0.0
n,observable n,48000,0.3974157593593665,0.6304091999323665,0.0,0.0,0.0,1.0,0.0,0.0
beta,true beta (oracle),48000,0.3620296607984499,0.6016890067123131,0.04555801727375608,0.2444320439570462,0.0,0.5,0.5,0.0
beta+n,true beta + observable n (oracle),48000,0.3593381351455469,0.5994481922114262,0.04911255693010519,0.2630239527420552,0.0,0.5625,0.4375,0.0
cell,true beta + true gamma/eta + n (oracle),48000,0.3506307544752271,0.5921408231791042,0.06070402645990569,0.3231708166607886,0.0,0.465,0.5,0.035
sample_hindsight,realized sample loss (hindsight),48000,0.2526471030569425,0.5026401327559733,0.20267640001145437,1.0,0.0,0.366375,0.3544791666666667,0.2791458333333333
