selected_method,train_mean_loss,selector,fold,n,beta,gamma_over_eta
MDM-0.1,0.3991871759136144,Fixed,0,,,
MDM-0.1,0.39625111557948295,Fixed,1,,,
MDM-0.1,0.39670548879418066,Fixed,2,,,
MDM-0.1,0.4000460497086539,Fixed,3,,,
MDM-0.1,0.39488896680090063,Fixed,4,,,
MDM-0.1,0.5854136889338084,n,0,7.0,,
MDM-0.1,0.43359273732488496,n,0,10.0,,
MDM-0.1,0.3228990392543008,n,0,15.0,,
MDM-0.1,0.2548432381414635,n,0,20.0,,
MDM-0.1,0.5783033715679091,n,1,7.0,,
MDM-0.1,0.43018798679236414,n,1,10.0,,
MDM-0.1,0.3198353953930676,n,1,15.0,,
MDM-0.1,0.2566777085645909,n,1,20.0,,
MDM-0.1,0.5794602641175014,n,2,7.0,,
MDM-0.1,0.43576491945956414,n,2,10.0,,
MDM-0.1,0.31524235106885995,n,2,15.0,,
MDM-0.1,0.25635442053079716,n,2,20.0,,
MDM-0.1,0.5908381431064722,n,3,7.0,,
MDM-0.1,0.4332012688177482,n,3,10.0,,
MDM-0.1,0.3201849014510428,n,3,15.0,,
MDM-0.1,0.2559598854593524,n,3,20.0,,
MDM-0.1,0.5791851402363649,n,4,7.0,,
MDM-0.1,0.42639833754546835,n,4,10.0,,
MDM-0.1,0.3184538714775729,n,4,15.0,,
MDM-0.1,0.2555185179441964,n,4,20.0,,
MDM-0.1,0.30592292137784105,beta,0,,1.5,
MDM-0.1,0.2745237617447003,beta,0,,2.0,
MDM-0.1,0.2818276227737188,beta,0,,2.5,
MDM-0.1,0.3281597004809788,beta,0,,3.0,
WMLE,0.3482657106424902,beta,0,,3.5,
WMLE,0.40043762389302034,beta,0,,4.0,
WMLE,0.4483370014370945,beta,0,,4.5,
WMLE,0.5145083875070541,beta,0,,5.0,
MDM-0.1,0.29725587260087993,beta,1,,1.5,
MDM-0.1,0.2726466571868183,beta,1,,2.0,
MDM-0.1,0.2759193183741307,beta,1,,2.5,
MDM-0.1,0.32745743824745327,beta,1,,3.0,
WMLE,0.35168523834498433,beta,1,,3.5,
WMLE,0.4003235695736276,beta,1,,4.0,
WMLE,0.4484205702881624,beta,1,,4.5,
WMLE,0.5156385837902369,beta,1,,5.0,
MDM-0.1,0.2865473799337375,beta,2,,1.5,
