beta,gamma_over_eta,n,fold_mode_winner,fold_agreement,fold_winners,full_winner,best_mean_loss,second_mean_loss,relative_margin_vs_second
1.5,0.1,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.2848411916508988,0.32649434742869216,0.06596411117881629
1.5,0.1,10.0,MDM-0.1,0.8,"{""MDM-0.1"": 4, ""WMLE"": 1}",MDM-0.1,0.20536949226935272,0.21478361712729196,0.022160923210759353
1.5,0.1,15.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.14296394802376056,0.14976487993798623,0.02296915397352428
1.5,0.1,20.0,WMLE,0.6,"{""MDM-0.1"": 2, ""WMLE"": 3}",MDM-0.1,0.10496947389187557,0.10617682207284299,0.0057018096466403545
1.5,0.25,7.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.3905021517237597,0.5043668952372964,0.12008964433915781
1.5,0.25,10.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.3127316859550108,0.37467596396987557,0.08639592837179544
1.5,0.25,15.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.18391970481899658,0.21432632264779186,0.07364729426075223
1.5,0.25,20.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.1431585150202066,0.16081791086164413,0.05650112992284284
1.5,0.5,7.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.5873231420646053,0.8651331490357566,0.1760571673622484
1.5,0.5,10.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.3626350283144694,0.5259251153346675,0.16962757145418395
1.5,0.5,15.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.2265248045615914,0.3208252854984146,0.15972084992971003
1.5,0.5,20.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.15900874333451798,0.20141547848057614,0.111486396403213
1.5,0.75,7.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.8413381937565529,1.683501679342861,0.29306656018691746
1.5,0.75,10.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.35533252169704616,0.7284074164562527,0.30155807687433567
1.5,0.75,15.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.23010349714159256,0.39886967361804543,0.24046795671161625
1.5,0.75,20.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.16532371121431177,0.2281579827455442,0.14876447737700016
1.5,1.0,7.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.5186544103568266,1.5877676495823678,0.42846140468739125
1.5,1.0,10.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.33759600169155396,0.8015925352116653,0.35103419297828675
1.5,1.0,15.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.25165282303247466,0.47491001738942146,0.27206058025368307
1.5,1.0,20.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.15387554347070834,0.24761805312660448,0.21169615008721432
2.0,0.1,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.24173604662505524,0.3129137125471248,0.12106165824115533
2.0,0.1,10.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.16626915320441987,0.24545847519506608,0.17696780046830884
2.0,0.1,15.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.12738362912468904,0.15045963836671358,0.07987506087998475
2.0,0.1,20.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.09866732653870457,0.12688898159339682,0.11819059900643702
2.0,0.25,7.0,WMLE,0.8,"{""MDM-0.1"": 1, ""WMLE"": 4}",WMLE,0.40846906876136313,0.4138691148352479,0.006545277607443056
2.0,0.25,10.0,MDM-0.1,0.6,"{""MDM-0.1"": 3, ""WMLE"": 2}",MDM-0.1,0.266044546254477,0.26612629196760995,0.00015359623231414599
2.0,0.25,15.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.19969961797179706,0.22804019174539567,0.06420026412700364
2.0,0.25,20.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.15104650456772872,0.1625593886178833,0.03606153401568557
2.0,0.5,7.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.5182292813761266,0.6980577418292142,0.13838093485434155
2.0,0.5,10.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.3354593141519663,0.6430532900554893,0.27773520780461514
2.0,0.5,15.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.22726544074178875,0.3985932838841039,0.24490479684104138
2.0,0.5,20.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.16588234072615082,0.31782796165069593,0.27755627010317263
2.0,0.75,7.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.43596384999391613,1.144907715196243,0.3829220918754014
2.0,0.75,10.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.3137020500785321,0.9035954543889962,0.41078789620687584
