beta,gamma_over_eta,n,fold_mode_winner,fold_agreement,fold_winners,full_winner,best_mean_loss,second_mean_loss,relative_margin_vs_second
2.0,0.75,15.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.24817781889720622,0.6453522859494288,0.3798695521225691
2.0,0.75,20.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.1604797297673087,0.4039170335541573,0.3696757610782859
2.0,1.0,7.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.44810039364077037,1.5705231382183291,0.46584721986440625
2.0,1.0,10.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.2922161136478038,1.0880601388581765,0.48176632500432126
2.0,1.0,15.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.2296012204956131,0.6859296995050175,0.42144148140197335
2.0,1.0,20.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.1769017679628685,0.49465120548879166,0.4019788404434491
2.5,0.1,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.2199525918558196,0.4510370771772441,0.301673665679268
2.5,0.1,10.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.14868799982731704,0.2742835256679777,0.26372831671801855
2.5,0.1,15.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.13586267830540494,0.20688641902255184,0.1896286199539201
2.5,0.1,20.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.1098298832648761,0.14997895660684168,0.14425356799713773
2.5,0.25,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.3119058264636159,0.43397968513744484,0.1522319531702011
2.5,0.25,10.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.26445314987669083,0.3162718424597511,0.08558338667820942
2.5,0.25,15.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.21031701431919284,0.2206452484368055,0.02368510699978843
2.5,0.25,20.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.15608645038950883,0.1697461119191415,0.0410793205548845
2.5,0.5,7.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.38543297091146916,0.4733835018963226,0.09766485658028778
2.5,0.5,10.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.329929879891739,0.44484357212750003,0.1387937663400396
2.5,0.5,15.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.22393596065079824,0.3293643231524588,0.17543738026882494
2.5,0.5,20.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.17209775322464774,0.263539916495955,0.19190131829336887
2.5,0.75,7.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.5015274815416945,0.7519445393237691,0.18331521845309273
2.5,0.75,10.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.34741638724371976,0.6649456220516459,0.2771767983361907
2.5,0.75,15.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.2107220068235687,0.4498356684141722,0.31557163077183237
2.5,0.75,20.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.1789512875785351,0.3833959048380508,0.31680657371645704
2.5,1.0,7.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.39589253415722236,0.8194259899917183,0.30492160655049005
2.5,1.0,10.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.3192105210716406,0.7599148383403952,0.351878936182934
2.5,1.0,15.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.2233840783546415,0.601091415947228,0.39038471888289217
2.5,1.0,20.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.1703741045045884,0.4414950832440767,0.37878940040807274
3.0,0.1,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.2715963168045176,0.46754584025335455,0.2378335293417787
3.0,0.1,10.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.227297036238483,0.3340086784631608,0.17506826550448307
3.0,0.1,15.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.18298439051467935,0.23678783723033386,0.12092217190753773
3.0,0.1,20.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.18409687109063305,0.20494981545444008,0.052237681514443524
3.0,0.25,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.3228583421421745,0.4687650966595008,0.17009501660720383
3.0,0.25,10.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.29627074990594815,0.36201005079309373,0.0953427371488701
3.0,0.25,15.0,WMLE,0.8,"{""MDM-0.1"": 1, ""WMLE"": 4}",WMLE,0.23770945891189915,0.24593253747848426,0.016860293829036754
3.0,0.25,20.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.19221422774488497,0.20997273410587405,0.043221706484487865
3.0,0.5,7.0,WMLE,0.8,"{""MDM-0.1"": 1, ""WMLE"": 4}",WMLE,0.4699166288755424,0.5109604036438882,0.0410040265587287
3.0,0.5,10.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.3397949776169165,0.4017857981950306,0.08037411537531713
3.0,0.5,15.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.2919606291134357,0.3296348355848392,0.05887871740836148
3.0,0.5,20.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.21262805634934437,0.293484089400692,0.148826677106349
3.0,0.75,7.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.4896542896593911,0.5813831899196337,0.08227292079374293
3.0,0.75,10.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.3569800323897206,0.47369752740536003,0.13189670749244486
3.0,0.75,15.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.26577844418900576,0.37774612246850814,0.16119720312219188
3.0,0.75,20.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.2069272815963823,0.3062672008436902,0.17802495699589072
3.0,1.0,7.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.5314923350607031,0.7025264971315861,0.13020451636069919
3.0,1.0,10.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.35044647066102985,0.467779905553532,0.1344541780352807
3.0,1.0,15.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.2722802822831716,0.404863856536397,0.17992496292922278
3.0,1.0,20.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.21093082309325356,0.37124986998422066,0.24623343651696006
3.5,0.1,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.3214351859448427,0.5343962474813903,0.2244407042097487
3.5,0.1,10.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.32186528339260906,0.4194688988093242,0.12403413044512723
3.5,0.1,15.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.2444761502877567,0.2643271130686337,0.03828277913782463
3.5,0.1,20.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.21957114828735325,0.24099243513418184,0.04547802424740388
3.5,0.25,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.35934789246768173,0.5455261411581678,0.18838555520767697
3.5,0.25,10.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.34097087468457044,0.41658396754898513,0.09529421804021732
3.5,0.25,15.0,WMLE,0.6,"{""MDM-0.1"": 2, ""WMLE"": 3}",WMLE,0.2931331087853813,0.29785824316600146,0.007963560099051525
3.5,0.25,20.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.2347917320428032,0.2512752667752445,0.033356069392777465
3.5,0.5,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.4260462908318336,0.5761533090728818,0.14007739785278428
3.5,0.5,10.0,MDM-0.1,0.8,"{""MDM-0.1"": 4, ""WMLE"": 1}",MDM-0.1,0.3923606523647322,0.4013356811551843,0.011244670165297621
3.5,0.5,15.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.32545632067551644,0.35369770228011854,0.04075347203251778
3.5,0.5,20.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.25185599698410954,0.30452890133637933,0.09058546671810108
3.5,0.75,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.4815875625968469,0.5562488241511574,0.0695284939416444
3.5,0.75,10.0,MDM-0.1,0.8,"{""MDM-0.1"": 4, ""WMLE"": 1}",MDM-0.1,0.38980636112055067,0.4001859561537228,0.013053663948079386
3.5,0.75,15.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.29549683198314153,0.33471883841442746,0.06041443345874231
3.5,0.75,20.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.23668355674539773,0.2956963998794214,0.10533381082010718
3.5,1.0,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.5180825313369217,0.5711923940496891,0.04762438588263973
3.5,1.0,10.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.4132696584885359,0.4536008980728057,0.045491483262683596
3.5,1.0,15.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.29651511842327966,0.3557140436916262,0.08699550642335296
3.5,1.0,20.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.2713626646463598,0.31966428744501313,0.07864289858009732
4.0,0.1,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.41221377686339683,0.6572177390267462,0.20803386227574938
4.0,0.1,10.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.40748722100473583,0.49075297986339383,0.08877521447987446
4.0,0.1,15.0,WMLE,0.8,"{""LSE"": 1, ""WMLE"": 4}",WMLE,0.33744386195587645,0.3670673498153128,0.04120030265731589
4.0,0.1,20.0,LSE,0.6,"{""LSE"": 3, ""WMLE"": 2}",WMLE,0.2851848960746526,0.28552076783452557,0.0005883470335137364
4.0,0.25,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.41866585906240883,0.7558805793022007,0.2557699874124364
4.0,0.25,10.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.42484768442101656,0.5206605627792164,0.09668486675504628
4.0,0.25,15.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.3481545689207639,0.3704122666768216,0.03050992097574079
4.0,0.25,20.0,WMLE,0.8,"{""MDM-0.1"": 1, ""WMLE"": 4}",WMLE,0.3370749024397552,0.3398479111696086,0.00408813540714259
4.0,0.5,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.47261504843188445,0.6331131136645598,0.13600124172126749
4.0,0.5,10.0,WMLE,0.8,"{""MDM-0.1"": 1, ""WMLE"": 4}",WMLE,0.48190427066510155,0.5076626430037571,0.02569981661253562
4.0,0.5,15.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.3677549421245511,0.39361355415173854,0.03340568532963306
4.0,0.5,20.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.29105579274682936,0.31427027787614437,0.037642425576930316
4.0,0.75,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.5182559187756702,0.6561837076608792,0.11129133668068858
4.0,0.75,10.0,WMLE,0.6,"{""MDM-0.1"": 2, ""WMLE"": 3}",MDM-0.1,0.4724858081434159,0.47348424430099983,0.001054906341492079
4.0,0.75,15.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.3802383654577097,0.3993267004408262,0.024193307535531616
4.0,0.75,20.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.3001140317174805,0.3283428571824454,0.04395273357476137
4.0,1.0,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.568244218225089,0.6328812848607049,0.05244072674472511
4.0,1.0,10.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.4728561648121859,0.5378690432011908,0.06238131585929663
4.0,1.0,15.0,WMLE,0.8,"{""MDM-0.1"": 1, ""WMLE"": 4}",WMLE,0.3642541625973798,0.3737078522046374,0.012729523149398014
4.0,1.0,20.0,MDM-0.1,1.0,"{""MDM-0.1"": 5}",MDM-0.1,0.2799406110030382,0.3017772314834363,0.03685933857407919
4.5,0.1,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.4856707751941975,0.6727251827810893,0.15032636438557445
4.5,0.1,10.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.44902672874564964,0.534445631127359,0.0833905483757128
4.5,0.1,15.0,LSE,1.0,"{""LSE"": 5}",LSE,0.36533114853555787,0.38991059005167317,0.03203236677276333
4.5,0.1,20.0,LSE,1.0,"{""LSE"": 5}",LSE,0.2990745626200477,0.3506524802717694,0.07646941964430887
4.5,0.25,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.5094735380261664,0.7252085859208265,0.16183533652643534
4.5,0.25,10.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.5074548184583779,0.5629074336618484,0.05053229272755411
4.5,0.25,15.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.38809458537931735,0.41999831767925627,0.03873082419481755
4.5,0.25,20.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.3436279870910188,0.3544773215932154,0.015422206586835907
4.5,0.5,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.5505319690239107,0.7657202637649753,0.15207741826082888
4.5,0.5,10.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.5049055555862861,0.612675246124901,0.09220056581070157
4.5,0.5,15.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.4189607071542077,0.4718522352190495,0.057712047325769844
4.5,0.5,20.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.3500280433567542,0.37367890095843853,0.03216319902628373
4.5,0.75,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.5571965037108215,0.7382523110020743,0.13123606498745388
4.5,0.75,10.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.49340594356253614,0.570850246650828,0.07030372297678866
4.5,0.75,15.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.43758647097187187,0.4768688275815084,0.04207286378964048
4.5,0.75,20.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.3841618717663207,0.39979783782620226,0.019749869367630346
4.5,1.0,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.5446398765277733,0.7314647209859433,0.13710485500842784
4.5,1.0,10.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.522954802091154,0.5810840739031816,0.05133562627722388
4.5,1.0,15.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.4094309663828372,0.4282661307753368,0.02223727142464138
4.5,1.0,20.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.3483013611768719,0.357605603468938,0.013094820637018167
5.0,0.1,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.5791803810153756,0.7061938074047561,0.09438216111203834
5.0,0.1,10.0,LSE,0.8,"{""LSE"": 4, ""WMLE"": 1}",LSE,0.5486055826758982,0.5669072558967677,0.016274105183178622
5.0,0.1,15.0,LSE,1.0,"{""LSE"": 5}",LSE,0.48098543148144673,0.5004633355234319,0.019652991173861323
5.0,0.1,20.0,LSE,1.0,"{""LSE"": 5}",LSE,0.3163477131813177,0.34837869931571824,0.0470797565962382
5.0,0.25,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.5590795032483555,0.8307623197261862,0.1796514965735888
5.0,0.25,10.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.6197066154056728,0.7397830132508637,0.08474757404125233
5.0,0.25,15.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.4802981192229058,0.5204798182402545,0.03937586038623453
5.0,0.25,20.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.38389778236274985,0.39573173714191195,0.015065475317289745
5.0,0.5,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.613889871560726,0.8225706865321695,0.13610965618996695
5.0,0.5,10.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.5393337752756066,0.6560953865807422,0.09333820196297282
5.0,0.5,15.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.4653945023726424,0.5537185687040778,0.0832179942211827
5.0,0.5,20.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.4209067088729046,0.4710004468512442,0.05467255973700136
5.0,0.75,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.6463089030169595,0.8323824255408278,0.11883220095096492
5.0,0.75,10.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.5639464033890772,0.6926017066282958,0.09764560706730119
5.0,0.75,15.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.4966048779920726,0.5424560460214068,0.04319549039823534
5.0,0.75,20.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.4270479643126928,0.45158177619873147,0.027543632715965383
5.0,1.0,7.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.5769209042513417,0.7700289288130931,0.13442517394705222
5.0,1.0,10.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.6140157108106643,0.6969120016299294,0.061356299195839736
5.0,1.0,15.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.46468190826339667,0.49797376422481837,0.034005506456244894
5.0,1.0,20.0,WMLE,1.0,"{""WMLE"": 5}",WMLE,0.4530724205875567,0.49279955141986753,0.04115444036340665
