method,avg_mean_loss,total_valid,n_configs,J_param,valid_rate
oracle,0.33725411378681613,22500,45,0.5807358382146017,100.0
lmom,0.3820785602322306,4733,30,0.6181250360826931,21.035555555555554
default,,22500,45,0.6353299953337774,100.0
wmle,0.4582854068479972,22500,45,0.6769678034057434,100.0
dual,0.474515470091893,22500,45,0.688850832976119,100.0
mdm0,0.4813236345847406,22500,45,0.6937749163703892,100.0
