beta,n,gamma_eta,rep,method,loss_i
1.5,7,0.1,20,lmom,0.33957268985700007
1.5,7,0.1,20,wmle,0.33765576817
1.5,7,0.1,21,oracle,0.05897095914000001
1.5,7,0.1,21,mdm0,0.05706370776799999
1.5,7,0.1,21,dual,0.05706370776799999
1.5,7,0.1,21,lmom,0.057263810185444436
1.5,7,0.1,21,wmle,0.05897095914000001
1.5,7,0.1,22,oracle,0.04679109756099996
1.5,7,0.1,22,mdm0,0.04679109756099996
1.5,7,0.1,22,dual,0.04679109756099996
1.5,7,0.1,22,wmle,0.04679109756099996
1.5,7,0.1,23,oracle,0.07981664124800003
1.5,7,0.1,23,mdm0,0.47927239451477793
1.5,7,0.1,23,dual,0.47927239451477793
1.5,7,0.1,23,wmle,0.21824569263699997
1.5,7,0.1,24,oracle,0.23165138355077783
1.5,7,0.1,24,mdm0,0.23165138355077783
1.5,7,0.1,24,dual,0.23165138355077783
1.5,7,0.1,24,lmom,0.23165138355077783
1.5,7,0.1,24,wmle,0.22072466442677777
1.5,7,0.1,25,oracle,0.1361991475414445
1.5,7,0.1,25,mdm0,0.1361991475414445
1.5,7,0.1,25,dual,0.1361991475414445
1.5,7,0.1,25,lmom,0.1361991475414445
1.5,7,0.1,25,wmle,0.1361991475414445
1.5,7,0.1,26,oracle,0.044402466604999975
1.5,7,0.1,26,mdm0,0.0460788951937778
1.5,7,0.1,26,dual,0.04526476532900003
1.5,7,0.1,26,lmom,0.044402466604999975
1.5,7,0.1,26,wmle,0.044402466604999975
1.5,7,0.1,27,oracle,0.3278029853937778
1.5,7,0.1,27,mdm0,0.3278029853937778
1.5,7,0.1,27,dual,0.3278029853937778
1.5,7,0.1,27,lmom,0.3278029853937778
1.5,7,0.1,27,wmle,0.3009798374534444
1.5,7,0.1,28,oracle,0.4637420253587778
1.5,7,0.1,28,mdm0,0.4637420253587778
1.5,7,0.1,28,dual,0.4637420253587778
1.5,7,0.1,28,lmom,0.4637420253587778
1.5,7,0.1,28,wmle,0.4637420253587778
1.5,7,0.1,29,oracle,0.3710536919044444
1.5,7,0.1,29,mdm0,0.3710536919044444
1.5,7,0.1,29,dual,0.3710536919044444
1.5,7,0.1,29,lmom,0.3710536919044444
1.5,7,0.1,29,wmle,0.3710536919044444
1.5,7,0.1,30,oracle,0.0017289603364444457
1.5,7,0.1,30,mdm0,0.007693271997777778
1.5,7,0.1,30,dual,0.007693271997777778
1.5,7,0.1,30,wmle,0.028152126017777782
1.5,7,0.1,31,oracle,0.5299527740579999
1.5,7,0.1,31,mdm0,0.5299527740579999
1.5,7,0.1,31,dual,0.5299527740579999
1.5,7,0.1,31,lmom,0.5299527740579999
1.5,7,0.1,31,wmle,0.5299527740579999
1.5,7,0.1,32,oracle,0.126519677717
1.5,7,0.1,32,mdm0,0.126519677717
1.5,7,0.1,32,dual,0.126519677717
1.5,7,0.1,32,lmom,0.126519677717
1.5,7,0.1,32,wmle,0.126519677717
1.5,7,0.1,33,oracle,0.03212003048277777
1.5,7,0.1,33,mdm0,0.11210119159844445
1.5,7,0.1,33,dual,0.11210119159844445
1.5,7,0.1,33,lmom,0.13555890420100003
1.5,7,0.1,33,wmle,0.03640562934177776
1.5,7,0.1,34,oracle,0.0718352962307778
1.5,7,0.1,34,mdm0,0.07233648301000004
1.5,7,0.1,34,dual,0.07233648301000004
1.5,7,0.1,34,lmom,0.0718352962307778
1.5,7,0.1,34,wmle,0.0718352962307778
