delta,RMSE_x95
0.0,0.14003111491332662
0.02,0.14006011821954656
0.04,0.13997340717402584
0.06,0.14002514915553815
0.08,0.14017775431205096
0.1,0.1404740868346868
0.12,0.14081708193440265
0.14,0.14124977887825169
0.16,0.1417146173181468
0.18,0.14230080252837543
0.2,0.1429679577036605
0.22,0.14370525744715362
0.24,0.14437618690615034
0.26,0.14508886160115153
0.28,0.1457450950867874
0.3,0.1465207804917655
0.32,0.14754150892982265
0.34,0.14854009764855436
0.36,0.14939272222344435
0.38,0.15036560874998425
0.4,0.15139766722989895
0.42,0.15231621997769637
0.44,0.1532316231977815
0.46,0.1541971532985024
0.48,0.1552056527369173
0.5,0.15609231499625217
