Level,RMSE_x95,vs_Default
Default,0.1406837632200039,0.0
L0,0.13973296604066965,-0.6758400241592705
L1,0.13971369172657483,-0.689540478038001
L2,0.13964829114675364,-0.736028131143292
L3,0.13959908602500348,-0.7710038245878967
L4,0.1381980048384655,-1.7669120619492624
L5,0.12209273108375217,-13.21476744063117
