delta,RMSE_x95
0.0,0.14917279441781028
0.02,0.1496548125360546
0.04,0.14978747024713665
0.06,0.14995922452442292
0.08,0.15022161189812022
0.1,0.1505454084642212
0.12,0.151290504481001
0.14,0.1520615374868497
0.16,0.15267725217991196
0.18,0.15329577001341968
0.2,0.15425118422931147
0.22,0.155047516815714
0.24,0.15571966630199935
0.26,0.15652547211815948
0.28,0.15738716313777695
0.3,0.15867927018768402
0.32,0.1595510104828322
0.34,0.1603982520087761
0.36,0.1617192005803518
0.38,0.16249310001168413
0.4,0.16346838096231603
0.42,0.16428887151844573
0.44,0.16524103749194358
0.46,0.1661915413156572
0.48,0.16758148669227027
0.5,0.16870967928120603
