n,rep,method,beta_hat,eta_hat,gamma_hat,converged,sample_min,gamma_zero,gamma_near_zero
5,0,mdm,2.296649612001584,1004.5183149101813,415.3512685098041,True,816.497269249066,0,0
5,0,mle,2.0057663273851496,706.4373423180871,664.4202507902269,True,816.497269249066,0,0
5,0,lse,3.146734612681335,1309.8959297077222,123.51281185495911,True,816.497269249066,0,0
5,1,mdm,2.0574569264434457,657.2481658128752,274.2489471101094,True,498.0519363722559,0,0
5,1,mle,,,,False,498.0519363722559,0,0
5,1,lse,1.7651027316597847,659.2227013694118,285.5225862352085,True,498.0519363722559,0,0
5,2,mdm,1.756610209299105,1191.5347338348824,0.0,True,359.7849295262264,1,1
5,2,mle,,,,False,359.7849295262264,0,0
5,2,lse,1.6834717431089983,1199.764197393793,0.00014169885902039849,True,359.7849295262264,0,1
5,3,mdm,2.0455041979846533,748.1013948880575,0.0,True,238.786405842484,1,1
5,3,mle,1.7244526784221854,557.18884898295,152.3871459990506,True,238.786405842484,0,0
5,3,lse,1.7532772983391025,769.2108743260877,9.404440953660322e-05,True,238.786405842484,0,1
5,4,mdm,1.3725292092213888,492.22483485358646,324.03772516872004,True,443.7874188082057,0,0
5,4,mle,,,,False,443.7874188082057,0,0
5,4,lse,0.9745554836136611,423.1897213967951,385.0989441097844,True,443.7874188082057,0,0
5,5,mdm,2.2492683069762105,831.3729124031228,543.9021758867017,True,870.5468333146455,0,0
5,5,mle,2.2356081343844694,634.4648984846466,704.9393136761755,True,870.5468333146455,0,0
5,5,lse,3.663478459181281,1239.5177561467274,149.0990719779236,True,870.5468333146455,0,0
5,6,mdm,0.636296987977612,307.6331047798218,552.568588150564,True,567.5788785532343,0,0
5,6,mle,,,,False,567.5788785532343,0,0
5,6,lse,0.37998163279096214,259.43197075208695,566.1004033784518,True,567.5788785532343,0,0
5,7,mdm,1.6611901235237396,984.468942624651,159.15316883171968,True,428.29283561089795,0,0
5,7,mle,,,,False,428.29283561089795,0,0
