delta,RMSE_x95
0.0,0.1346359932971197
0.02,0.13511586708278198
0.04,0.13503301204765739
0.06,0.13496425185899658
0.08,0.1350530737596675
0.1,0.13521377029943077
0.12,0.13556841489166394
0.14,0.13608331148138125
0.16,0.13654955283755862
0.18,0.13720472982780899
0.2,0.13795591430931112
0.22,0.13867838721337764
0.24,0.13911244579053286
0.26,0.1401033481249968
0.28,0.14095312412893132
0.3,0.1416503699279874
0.32,0.14249628230190556
0.34,0.14324695513264687
0.36,0.1440569251200755
0.38,0.1451591282103043
0.4,0.14593640126134919
0.42,0.14682412157802244
0.44,0.14773267997814318
0.46,0.14841823850827005
0.48,0.1490350973830032
0.5,0.14977161217642773
