beta,n,gamma_ratio,J_param_default,J_param_iterated,mean_final_delta,n_samples,converged_rate,improvement
1.5,7,0.1,0.5304929148162667,0.5439476545946555,0.26452,500,1.0,-2.536271343614235
1.5,7,0.5,0.6628934195696715,0.6918703695593769,0.2512,500,1.0,-4.371283397037827
1.5,7,1.0,0.7371663805391738,0.8374421023275287,0.25188,500,1.0,-13.602861502583963
1.5,10,0.1,0.4728240165004791,0.4772300353175118,0.36984,500,1.0,-0.931851738336606
1.5,10,0.5,0.6387149084066405,0.6037573171390904,0.35359999999999997,500,1.0,5.473113404344423
1.5,10,1.0,0.5905891498589948,0.5855372617863165,0.36563999999999997,500,1.0,0.8553980502155294
1.5,20,0.1,0.3453779994882592,0.33429366513179665,0.45264,500,1.0,3.2093342288408726
1.5,20,0.5,0.41029480008855235,0.3637535068337416,0.45380000000000004,500,1.0,11.343378771743131
1.5,20,1.0,0.41513706584189836,0.37592733023513586,0.45180000000000003,500,1.0,9.445009572259012
2.0,7,0.1,0.5916093291337232,0.651565902422816,0.23568,500,1.0,-10.134487462678365
2.0,7,0.5,0.624827529274818,0.7302590367109185,0.22696,500,1.0,-16.87369753993803
2.0,7,1.0,0.6811054023159466,0.8957232400340573,0.22296000000000002,500,1.0,-31.510223966562407
2.0,10,0.1,0.47243543958586137,0.5235133367425772,0.33015999999999995,500,1.0,-10.8116142179111
2.0,10,0.5,0.5520964371009516,0.5843596494481361,0.32039999999999996,500,1.0,-5.843763911355431
2.0,10,1.0,0.5722231591973995,0.654464721177551,0.32515999999999995,500,1.0,-14.372288268706823
2.0,20,0.1,0.35342141336531235,0.3906302325801781,0.38616,500,1.0,-10.52817339519975
2.0,20,0.5,0.4132631969904313,0.42551073040390885,0.37076,500,1.0,-2.963615802875653
2.0,20,1.0,0.4135279762212546,0.44897962582741047,0.365,500,1.0,-8.57297490005556
2.5,7,0.1,0.6126911057843097,0.6692795757294633,0.21816,500,1.0,-9.236052133107805
2.5,7,0.5,0.6612695628481403,0.7758528318321799,0.20492,500,1.0,-17.327770008122013
2.5,7,1.0,0.6585225666660945,0.8544396834686147,0.21144,500,1.0,-29.751010325187586
2.5,10,0.1,0.5094666824941335,0.5799403975846903,0.28108,500,1.0,-13.832840794524042
2.5,10,0.5,0.5738855020449353,0.6548402875767432,0.28192,500,1.0,-14.106435036839308
2.5,10,1.0,0.5757093491077006,0.6879194887868774,0.28916,500,1.0,-19.490762109924525
2.5,20,0.1,0.40180851188184713,0.461716682420905,0.31588,500,1.0,-14.90963201811764
2.5,20,0.5,0.4323193496078374,0.517025081870768,0.30624,500,1.0,-19.593324319110003
2.5,20,1.0,0.4087546037600952,0.49127832386346343,0.2968,500,1.0,-20.189061932083526
4.0,7,0.1,0.8167309259799641,0.8539180575235855,0.18380000000000002,500,1.0,-4.553168046012461
4.0,7,0.5,0.7983974249876358,0.8793167613199225,0.17944,500,1.0,-10.135220104641483
4.0,7,1.0,0.8024535155181233,0.9601041696679871,0.17643999999999999,500,1.0,-19.646079318136316
4.0,10,0.1,0.7088711808469422,0.7765587678535905,0.2376,500,1.0,-9.548644215691873
4.0,10,0.5,0.6955197206775154,0.7862408280402295,0.22884000000000002,500,1.0,-13.043642712868214
4.0,10,1.0,0.7086357424849811,0.7890054761595893,0.22444,500,1.0,-11.341473320661859
4.0,20,0.1,0.5474361375934923,0.6100351046585741,0.20328,500,1.0,-11.43493510316371
4.0,20,0.5,0.5519097748860375,0.6514657679680542,0.2018,500,1.0,-18.03845440182206
4.0,20,1.0,0.5747112069160291,0.6719779325332355,0.22124000000000002,500,1.0,-16.924452567951754
5.0,7,0.1,0.9107788085895241,0.9260968466301103,0.17024,500,1.0,-1.6818614899822306
5.0,7,0.5,0.9288993451986496,0.967957334336092,0.17264,500,1.0,-4.204760110912735
5.0,7,1.0,0.9361303507143717,1.0057492635719378,0.17552,500,1.0,-7.436882353449942
5.0,10,0.1,0.8262715052316886,0.8698631263848904,0.21647999999999998,500,1.0,-5.275701857947844
5.0,10,0.5,0.8126112990825826,0.8626529007590739,0.20643999999999998,500,1.0,-6.158122799053741
5.0,10,1.0,0.786963364441611,0.8483196911292257,0.19688,500,1.0,-7.796592504804849
5.0,20,0.1,0.6721774578505431,0.7093769003216842,0.1768,500,1.0,-5.534169888721909
5.0,20,0.5,0.67536496253032,0.7307055762975516,0.17887999999999998,500,1.0,-8.194178975452429
5.0,20,1.0,0.6636656808563122,0.7166391093864836,0.17396,500,1.0,-7.981944834305886
