beta,n,gamma_eta,method,jparam,n_valid
2.5,20,0.5,wmle,0.5453480137520468,500
2.5,20,0.5,mdm0,0.6361961944962035,500
2.5,20,0.5,dual,0.5386427357629534,500
2.5,20,1.0,oracle,0.3905931497395925,500
2.5,20,1.0,lmom,0.5475251711506239,9
2.5,20,1.0,wmle,0.5841212355497051,500
2.5,20,1.0,mdm0,0.9504656312441505,500
2.5,20,1.0,dual,0.5685517623038644,500
4.0,7,0.1,oracle,0.7332581211262571,500
4.0,7,0.1,lmom,1.0719142096196703,6
4.0,7,0.1,wmle,0.8331280210277787,500
4.0,7,0.1,mdm0,0.7639395772188554,500
4.0,7,0.1,dual,0.8183104106464264,500
4.0,7,0.5,oracle,0.7514703586529079,500
4.0,7,0.5,lmom,,0
4.0,7,0.5,wmle,0.8528010223779903,500
4.0,7,0.5,mdm0,0.8058137511327461,500
4.0,7,0.5,dual,0.8446296785354865,500
4.0,7,1.0,oracle,0.766309850821934,500
4.0,7,1.0,lmom,,0
4.0,7,1.0,wmle,0.9100800972862823,500
4.0,7,1.0,mdm0,0.9150737604057095,500
4.0,7,1.0,dual,0.9339347907801734,500
4.0,10,0.1,oracle,0.6345082218482646,500
4.0,10,0.1,lmom,0.846399197033109,6
4.0,10,0.1,wmle,0.747180985204678,500
4.0,10,0.1,mdm0,0.6735910531705388,500
4.0,10,0.1,dual,0.7228979020438958,500
4.0,10,0.5,oracle,0.6866490158088256,500
4.0,10,0.5,lmom,,0
4.0,10,0.5,wmle,0.7813424931798095,500
4.0,10,0.5,mdm0,0.718956017095846,500
4.0,10,0.5,dual,0.7597524769179113,500
4.0,10,1.0,oracle,0.689568986178133,500
4.0,10,1.0,lmom,,0
4.0,10,1.0,wmle,0.7857036492475039,500
4.0,10,1.0,mdm0,0.7239638019285858,500
4.0,10,1.0,dual,0.766769345939086,500
4.0,20,0.1,oracle,0.5063034755935915,500
4.0,20,0.1,lmom,0.8158922393344819,13
4.0,20,0.1,wmle,0.5878244147028043,500
4.0,20,0.1,mdm0,0.5414861215357655,500
4.0,20,0.1,dual,0.5788432281350036,500
4.0,20,0.5,oracle,0.5350625075057629,500
4.0,20,0.5,lmom,,0
4.0,20,0.5,wmle,0.7220965835744884,500
4.0,20,0.5,mdm0,0.8274374661395669,500
4.0,20,0.5,dual,0.7007532433220344,500
4.0,20,1.0,oracle,0.5530979124494604,500
4.0,20,1.0,lmom,,0
4.0,20,1.0,wmle,0.9366633194110336,500
4.0,20,1.0,mdm0,1.2325513286064793,500
4.0,20,1.0,dual,0.935411587646977,500
