rank,method,jparam,deployable,note
1,L5 Oracle (per-sample),0.38719622376566604,X,upper bound
2,"L4 by (b,n,g/eta)",0.5531316569573738,X,needs all true params
3,L3 Oracle (true beta),0.583775266061322,X,needs true beta
4,L-moments + table,0.5928231352490633,N,"-3.8%, 21.0% valid"
5,L1 by n,0.6066210496213581,Y,n is known
6,Self-iterate,0.6155467426230905,N,-0.1%
7,Default delta=0.1,0.6162212483750457,Y,"zero cost, RECOMMENDED"
8,WMLE + table,0.6834771977108611,N,+10.9%
9,Dual-delta + table,0.6962952446142238,N,+13.0%
10,MDM d=0 + table,0.7353318616717838,N,+19.3%
