beta,n,gamma_eta,delta,mean_loss,RMSE_x95,n_valid
1.5,7,0.5,0.08,0.034900799227514455,0.18681755599384778,500
1.5,7,0.5,0.1,0.03507165675443758,0.18727428214903824,500
1.5,7,0.5,0.12,0.03521830015861509,0.18766539414238068,500
1.5,7,0.5,0.14,0.03536256335689489,0.18804936414913742,500
1.5,7,0.5,0.16,0.035523516965156224,0.18847683402783544,500
1.5,7,0.5,0.18,0.03568111039699964,0.188894442472508,500
1.5,7,0.5,0.2,0.035841995577416866,0.18931982351940027,500
1.5,7,0.5,0.22,0.03600844956632563,0.1897589248660669,500
1.5,7,0.5,0.24,0.036184226788824866,0.19022152030941417,500
1.5,7,0.5,0.26,0.03656579238328066,0.19122184075905307,500
1.5,7,0.5,0.28,0.036736608203057436,0.19166796342387904,500
1.5,7,0.5,0.3,0.036907450898713785,0.19211312005876585,500
1.5,7,0.5,0.32,0.03708524343716052,0.19257529290425737,500
1.5,7,0.5,0.34,0.03746104763680069,0.19354856661003897,500
1.5,7,0.5,0.36,0.03801643709338721,0.19497804259297305,500
1.5,7,0.5,0.38,0.03820496888576102,0.1954609139591878,500
1.5,7,0.5,0.4,0.03882760352073184,0.19704721140054696,500
1.5,7,0.5,0.42,0.038993388392310036,0.19746743628332758,500
1.5,7,0.5,0.44,0.039252496333827915,0.1981224276396489,500
1.5,7,0.5,0.46,0.03969833088425121,0.1992443998817814,500
1.5,7,0.5,0.48,0.0402651404637095,0.20066175635558833,500
1.5,7,0.5,0.5,0.040448403340389724,0.20111788418832802,500
1.5,7,1.0,0.0,0.03886561641271402,0.19714364410934992,500
1.5,7,1.0,0.02,0.03716614187089972,0.19278522212788957,500
1.5,7,1.0,0.04,0.0364258676046439,0.19085561978795357,500
1.5,7,1.0,0.06,0.03607302511233139,0.18992900018778436,500
1.5,7,1.0,0.08,0.03589448794399501,0.18945840689712085,500
1.5,7,1.0,0.1,0.03585304153227692,0.18934899400914945,500
1.5,7,1.0,0.12,0.0358820188749796,0.18942549689780305,500
1.5,7,1.0,0.14,0.03596996760678285,0.18965750079230415,500
1.5,7,1.0,0.16,0.036103319881170944,0.19000873632854606,500
1.5,7,1.0,0.18,0.03626746365885614,0.19044018393935705,500
1.5,7,1.0,0.2,0.0364566549923622,0.19093625897760277,500
1.5,7,1.0,0.22,0.03666880375031838,0.1914910017476497,500
1.5,7,1.0,0.24,0.03787850524737867,0.19462400994578924,500
1.5,7,1.0,0.26,0.039162525852040476,0.1978952395891333,500
1.5,7,1.0,0.28,0.03937504133734681,0.1984314524901403,500
1.5,7,1.0,0.3,0.04030471053851084,0.20076033108786914,500
1.5,7,1.0,0.32,0.040640382121000074,0.20159459844202193,500
1.5,7,1.0,0.34,0.041589948499492504,0.20393613828719154,500
1.5,7,1.0,0.36,0.04180015352703625,0.2044508584649041,500
1.5,7,1.0,0.38,0.042023358064994944,0.20499599524135817,500
1.5,7,1.0,0.4,0.04240327907277586,0.20592056495837383,500
1.5,7,1.0,0.42,0.043827093171153186,0.20934921344765828,500
1.5,7,1.0,0.44,0.04435883597261981,0.210615374492509,500
1.5,7,1.0,0.46,0.04520819958682699,0.21262219918631964,500
1.5,7,1.0,0.48,0.04539314725969321,0.2130566761678526,500
1.5,7,1.0,0.5,0.045817686086426244,0.2140506624293096,500
1.5,10,0.1,0.0,0.019542780318525785,0.1397954946288534,500
1.5,10,0.1,0.02,0.019802904971514285,0.14072279478291455,500
1.5,10,0.1,0.04,0.020050019764536603,0.14159809237605075,500
1.5,10,0.1,0.06,0.02026565555881939,0.14235749210638474,500
1.5,10,0.1,0.08,0.020465814171917087,0.14305877873069198,500
1.5,10,0.1,0.1,0.02066321749933415,0.14374706083720165,500
1.5,10,0.1,0.12,0.02085711857115284,0.14441993827430075,500
1.5,10,0.1,0.14,0.0210523576845332,0.14509430617544303,500
1.5,10,0.1,0.16,0.021238180231714796,0.1457332502612729,500
1.5,10,0.1,0.18,0.021409693862676327,0.14632051757247283,500
1.5,10,0.1,0.2,0.02157463654424271,0.14688307099268694,500
1.5,10,0.1,0.22,0.021733992118727764,0.1474245302476076,500
1.5,10,0.1,0.24,0.021895452154415664,0.14797111932541318,500
1.5,10,0.1,0.26,0.02205593019221189,0.14851239070263428,500
1.5,10,0.1,0.28,0.022223642522493692,0.1490759622558033,500
1.5,10,0.1,0.3,0.022406044250048426,0.14968648653117764,500
1.5,10,0.1,0.32,0.022590657939310105,0.15030188934045408,500
1.5,10,0.1,0.34,0.022782368058456706,0.15093829222055186,500
1.5,10,0.1,0.36,0.022982361628332802,0.1515993457384721,500
1.5,10,0.1,0.38,0.023340875781777747,0.15277720962819602,500
1.5,10,0.1,0.4,0.023999366151600466,0.1549172880978765,500
1.5,10,0.1,0.42,0.024183543895782294,0.1555105909440971,500
1.5,10,0.1,0.44,0.02446417927533394,0.15641029146233934,500
1.5,10,0.1,0.46,0.025229446283406134,0.15883779866079148,500
1.5,10,0.1,0.48,0.025393261526263023,0.15935263263047467,500
1.5,10,0.1,0.5,0.025833782092116862,0.1607289087006966,500
1.5,10,0.5,0.0,0.019684506650504363,0.14030148484782462,500
1.5,10,0.5,0.02,0.01979748212884189,0.14070352564467561,500
1.5,10,0.5,0.04,0.019853696068508928,0.14090314428183967,500
1.5,10,0.5,0.06,0.019947517840747518,0.14123568189642274,500
1.5,10,0.5,0.08,0.020048792144150313,0.14159375743354757,500
1.5,10,0.5,0.1,0.020153712545052518,0.14196377194570634,500
1.5,10,0.5,0.12,0.020268162991416653,0.1423662986504062,500
1.5,10,0.5,0.14,0.02038777083038962,0.14278575149639275,500
1.5,10,0.5,0.16,0.020518246025737315,0.14324191434680464,500
1.5,10,0.5,0.18,0.02065994366019727,0.14373567288671685,500
1.5,10,0.5,0.2,0.020811529628035546,0.1442620172742484,500
1.5,10,0.5,0.22,0.02097380337166631,0.1448233523008852,500
1.5,10,0.5,0.24,0.02115033554622455,0.14543154934959798,500
1.5,10,0.5,0.26,0.021408408259340587,0.146316124399673,500
1.5,10,0.5,0.28,0.02158780723442846,0.14692789808075407,500
1.5,10,0.5,0.3,0.02179014427808233,0.14761485114338033,500
1.5,10,0.5,0.32,0.022131284308624932,0.1487658707789691,500
1.5,10,0.5,0.34,0.022404676636865985,0.14968191820278756,500
1.5,10,0.5,0.36,0.02259322085468582,0.15031041499073117,500
1.5,10,0.5,0.38,0.02285357934901765,0.15117400354894903,500
1.5,10,0.5,0.4,0.023069019559857015,0.15188488917551018,500
1.5,10,0.5,0.42,0.023440831517647715,0.15310398922839247,500
1.5,10,0.5,0.44,0.023938074265244302,0.15471934030768197,500
1.5,10,0.5,0.46,0.024115374147827804,0.15529125586403056,500
1.5,10,0.5,0.48,0.024320265300204806,0.15594956011545785,500
1.5,10,0.5,0.5,0.02469664755139601,0.15715167053326545,500
1.5,10,1.0,0.0,0.01984605558167989,0.140876029123765,500
1.5,10,1.0,0.02,0.018942425941687158,0.13763148601133085,500
1.5,10,1.0,0.04,0.01866461592357398,0.13661850505540596,500
1.5,10,1.0,0.06,0.0185678277520004,0.13626381673797489,500
1.5,10,1.0,0.08,0.01855786012999653,0.13622723710769638,500
1.5,10,1.0,0.1,0.018599859852869282,0.13638130316458075,500
1.5,10,1.0,0.12,0.018670276348633823,0.13663921965758521,500
1.5,10,1.0,0.14,0.018758002027900962,0.13695985553402487,500
1.5,10,1.0,0.16,0.018857340521975442,0.1373220321797469,500
1.5,10,1.0,0.18,0.018965385663015692,0.1377148708855209,500
1.5,10,1.0,0.2,0.019080880601846144,0.13813356073686853,500
1.5,10,1.0,0.22,0.019203839834860837,0.13857791972338465,500
1.5,10,1.0,0.24,0.019336150868185395,0.13905448884586716,500
1.5,10,1.0,0.26,0.019484910706948903,0.1395883616457651,500
1.5,10,1.0,0.28,0.019776535352800956,0.14062907008439243,500
1.5,10,1.0,0.3,0.01989137345142836,0.14103678049157375,500
1.5,10,1.0,0.32,0.02001081643810071,0.14145959295184157,500
1.5,10,1.0,0.34,0.020136353895880983,0.14190262117339827,500
1.5,10,1.0,0.36,0.02037972857919876,0.14275758676581346,500
1.5,10,1.0,0.38,0.020510454434097974,0.14321471444686812,500
1.5,10,1.0,0.4,0.020857055516524357,0.14441971997107722,500
1.5,10,1.0,0.42,0.020989061001185274,0.14487601941379144,500
1.5,10,1.0,0.44,0.021249655567666167,0.1457726159731867,500
1.5,10,1.0,0.46,0.021637444015249436,0.14709671653456252,500
1.5,10,1.0,0.48,0.021818059636502313,0.14770937558768,500
1.5,10,1.0,0.5,0.02233535609507407,0.14945017930760093,500
1.5,20,0.1,0.0,0.0070548486856977346,0.08399314665910389,500
1.5,20,0.1,0.02,0.007141688987546447,0.08450851429025626,500
1.5,20,0.1,0.04,0.0072144928655694185,0.08493817083955492,500
1.5,20,0.1,0.06,0.007270544097898656,0.08526748558447503,500
1.5,20,0.1,0.08,0.007318514074740716,0.08554831427176526,500
1.5,20,0.1,0.1,0.007366471447680295,0.08582815067144518,500
1.5,20,0.1,0.12,0.007411518201855854,0.08609017482765298,500
1.5,20,0.1,0.14,0.007457056544022386,0.086354250295063,500
1.5,20,0.1,0.16,0.007501635420627317,0.08661198196916704,500
1.5,20,0.1,0.18,0.007545108178329895,0.0868625821532488,500
1.5,20,0.1,0.2,0.007589225685127795,0.08711616202018886,500
1.5,20,0.1,0.22,0.007632516233481785,0.0873642732098298,500
1.5,20,0.1,0.24,0.007674888453018866,0.0876064407051152,500
1.5,20,0.1,0.26,0.007725769794504921,0.08789635825507744,500
1.5,20,0.1,0.28,0.007779891190028318,0.08820369147619797,500
1.5,20,0.1,0.3,0.007834165085086766,0.08851081902844853,500
1.5,20,0.1,0.32,0.007890581949043197,0.08882894769748878,500
1.5,20,0.1,0.34,0.007948362402641922,0.08915358883770144,500
1.5,20,0.1,0.36,0.008009131417596644,0.08949375071811799,500
1.5,20,0.1,0.38,0.008059221612390031,0.08977316755239302,500
1.5,20,0.1,0.4,0.008103371554842191,0.09001872891150037,500
1.5,20,0.1,0.42,0.008148629174312713,0.09026975780577187,500
1.5,20,0.1,0.44,0.008194765383173834,0.09052494343093419,500
1.5,20,0.1,0.46,0.008243663912914524,0.09079462491202067,500
1.5,20,0.1,0.48,0.0082946702937408,0.09107508053106952,500
1.5,20,0.1,0.5,0.008348386906839068,0.09136950753308824,500
1.5,20,0.5,0.0,0.0063523710899051865,0.07970176340524208,500
1.5,20,0.5,0.02,0.006360090584391249,0.0797501760774937,500
1.5,20,0.5,0.04,0.00637647384704685,0.079852826168188,500
1.5,20,0.5,0.06,0.006395888764797728,0.07997430065213279,500
1.5,20,0.5,0.08,0.0064197971678748725,0.08012363676141313,500
1.5,20,0.5,0.1,0.006449142153705188,0.08030655112570324,500
1.5,20,0.5,0.12,0.0064815845485314645,0.0805082886945901,500
1.5,20,0.5,0.14,0.006515077190574433,0.08071602808968262,500
1.5,20,0.5,0.16,0.0065491823534071444,0.08092701868601823,500
1.5,20,0.5,0.18,0.006583703924708393,0.08114002664966528,500
1.5,20,0.5,0.2,0.006618554843245511,0.08135450106322029,500
1.5,20,0.5,0.22,0.0066537222661122875,0.08157035163656147,500
1.5,20,0.5,0.24,0.0066892304363875025,0.08178771568143656,500
1.5,20,0.5,0.26,0.006725128056786282,0.08200687810657276,500
1.5,20,0.5,0.28,0.0067614914088834546,0.08222828837379174,500
1.5,20,0.5,0.3,0.006798387196907023,0.08245233287728748,500
1.5,20,0.5,0.32,0.006835930641708567,0.08267968699570993,500
1.5,20,0.5,0.34,0.006874242849303327,0.08291105384267726,500
1.5,20,0.5,0.36,0.006913455557853464,0.0831471921224852,500
1.5,20,0.5,0.38,0.0069537387255966384,0.08338908037385134,500
1.5,20,0.5,0.4,0.0069953040271672744,0.08363793413976264,500
1.5,20,0.5,0.42,0.007038422964972394,0.08389530955287307,500
1.5,20,0.5,0.44,0.007083460527874833,0.08416329679780155,500
1.5,20,0.5,0.46,0.0071278801451713615,0.08442677386452334,500
1.5,20,0.5,0.48,0.007167280874219449,0.0846597949100956,500
1.5,20,0.5,0.5,0.007205221845257615,0.084883578183637,500
1.5,20,1.0,0.0,0.007761295535275061,0.0880982152786029,500
1.5,20,1.0,0.02,0.007636494429802615,0.08738703811093848,500
1.5,20,1.0,0.04,0.007629765852791104,0.08734853091375439,500
1.5,20,1.0,0.06,0.007648714006932825,0.08745692658064783,500
1.5,20,1.0,0.08,0.007675867805214598,0.08761203002564544,500
1.5,20,1.0,0.1,0.007706272329479801,0.0877853765127188,500
1.5,20,1.0,0.12,0.00773809607728558,0.08796644858857029,500
1.5,20,1.0,0.14,0.007770554126527756,0.08815074660221407,500
1.5,20,1.0,0.16,0.007803271528461668,0.0883361281043134,500
1.5,20,1.0,0.18,0.007836101650125582,0.08852175806052194,500
1.5,20,1.0,0.2,0.00786896226745699,0.08870717145449397,500
1.5,20,1.0,0.22,0.007901853525032886,0.08889237045457211,500
1.5,20,1.0,0.24,0.00793479046922272,0.0890774408547008,500
1.5,20,1.0,0.26,0.007967806981614022,0.08926257324105115,500
1.5,20,1.0,0.28,0.008000966522967324,0.08944812196445112,500
1.5,20,1.0,0.3,0.008034305657825938,0.08963428840475021,500
1.5,20,1.0,0.32,0.008067913961047436,0.0898215673490918,500
1.5,20,1.0,0.34,0.008101850576530319,0.09001028039357682,500
1.5,20,1.0,0.36,0.00813620065169002,0.09020089052603648,500
1.5,20,1.0,0.38,0.008171057065804822,0.09039389949440627,500
1.5,20,1.0,0.4,0.008206507432940104,0.09058977554304957,500
1.5,20,1.0,0.42,0.008242679418227143,0.09078920320295329,500
1.5,20,1.0,0.44,0.008279716378199938,0.09099294685963269,500
1.5,20,1.0,0.46,0.008317780935222443,0.09120186914324971,500
1.5,20,1.0,0.48,0.008357072920282843,0.09141702751830669,500
1.5,20,1.0,0.5,0.008397897896949223,0.09164004526924473,500
2.0,7,0.1,0.0,0.03555607585130817,0.18856318795382138,500
2.0,7,0.1,0.02,0.03680905701068098,0.19185686594615525,500
2.0,7,0.1,0.04,0.03744184767964232,0.19349896040971984,500
2.0,7,0.1,0.06,0.037996996152859806,0.19492818203856466,500
2.0,7,0.1,0.08,0.03851005701408798,0.19623979467500463,500
2.0,7,0.1,0.1,0.0389642492107706,0.19739364024904804,500
2.0,7,0.1,0.12,0.039380976867002246,0.19844640804761937,500
2.0,7,0.1,0.14,0.03977846149028444,0.1994453847304681,500
2.0,7,0.1,0.16,0.04052264267152604,0.20130236628397105,500
2.0,7,0.1,0.18,0.04120268521211386,0.20298444573935673,500
2.0,7,0.1,0.2,0.04156832396185614,0.20388311347891502,500
2.0,7,0.1,0.22,0.04193124889835925,0.20477121110732155,500
2.0,7,0.1,0.24,0.04229714975529132,0.2056627087132991,500
2.0,7,0.1,0.26,0.04324607435487982,0.20795690504255882,500
2.0,7,0.1,0.28,0.0437924366212328,0.20926642497360345,500
2.0,7,0.1,0.3,0.04510512476078253,0.21237967125123472,500
2.0,7,0.1,0.32,0.04603612670153823,0.21456031017300992,500
2.0,7,0.1,0.34,0.046660060987531976,0.21600940022955478,500
2.0,7,0.1,0.36,0.047899544726876506,0.21885964618192297,500
2.0,7,0.1,0.38,0.048632200993476024,0.22052709809335455,500
2.0,7,0.1,0.4,0.04912832443939567,0.22164910204960378,500
2.0,7,0.1,0.42,0.04970256387620041,0.22294071830018045,500
2.0,7,0.1,0.44,0.05006683381232402,0.22375619279100192,500
2.0,7,0.1,0.46,0.050515274502648075,0.2247560332953224,500
2.0,7,0.1,0.48,0.05204432741016396,0.22813225859172998,500
2.0,7,0.1,0.5,0.052770282164449615,0.2297178316205549,500
2.0,7,0.5,0.0,0.032685926207304074,0.18079249488655239,500
2.0,7,0.5,0.02,0.03320381018061335,0.1822191268243083,500
2.0,7,0.5,0.04,0.033495113654707365,0.18301670321232258,500
2.0,7,0.5,0.06,0.033665245114907254,0.18348091212686746,500
2.0,7,0.5,0.08,0.0338099915726492,0.18387493459590734,500
2.0,7,0.5,0.1,0.03398701556791613,0.1843556767987255,500
2.0,7,0.5,0.12,0.03416245774760726,0.18483088959264157,500
2.0,7,0.5,0.14,0.03502150833470498,0.18714034395262016,500
2.0,7,0.5,0.16,0.03543698700403023,0.18824714341532578,500
2.0,7,0.5,0.18,0.035598767383745254,0.18867635618631512,500
2.0,7,0.5,0.2,0.036916688552045426,0.19213716077855794,500
2.0,7,0.5,0.22,0.03728612669091176,0.1930961591821851,500
2.0,7,0.5,0.24,0.03743957306368334,0.19349308272825502,500
2.0,7,0.5,0.26,0.037607257147826985,0.1939259063349376,500
2.0,7,0.5,0.28,0.03796289669587511,0.1948406956872078,500
2.0,7,0.5,0.3,0.038573104631300245,0.1964003682056127,500
2.0,7,0.5,0.32,0.03883367232880032,0.19706261017453391,500
2.0,7,0.5,0.34,0.03901837689054879,0.19753069860289765,500
2.0,7,0.5,0.36,0.039790214163431786,0.19947484594161688,500
2.0,7,0.5,0.38,0.04029066757300995,0.20072535358795596,500
2.0,7,0.5,0.4,0.04055144930889638,0.2013739042400886,500
2.0,7,0.5,0.42,0.04105795333312601,0.20262762233497683,500
2.0,7,0.5,0.44,0.04122274593578954,0.20303385416178638,500
2.0,7,0.5,0.46,0.04236229302380875,0.20582102182189443,500
2.0,7,0.5,0.48,0.04308844467470825,0.2075775630329739,500
2.0,7,0.5,0.5,0.043974846602705085,0.20970180400441263,500
2.0,7,1.0,0.0,0.0382738761763505,0.19563710327121106,500
2.0,7,1.0,0.02,0.037954125125784235,0.19481818479234486,500
2.0,7,1.0,0.04,0.03724775082975393,0.19299676378052025,500
2.0,7,1.0,0.06,0.03669215199214052,0.1915519563777424,500
2.0,7,1.0,0.08,0.03635194122884578,0.19066185048101725,500
2.0,7,1.0,0.1,0.03616996146136269,0.19018401999474796,500
2.0,7,1.0,0.12,0.03714428494466036,0.19272852654617678,500
2.0,7,1.0,0.14,0.0375003834959223,0.19365015749005293,500
2.0,7,1.0,0.16,0.037496791866150646,0.19364088376722166,500
2.0,7,1.0,0.18,0.03779569301739823,0.19441114427264253,500
2.0,7,1.0,0.2,0.037850275279271775,0.19455147205629614,500
2.0,7,1.0,0.22,0.038401838815651554,0.1959638711999014,500
2.0,7,1.0,0.24,0.03875649202062718,0.1968666859085792,500
2.0,7,1.0,0.26,0.03909483274189365,0.1977241329274038,500
2.0,7,1.0,0.28,0.03979601591560356,0.1994893879774149,500
2.0,7,1.0,0.3,0.04081364136486524,0.2020238633549642,500
2.0,7,1.0,0.32,0.04092241143390303,0.20229288527751793,500
2.0,7,1.0,0.34,0.04132857041824979,0.203294295095189,500
2.0,7,1.0,0.36,0.04194339462635765,0.20480086578517595,500
2.0,7,1.0,0.38,0.04209524670244024,0.20517126188245818,500
2.0,7,1.0,0.4,0.04276781301340177,0.2068038031889205,500
2.0,7,1.0,0.42,0.043076707976873366,0.20754929047547566,500
2.0,7,1.0,0.44,0.04430928363592014,0.21049770458586986,500
2.0,7,1.0,0.46,0.04439461866848636,0.21070030533553188,500
2.0,7,1.0,0.48,0.04484048417344021,0.2117557181599595,500
2.0,7,1.0,0.5,0.04533243572262386,0.21291415106240322,500
2.0,10,0.1,0.0,0.019477797128352355,0.13956287876205606,500
2.0,10,0.1,0.02,0.02005134576160358,0.1416027745547508,500
2.0,10,0.1,0.04,0.0204334105758444,0.14294548113124947,500
2.0,10,0.1,0.06,0.020734965858479018,0.14399640918605927,500
2.0,10,0.1,0.08,0.020997929317937366,0.14490662275388716,500
2.0,10,0.1,0.1,0.02124208084870338,0.14574663237517146,500
2.0,10,0.1,0.12,0.021468256711895985,0.14652049928899363,500
2.0,10,0.1,0.14,0.02168920493594704,0.14727255323361185,500
2.0,10,0.1,0.16,0.021912391812415218,0.14802834800272283,500
2.0,10,0.1,0.18,0.022132395813133525,0.14876960648309023,500
2.0,10,0.1,0.2,0.022668347129889476,0.1505601113505482,500
2.0,10,0.1,0.22,0.022887478210850694,0.1512860806910229,500
2.0,10,0.1,0.24,0.02325860691579808,0.15250772739700136,500
2.0,10,0.1,0.26,0.023456436133857443,0.15315494159137485,500
2.0,10,0.1,0.28,0.023656482093818293,0.15380663865327235,500
2.0,10,0.1,0.3,0.023925745938254445,0.15467949423971636,500
2.0,10,0.1,0.32,0.024599574739919663,0.15684251572810118,500
2.0,10,0.1,0.34,0.024852336962367737,0.1576462399246101,500
2.0,10,0.1,0.36,0.02503787200785039,0.15823359949091215,500
2.0,10,0.1,0.38,0.025320581929208365,0.15912442279300926,500
2.0,10,0.1,0.4,0.025558073435746394,0.15986892579781223,500
2.0,10,0.1,0.42,0.025792817294426087,0.16060142369987288,500
2.0,10,0.1,0.44,0.02613541930025374,0.1616645270312994,500
2.0,10,0.1,0.46,0.02641043702156245,0.1625128826326161,500
2.0,10,0.1,0.48,0.026767067160332083,0.1636064398498179,500
2.0,10,0.1,0.5,0.027267348761974685,0.1651282797160277,500
2.0,10,0.5,0.0,0.020504143873684426,0.14319268093615828,500
2.0,10,0.5,0.02,0.020606737702421225,0.14355047092371806,500
2.0,10,0.5,0.04,0.020620630540897838,0.1435988528536974,500
2.0,10,0.5,0.06,0.020626285901471163,0.14361854302795013,500
2.0,10,0.5,0.08,0.02064776350226456,0.14369329665041636,500
2.0,10,0.5,0.1,0.020661713634163234,0.14374182979969063,500
2.0,10,0.5,0.12,0.020685072748045638,0.14382306055721955,500
2.0,10,0.5,0.14,0.020723067830749453,0.1439550896312786,500
2.0,10,0.5,0.16,0.02077844035278806,0.14414728701154267,500
2.0,10,0.5,0.18,0.02085026603821269,0.1443962119939879,500
2.0,10,0.5,0.2,0.02093538433949669,0.14469065049095842,500
2.0,10,0.5,0.22,0.021036050607215945,0.14503810053643126,500
2.0,10,0.5,0.24,0.021356812317252907,0.14613970137253227,500
2.0,10,0.5,0.26,0.021631933362727833,0.1470779839497667,500
2.0,10,0.5,0.28,0.02171609537021773,0.1473638197462923,500
2.0,10,0.5,0.3,0.021807091028181996,0.1476722419013878,500
2.0,10,0.5,0.32,0.021906033234804032,0.14800686887710324,500
2.0,10,0.5,0.34,0.022148923539197875,0.14882514417664064,500
2.0,10,0.5,0.36,0.022442785430665496,0.1498091633734916,500
2.0,10,0.5,0.38,0.022632156554107424,0.15043987687480811,500
2.0,10,0.5,0.4,0.02283749058663806,0.15112078145191699,500
2.0,10,0.5,0.42,0.023019855468465213,0.15172295630017632,500
2.0,10,0.5,0.44,0.023237754478424674,0.15243934688401375,500
2.0,10,0.5,0.46,0.023377813440924725,0.152898049173051,500
2.0,10,0.5,0.48,0.024010487094005155,0.15495317710200446,500
2.0,10,0.5,0.5,0.024284969400326456,0.15583635455286568,500
2.0,10,1.0,0.0,0.02725609698154079,0.16509420638393338,500
2.0,10,1.0,0.02,0.026358964275766308,0.16235444027117432,500
2.0,10,1.0,0.04,0.025977882838777524,0.16117655796913372,500
2.0,10,1.0,0.06,0.025819975910399244,0.16068595430341523,500
2.0,10,1.0,0.08,0.0257848299793215,0.16057655488682493,500
2.0,10,1.0,0.1,0.025810644458684577,0.16065691537772214,500
2.0,10,1.0,0.12,0.025871582574839652,0.16084645651937643,500
2.0,10,1.0,0.14,0.025955587211558658,0.16110737789300233,500
2.0,10,1.0,0.16,0.026056486047461334,0.1614202157335361,500
2.0,10,1.0,0.18,0.026171088141128136,0.1617748068802066,500
2.0,10,1.0,0.2,0.02629806860451512,0.16216679254556132,500
2.0,10,1.0,0.22,0.0267508846926411,0.1635569768999204,500
2.0,10,1.0,0.24,0.026899145776620594,0.16400959050195996,500
2.0,10,1.0,0.26,0.027063275912761028,0.16450919704612574,500
2.0,10,1.0,0.28,0.02742986550580411,0.16561964106290084,500
2.0,10,1.0,0.3,0.027612895371508815,0.16617128323362257,500
2.0,10,1.0,0.32,0.027830702856208308,0.16682536634519438,500
2.0,10,1.0,0.34,0.028364533358621807,0.1684177346915158,500
2.0,10,1.0,0.36,0.028880985777418787,0.1699440666143387,500
2.0,10,1.0,0.38,0.029060692502951638,0.1704719698453433,500
2.0,10,1.0,0.4,0.029796114147204754,0.1726155095789621,500
2.0,10,1.0,0.42,0.03016731295660057,0.17368740010893297,500
2.0,10,1.0,0.44,0.030434604406289034,0.174455164458634,500
2.0,10,1.0,0.46,0.03082567462338941,0.17557241988247874,500
2.0,10,1.0,0.48,0.031057164311754377,0.17623042958511556,500
2.0,10,1.0,0.5,0.031223349749297438,0.17670130092700914,500
2.0,20,0.1,0.0,0.009044429826801472,0.09510220726566483,500
2.0,20,0.1,0.02,0.009151226843220683,0.09566204494584403,500
2.0,20,0.1,0.04,0.009240652680982515,0.09612831362810083,500
2.0,20,0.1,0.06,0.009314146503207546,0.09650982594123536,500
2.0,20,0.1,0.08,0.009378535968837894,0.09684284159832307,500
2.0,20,0.1,0.1,0.00943532879306649,0.09713562061914512,500
2.0,20,0.1,0.12,0.009490228506066206,0.09741780384542759,500
2.0,20,0.1,0.14,0.009544014683106157,0.09769347308344686,500
2.0,20,0.1,0.16,0.009598656022434707,0.09797273101447518,500
2.0,20,0.1,0.18,0.00965352224786757,0.09825233965594697,500
2.0,20,0.1,0.2,0.009707766306385902,0.09852799757625191,500
2.0,20,0.1,0.22,0.009760701218824205,0.09879626115812382,500
2.0,20,0.1,0.24,0.009815485986751608,0.09907313453581454,500
2.0,20,0.1,0.26,0.009872367101494804,0.09935978613853194,500
2.0,20,0.1,0.28,0.009931381185668048,0.09965631533258716,500
2.0,20,0.1,0.3,0.009993067470807323,0.09996533134445823,500
2.0,20,0.1,0.32,0.01005674670309036,0.10028333212997242,500
2.0,20,0.1,0.34,0.010122956293936631,0.10061290321791053,500
2.0,20,0.1,0.36,0.010192112921110115,0.1009559949736028,500
