beta,n,gamma_eta,delta,mean_loss,RMSE_x95,n_valid
1.5,7,0.1,0.0,0.02392040115240907,0.1546622163051114,500
1.5,7,0.1,0.02,0.024453336208363163,0.15637562536521848,500
1.5,7,0.1,0.04,0.024989585427268254,0.15808094580710305,500
1.5,7,0.1,0.06,0.02542818232851514,0.159462165821599,500
1.5,7,0.1,0.08,0.025815720404127815,0.1606727120706183,500
1.5,7,0.1,0.1,0.026169480637869873,0.16176983846771273,500
1.5,7,0.1,0.12,0.026496269316319182,0.16277674685384022,500
1.5,7,0.1,0.14,0.026802387896836533,0.16371434847574154,500
1.5,7,0.1,0.16,0.02708411979872905,0.16457253658715068,500
1.5,7,0.1,0.18,0.027352944903299026,0.16538725737885318,500
1.5,7,0.1,0.2,0.027616415598817987,0.16618187506108476,500
1.5,7,0.1,0.22,0.027875112827086677,0.16695841646076628,500
1.5,7,0.1,0.24,0.028128997872237382,0.16771701724105811,500
1.5,7,0.1,0.26,0.02856020832074155,0.16899765773744188,500
1.5,7,0.1,0.28,0.028818610652733837,0.16976045079091254,500
1.5,7,0.1,0.3,0.029088812874317825,0.1705544278941999,500
1.5,7,0.1,0.32,0.030483781301874225,0.17459605179348767,500
1.5,7,0.1,0.34,0.030718712843055142,0.17526754646270126,500
1.5,7,0.1,0.36,0.030956770354992155,0.17594536184563705,500
1.5,7,0.1,0.38,0.03121302007814204,0.1766720693209372,500
1.5,7,0.1,0.4,0.03151428389970167,0.1775226292608964,500
1.5,7,0.1,0.42,0.03216419128013272,0.1793437795969872,500
1.5,7,0.1,0.44,0.03345635591940037,0.18291078677705253,500
1.5,7,0.1,0.46,0.03365163531344892,0.1834438205921609,500
1.5,7,0.1,0.48,0.03388428422123196,0.18407684325094223,500
1.5,7,0.1,0.5,0.03416337902600822,0.18483338179562753,500
1.5,7,0.5,0.0,0.03298515973368586,0.18161817016390697,500
1.5,7,0.5,0.02,0.03384624148690844,0.1839734803902683,500
1.5,7,0.5,0.04,0.034423555935609,0.18553586158909818,500
1.5,7,0.5,0.06,0.03471820329903697,0.18632821391039248,500
