seed,pooled_J1,J1_n7,J1_n10,J1_n20,n_samples,endpoint_rate,failure_rate
42,0.5783563326765014,0.6755125202936605,0.5836426390691251,0.45445819106708807,45000,0.4049111111111111,0.0
2026,0.5804894158625974,0.6784893638809435,0.5878480185672573,0.45275907053584347,45000,0.4030888888888889,0.0
3407,0.5833068370218575,0.6866566650413461,0.5870845529376301,0.45229962459154327,45000,0.3893333333333333,0.0
