估计量,选择族,映射,阶段,PG J1,PG-Default J1 差,95% CI 下限,95% CI 上限,更差 repeat 块比例
MDM-0.1,PG-beta,interpolated,one_step,0.6707383325075512,0.0403291325751845,0.0372385946380222,0.0429354585019552,0.9733333333333334
MDM-0.1,PG-beta,interpolated,terminal,0.689705169710163,0.0592959697777963,0.0561356597292978,0.0620432953843816,0.98
MDM-0.1,PG-beta,nearest_grid,one_step,0.6739545013414948,0.0435453014091281,0.0403870173116212,0.0461890036221791,0.9733333333333334
MDM-0.1,PG-beta,nearest_grid,terminal,0.6865596590673766,0.0561504591350099,0.0530241480469007,0.0589112670369651,0.9766666666666668
MDM-0.1,PG-beta-n,interpolated,one_step,0.6721551676981397,0.0417459677657729,0.0390319966187545,0.0441398161629638,0.97
MDM-0.1,PG-beta-n,interpolated,terminal,0.7038797941528402,0.0734705942204735,0.070144478916484,0.0764945097073836,0.98
MDM-0.1,PG-beta-n,nearest_grid,one_step,0.6731925149718246,0.0427833150394579,0.0400129084404274,0.0452424265874429,0.9766666666666668
MDM-0.1,PG-beta-n,nearest_grid,terminal,0.7011393939084982,0.0707301939761315,0.067450119606375,0.0737668161929306,0.98
MDM-0.1,PG-full,interpolated,one_step,0.6826723282585097,0.0522631283261429,0.0491591744828948,0.0549240091423921,0.98
MDM-0.1,PG-full,interpolated,terminal,0.7414550888003528,0.1110458888679861,0.1073541501314017,0.1144784559249305,0.9966666666666668
MDM-0.1,PG-full,nearest_grid,one_step,0.6835542224517537,0.053145022519387,0.0499374886393804,0.0557687786377912,0.9766666666666668
MDM-0.1,PG-full,nearest_grid,terminal,0.7320335843465754,0.1016243844142087,0.0982300643259705,0.1050421093190396,0.9966666666666668
WMLE,PG-beta,interpolated,one_step,0.6506962283775033,0.0202870284451366,0.0185863609394768,0.0219466613063602,0.9533333333333334
WMLE,PG-beta,interpolated,terminal,0.6909899358461675,0.0605807359138008,0.0573805694424938,0.0634262835955959,0.98
WMLE,PG-beta,nearest_grid,one_step,0.652977998320305,0.0225687983879383,0.0208586747869995,0.0242837357503353,0.9533333333333334
WMLE,PG-beta,nearest_grid,terminal,0.6897916543344086,0.0593824544020419,0.0561417645837623,0.0622170200750942,0.98
WMLE,PG-beta-n,interpolated,one_step,0.6556994948864507,0.025290294954084,0.0232633145079371,0.0271199711321718,0.9666666666666668
WMLE,PG-beta-n,interpolated,terminal,0.7076295512038412,0.0772203512714745,0.0738588674451883,0.0803327531474357,0.9833333333333332
WMLE,PG-beta-n,nearest_grid,one_step,0.6573192550849525,0.0269100551525858,0.0249026631623916,0.0287410022156485,0.9633333333333334
WMLE,PG-beta-n,nearest_grid,terminal,0.7067759751199384,0.0763667751875717,0.0731037018578154,0.0793807788536384,0.9833333333333332
WMLE,PG-full,interpolated,one_step,0.6942872456106091,0.0638780456782424,0.0597660282246935,0.0679726713620583,0.9866666666666668
WMLE,PG-full,interpolated,terminal,0.766859865319035,0.1364506653866684,0.1322943763564621,0.1405015811605505,0.9966666666666668
WMLE,PG-full,nearest_grid,one_step,0.6940081213490557,0.0635989214166889,0.0597361571898084,0.0673794551607832,0.99
WMLE,PG-full,nearest_grid,terminal,0.7606451745279578,0.1302359745955911,0.1263020939427179,0.1341936043437866,0.9966666666666668
