target,aggregation,n_rows,J1,default_J1,oracle_J1,relative_improvement_vs_default,improved_rate,harmed_rate,exact_oracle_rate,within_0.02_oracle_rate,spearman_predicted_vs_actual_gain,seed
absolute,model_first_rows,48000,0.5845531935428128,0.6304091999323667,0.4922971152637207,0.07274006533291955,0.6229791666666666,0.30852083333333336,0.2306875,0.4717708333333333,0.37809849246256455,42
absolute,model_first_rows,48000,0.5849135438096444,0.6304091999323667,0.4922971152637207,0.0721684520587631,0.6199583333333333,0.3168125,0.20591666666666666,0.46308333333333335,0.353374586670934,2026
absolute,model_first_rows,48000,0.5855203298807452,0.6304091999323667,0.4922971152637207,0.07120592474925391,0.6198958333333333,0.31316666666666665,0.2453125,0.46922916666666664,0.3745381157895184,3407
default_residual,model_first_rows,48000,0.5877109857243792,0.6304091999323667,0.4922971152637208,0.06773095032967213,0.5826041666666667,0.23975,0.232,0.48575,0.35146690005950254,42
default_residual,model_first_rows,48000,0.5876846686512434,0.6304091999323667,0.4922971152637208,0.06777269634660632,0.5932708333333333,0.23889583333333334,0.22141666666666668,0.4819791666666667,0.3861065031044615,2026
default_residual,model_first_rows,48000,0.5885476764976947,0.6304091999323667,0.4922971152637208,0.06640373179700276,0.5873333333333334,0.2214375,0.18989583333333335,0.4671458333333333,0.3679393216608976,3407
oracle_regret,model_first_rows,48000,0.5840693896194004,0.6304091999323667,0.4922971152637208,0.07350750959525632,0.6443125,0.2833333333333333,0.26910416666666664,0.51275,0.38962676751940106,42
oracle_regret,model_first_rows,48000,0.5875013255330984,0.6304091999323667,0.4922971152637208,0.06806352826683304,0.6292916666666667,0.3019375,0.2280625,0.48554166666666665,0.3563622604440088,2026
oracle_regret,model_first_rows,48000,0.5837634080049969,0.6304091999323667,0.4922971152637208,0.0739928794382666,0.6593541666666667,0.2775,0.2532916666666667,0.5014375,0.40199957268704856,3407
