target,n,J1,default_J1,relative_improvement_vs_default,improved_rate,harmed_rate
absolute,7,0.696204770365115,0.7633086673112073,0.08791187604677553,0.66925,0.2624166666666667
absolute,10,0.6042309724868956,0.6571370100580289,0.08050990396426072,0.6621666666666667,0.29291666666666666
absolute,15,0.5257488669462427,0.5650868178686961,0.06961399501553045,0.6280833333333333,0.31175
absolute,20,0.4741897400990912,0.505836687210487,0.06256356628839577,0.5865,0.3393333333333333
default_residual,7,0.7043264190323995,0.7633086673112073,0.07727181781726089,0.6639166666666667,0.20208333333333334
default_residual,10,0.6040700268873341,0.6571370100580289,0.08075482336021322,0.6399166666666667,0.22708333333333333
default_residual,15,0.5264195180203073,0.5650868178686961,0.06842718432935302,0.5588333333333333,0.23841666666666667
default_residual,20,0.47456881562972336,0.505836687210487,0.0618141632889363,0.5511666666666667,0.27466666666666667
oracle_regret,7,0.6938793660489735,0.7633086673112073,0.09095835568958222,0.6986666666666667,0.23716666666666666
oracle_regret,10,0.6035085289528894,0.6571370100580289,0.08160928434148584,0.6953333333333334,0.24441666666666667
oracle_regret,15,0.5262514431955843,0.5650868178686961,0.06872461619187098,0.6424166666666666,0.2951666666666667
oracle_regret,20,0.47523350422671395,0.505836687210487,0.06050012535179872,0.60075,0.32466666666666666
