beta,gamma_eta_ratio,eta,gamma,n,repeat_id,primary_class,high_has_root,low_geom_has_root,low_uniform_has_root,grid_gradient_has_root,min_abs_g_minus_offset,g_min,g_max,boundary_fraction,multipeak_fraction,beta_unstable,gradient_noise_suspect
1.5,0.0,1000.0,0.0,5,16,strict_root,True,True,True,True,0.24993794766604366,-1.0681199836108148,18.485431898222245,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,5,17,all_above_offset,False,False,False,False,0.08672235332104522,0.18672235332104523,1.0456934150980044,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,5,18,strict_root,True,True,True,True,0.6621305896650884,-6.5560308568379835,24.596218517756373,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,5,19,strict_root,True,True,True,True,0.018621563543591194,-0.01890540881077036,3.3515970982205983,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,10,0,all_above_offset,False,False,False,False,0.4419318620804238,0.5419318620804238,0.5581097253324443,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,10,1,all_above_offset,False,False,False,False,0.3436212270915483,0.4436212270915483,1.8703520556903412,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,10,2,all_above_offset,False,False,False,False,0.2372964076468729,0.3372964076468729,2.2440577784725386,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,10,3,all_above_offset,False,False,False,False,0.19296156114822247,0.29296156114822247,1.4783197236732684,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,10,4,strict_root,True,True,True,True,0.008706815955895161,0.032284422619551265,1.17017250413803,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,10,5,strict_root,True,True,True,True,0.0009634965790193128,0.07232843543211707,2.235787666610479,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,10,6,all_above_offset,False,False,False,False,0.24211549734214302,0.342115497342143,0.4969307140549302,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,10,7,all_above_offset,False,False,False,False,0.3548076452265736,0.45480764522657363,1.3242119206200804,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,10,8,all_above_offset,False,False,False,False,0.5522268917536274,0.6522268917536274,1.0845153073650924,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,10,9,strict_root,True,True,True,True,0.009796548161909793,-0.032366557342273915,1.1147878924819288,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,10,10,strict_root,True,True,True,True,0.0336305965451285,-0.4995407097460694,8.121458134615006,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,10,11,strict_root,True,True,True,True,0.01107434648956758,-0.19153802795656488,7.552562779087665,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,10,12,all_above_offset,False,False,False,False,0.7549380023102455,0.8549380023102455,1.243465918143525,0.0,0.0,False,False
1.5,0.0,1000.0,0.0,10,13,strict_root,True,True,True,True,0.01546217628135893,-0.04058049066786331,3.845365030324101,0.0,0.0,False,False
