gamma_eta_ratio,n,total,strict_root_count,solution_rate
0.0,3,100,86,0.86
0.0,5,100,82,0.82
0.0,10,100,72,0.72
0.0,20,100,74,0.74
0.0,30,100,75,0.75
0.2,3,100,90,0.9
0.2,5,100,92,0.92
0.2,10,100,88,0.88
0.2,20,100,94,0.94
0.2,30,100,98,0.98
1.0,3,100,99,0.99
1.0,5,100,98,0.98
1.0,10,100,100,1.0
1.0,20,100,100,1.0
1.0,30,100,100,1.0
5.0,3,100,100,1.0
5.0,5,100,100,1.0
5.0,10,100,100,1.0
5.0,20,100,100,1.0
5.0,30,100,100,1.0
