region,value,n_rows,p_rms_actual,q_rms_actual,p_rms_proj,q_rms_proj,p_rms_rem,q_rms_rem,p_mean_align,q_mean_align,p_mean_cancel,q_mean_cancel,p_rms_u_par,q_rms_u_par,p_rms_u_perp,q_rms_u_perp,delta_rms_actual,delta_rms_proj,delta_rms_rem,delta_mean_align,delta_mean_cancel,delta_rms_u_par,delta_rms_u_perp,s1_mean_diff
beta,1.5,18000,0.2815980968916459,0.2542775596908845,0.28748972905113357,12.385648164455565,0.018021777076621774,12.32191622440399,0.4350088089827335,0.25112894907393873,0.3793926392281739,0.11998684098983119,0.1086625005158613,3.900294498756466,0.29945605046293355,14.63666988892934,-0.027320537200761386,12.098158435404432,12.30389444732737,-0.18387985990879474,-0.2594057982383427,3.7916319982406046,14.337213838466408,-0.014640410810645451
beta,2.0,18000,0.2116251835375405,0.20713250553028556,0.21944739222538528,8.91979283189946,0.019328821959341044,8.901563173209945,0.4751295298656119,0.29504019831888045,0.3341458353174429,0.1761229255742244,0.11025672175286931,3.6306533908795635,0.2352317699784119,11.282671342093147,-0.004492678007254947,8.700345439674075,8.882234351250604,-0.18008933154673146,-0.1580229097432185,3.5203966691266944,11.047439572114735,-0.0018813434600439183
beta,2.5,18000,0.1700003441343157,0.16810385229283842,0.17348965775258615,6.429102548331895,0.015041945756905222,6.430239005688095,0.4410371466167939,0.3037230164892048,0.345587737986267,0.24038684847462854,0.10370646880496924,3.1193337229104476,0.2122162013134879,9.224441412706488,-0.001896491841477277,6.255612890579309,6.41519705993119,-0.13731413012758908,-0.10520088951163847,3.0156272541054783,9.012225211393,-0.000641211850093327
beta,3.0,18000,0.14643787726867163,0.14400169732029935,0.1445942915430723,4.748239881285159,0.013168818297341936,4.760020221837185,0.4472104657249303,0.2933336441399494,0.3286318449654739,0.30807917851301914,0.09519238913076875,2.610397896732545,0.18708666241048325,7.804625230089215,-0.00243617994837228,4.603645589742087,4.746851403539843,-0.1538768215849809,-0.020552666452454738,2.515205507601776,7.617538567678731,-0.00070756306782743
beta,3.5,18000,0.11978211867874457,0.12151850210329729,0.11347039329953579,3.563695193501355,0.01382778717629062,3.5882967215397557,0.4398071364289731,0.2730660785870454,0.3343602513712856,0.3768176493231004,0.08201128872915735,2.137470377745464,0.17174319838087967,6.665963899021596,0.0017363834245527204,3.450224800201819,3.5744689343634652,-0.16674105784192772,0.0424573979518148,2.0554590890163063,6.494220700640716,0.00041899039826021745
beta,4.0,18000,0.10657584241327234,0.11111605197934656,0.09721574019091822,2.726673581716852,0.01563156769856828,2.7594146831011557,0.4194013841057235,0.24851366426925758,0.33822789607039233,0.4456877685339268,0.07429148491307737,1.7467938235636236,0.17090196421216364,5.764411597113284,0.004540209566074219,2.6294578415259338,2.7437831154025876,-0.1708877198364659,0.10745987246353444,1.6725023386505462,5.593509632901121,0.0009883668213781869
beta,4.5,18000,0.10279263622762695,0.10909820127122472,0.08914451980186204,2.128413709726692,0.019376408273883376,2.1701295066226587,0.35155529273811154,0.22459261493571311,0.38166972615159367,0.5059952743377546,0.07264267047524214,1.4382128366934213,0.19127515583186688,5.071024245178661,0.006305565043597763,2.03926918992483,2.1507530983487753,-0.12696267780239842,0.12432554818616093,1.3655701662181792,4.879749089346794,0.0013360914579914134
beta,5.0,18000,0.1030416016952854,0.1099247821275083,0.08524234808364758,1.6914327775363809,0.02330392525696938,1.7428113360473243,0.2797994354033024,0.20231886445554284,0.41771737060888214,0.5631673916601716,0.07205517591056605,1.1801270838659679,0.22426488126232508,4.480042518570268,0.006883180432222899,1.6061904294527334,1.719507410790355,-0.07748057094775954,0.14545002105128946,1.1080719079554018,4.255777637307943,0.0014658860458503264
gamma_over_eta,0.1,28800,0.2633545902508464,0.23539473272730066,0.2639898587643293,12.13395630649406,0.02638390067859815,12.074402555571337,0.3529784155270075,0.2806194272134375,0.41549948667796105,0.25582732358925375,0.08275131000350948,3.693055433476618,0.2055370595245573,12.089231673425923,-0.02795985752354574,11.86996644772973,12.04801865489274,-0.07235898831356996,-0.1596721630887073,3.6103041234731084,11.883694613901365,-0.0139449600104339
gamma_over_eta,0.25,28800,0.18450233883282438,0.1771499866605309,0.18373952917057312,6.2730504058684895,0.01968969275834905,6.313100921325447,0.42035573562760625,0.26307795595852257,0.3447881852002466,0.32240821632696354,0.09000207913448713,2.847346625072302,0.20889632678348574,9.45568940334425,-0.0073523521722934915,6.089310876697916,6.2934112285670984,-0.15727777966908368,-0.022379968873283085,2.7573445459378148,9.246793076560765,-0.0026589952609560614
