n,fold,seed,p_rms_actual,q_rms_actual,delta_rms_actual,p_rms_proj,q_rms_proj,delta_rms_proj,p_rms_rem,q_rms_rem,delta_rms_rem,p_mean_align,q_mean_align,delta_mean_align,p_mean_cancel,q_mean_cancel,delta_mean_cancel,p_mean_cancel_exact,q_mean_cancel_exact,delta_mean_cancel_exact,p_mean_s_norm,q_mean_s_norm,delta_mean_s_norm,p_rms_u_par,q_rms_u_par,delta_rms_u_par,p_rms_u_perp,q_rms_u_perp,delta_rms_u_perp,p_rms_u_beta,q_rms_u_beta,delta_rms_u_beta,p_rms_u_eta,q_rms_u_eta,delta_rms_u_eta,p_rms_u_gamma,q_rms_u_gamma,delta_rms_u_gamma,p_n_boundary,q_n_boundary,delta_n_boundary,p_corr_proj_actual,q_corr_proj_actual,delta_corr_proj_actual,p_identity_max_abs_err,q_identity_max_abs_err,delta_identity_max_abs_err
7,1,42,0.20137496090682108,0.19813710290966996,-0.0032378579971511223,0.1978980313605108,2.4698554564518753,2.2719574250913643,0.023236869750685802,2.4591256647568023,2.4358887950061163,0.40891172004541126,0.1935830929870887,-0.21532862705832256,0.34537887885175833,0.6075120993102343,0.262133220458476,0.33705262332933933,0.8749034698866558,0.5378508465573164,1.5257889981791588,1.5257889981791588,0.0,0.11070485235566736,0.8687969022645755,0.7580920499089081,0.2598879413216066,3.0872906885464975,2.827402747224891,0.2605091167744218,3.0342617645801377,2.7737526478057157,0.02277251439036069,0.9771150483642294,0.9543425339738687,0.10683500851885791,0.3530914601595833,0.2462564516407254,0,0,0,0.995714487816829,0.2316101762610524,-0.7641043115557766,1.4793059621709403e-07,1.4924769020652207e-07,1.317093989428031e-09
7,1,2026,0.20413158829906838,0.1967132346558051,-0.007418353643263292,0.20059845067485346,3.0483699992329516,2.8477715485580983,0.02367208030366674,3.032551223605822,3.0088791433021553,0.39679315497061424,0.1962530544366114,-0.20054010053400284,0.36750852678609175,0.5913329266822246,0.22382439989613284,0.35766325595008214,0.8760342743391792,0.518371018389097,1.5257889981791588,1.5257889981791588,0.0,0.110037225951181,1.0278830932356053,0.9178458672844243,0.2616440605758836,3.621428302255437,3.3597842416795536,0.26145604738219175,3.6195712382974996,3.3581151909153077,0.025100561062725152,0.9743669865518386,0.9492664254891134,0.10759415714287368,0.3472745716917453,0.23968041454887162,0,0,0,0.9956899266807677,0.2521575714365153,-0.7435323552442524,1.1672885558144941e-07,1.5943924136507803e-07,4.2710385783628624e-08
7,1,3407,0.2017493858761919,0.19719525612515873,-0.00455412975103317,0.1985375198696485,2.1662798830646364,1.967742363194988,0.02275417397164677,2.150598582071554,2.1278444080999073,0.4151256371669115,0.19538839355747592,-0.21973724360943556,0.3300124266498996,0.6054122097946557,0.2753997831447561,0.3221020343098226,0.8708183158796974,0.5487162815698747,1.5257889981791588,1.5257889981791588,0.0,0.11113084578402836,0.8206911499739323,0.709560304189904,0.25850936354503795,2.9190073260616063,2.660497962516568,0.2598813638700389,2.8483019356817745,2.5884205718117355,0.015293803196155751,0.9787716004608835,0.9634777972647278,0.1067938772682206,0.3511694328519515,0.24437555558373092,0,0,0,0.9958360937398283,0.28066460683283545,-0.7151714869069928,9.551482949010648e-08,9.00599571584948e-08,-5.454872331611682e-09
7,2,42,0.22044366772986287,0.20761410297394087,-0.012829564755922007,0.22070824434488623,2.346027035521621,2.125318791176735,0.023632446698563896,2.323338750449529,2.299706303750965,0.39015197285889913,0.19915115924483132,-0.19100081361406782,0.3867275219057722,0.5933669941771145,0.20663947227134227,0.380720114258605,0.8776302505565218,0.49691013629791675,1.5257889981791588,1.5257889981791588,0.0,0.11255710281714423,0.8538953412277335,0.7413382384105892,0.26704104733701745,3.049918336904571,2.7828772895675535,0.26570810517124477,2.992577607534765,2.7268695023635203,0.04030743848451505,0.976983135283923,0.936675696799408,0.10841833611785487,0.3480263378100435,0.23960800169218863,0,0,0,0.9961777131245552,0.3002269846766218,-0.6959507284479334,1.839716761153909e-07,1.730366685492868e-07,-1.0935007566104105e-08
7,2,2026,0.2161371092452813,0.2064406212779043,-0.009696487967376988,0.21225042574600764,3.2011980226656327,2.988947596919625,0.025759510383143384,3.1792679585930244,3.153508448209881,0.3918354657689603,0.20926860093005784,-0.18256686483890244,0.36803354023748086,0.561534643430883,0.19350110319340214,0.3590597446607519,0.8823505622989039,0.5232908176381519,1.5257889981791588,1.5257889981791588,0.0,0.11207533693473078,1.090835272970023,0.9787599360352922,0.26528507120810624,3.8173641685375563,3.5520790973294503,0.26562522594516685,3.833624220050112,3.567998994104945,0.023713154389593982,0.9718721635601527,0.9481590091705587,0.108710513775797,0.34782269208907896,0.23911217831328196,0,0,0,0.9953994158295081,0.27184476248347855,-0.7235546533460295,1.1342793015955976e-07,1.677078937944998e-07,5.427996363494003e-08
7,2,3407,0.22156388589934306,0.20808756325253547,-0.013476322646807593,0.22266180505239477,2.4999233039548043,2.2772614989024094,0.02353131012669523,2.4706716544801104,2.447140344353415,0.38979881728642196,0.19308762474421443,-0.19671119254220754,0.38792771057924585,0.6055424837466957,0.21761477316744987,0.381516424609429,0.8777469886869513,0.49623056407752236,1.5257889981791588,1.5257889981791588,0.0,0.11187321123838474,0.8713320047696215,0.7594587935312367,0.26738674997946377,3.1068659328976636,2.8394791829181996,0.2659335692523368,3.0546967627596304,2.7887631935072936,0.03587176053316592,0.9775841651698867,0.9417124046367208,0.10956205090418994,0.3535424658097594,0.24398041490556946,0,0,0,0.9962407890266848,0.3006094350869341,-0.6956313539397507,1.2850692132637676e-07,1.0331060373847123e-07,-2.5196317587905526e-08
7,3,42,0.2092083739310902,0.20676649160216742,-0.0024418823289227842,0.20736822157772428,2.34848168691977,2.1411134653420456,0.024342342044042415,2.3343403592713825,2.30999801722734,0.40254165998701685,0.19667580954194613,-0.20586585044507072,0.33906786588667165,0.5983889803682997,0.25932111448162803,0.32945289812721484,0.8760536524388239,0.5466007543116091,1.5257889981791588,1.5257889981791588,0.0,0.11436903662778436,0.8615881107840574,0.747219074156273,0.2697227513894101,3.0675864900359557,2.7978637386465457,0.27149013256806936,3.012369516998131,2.7408793844300616,0.02292188847457386,0.977787515297187,0.9548656268226131,0.10769556213313676,0.34925980943268703,0.24156424729955028,0,0,0,0.9955750883560301,0.25357466154193153,-0.7420004268140986,1.6309358108479444e-07,1.6663253554760615e-07,3.5389544628117164e-09
7,3,2026,0.21757601621130024,0.20770101441314653,-0.009875001798153704,0.21676300378860966,2.7441007556132835,2.527337751824674,0.0238997951262126,2.721955649637346,2.6980558545111335,0.4037907121741268,0.20089786217864974,-0.20289284999547708,0.3526451855918497,0.5800980917971389,0.22745290620528918,0.34456481566151875,0.8762455941069572,0.5316807784454385,1.5257889981791588,1.5257889981791588,0.0,0.11640420050988551,0.9843301822207957,0.8679259817109102,0.27068839126138045,3.4710130375342083,3.200324646272828,0.2716831942450764,3.456810774347266,3.1851275801021894,0.03327027470999913,0.9754516059533298,0.9421813312433307,0.1091030423294102,0.34028054479062014,0.23117750246120994,0,0,0,0.996014693536684,0.2851583646206194,-0.7108563289160647,1.0803103922540913e-07,9.234008346847844e-08,-1.569095575693069e-08
7,3,3407,0.21302099211509848,0.20610627258868716,-0.006914719526411317,0.21140585387315972,2.820794756201024,2.609388902327864,0.024551172985334612,2.8037951959492906,2.779244022963956,0.4050023749376397,0.19645440878072934,-0.20854796615691035,0.33757950994502534,0.5926712793566783,0.25509176941165296,0.3289510690733671,0.8763344536993022,0.547383384625935,1.5257889981791588,1.5257889981791588,0.0,0.11451102508569944,0.9759425120383137,0.8614314869526143,0.2684616225470366,3.4393097064954237,3.1708480839483872,0.2707948311959259,3.422045773669095,3.151250942473169,0.015034233662704406,0.9756964927472438,0.9606622590845394,0.10783574946422188,0.34486826608359594,0.23703251661937408,0,0,0,0.9956066031070266,0.2514968999399483,-0.7441097031670784,1.82490722311357e-07,1.1940690169964796e-07,-6.308382061170903e-08
7,4,42,0.20747531351781215,0.20421228245372253,-0.003263031064089622,0.2072902682613706,1.9596997339042452,1.7524094656428746,0.024441951687707745,1.9451399557456712,1.9206980040579635,0.39521018924669404,0.18512669705985269,-0.21008349218684136,0.37336888700498244,0.6293181583872361,0.2559492713822537,0.3636329881679446,0.8683738295276741,0.5047408413597294,1.5257889981791588,1.5257889981791588,0.0,0.11280086092349455,0.7227942631114783,0.6099934021879838,0.2700461238698948,2.628326082372732,2.3582799585028376,0.2693054988494306,2.518096042039041,2.2487905431896102,0.032024858069589116,0.9817351423439958,0.9497102842744067,0.10999045411906486,0.3548492291407554,0.24485877502169054,0,0,0,0.9952713330136739,0.26727039297764793,-0.7280009400360259,1.482963229992862e-07,1.0867027500083282e-07,-3.962604799845337e-08
